Changes detected in row 105. Values changed- Billet Diameter: 0=>0, Alloy: H-188=>H-188, Weight: 27.9=>27.9, Weight Type: Bar=>Bar, Spec: 0=>0, Yield: 1=1=>1=1, QPE: =>, R/M Type: Flash Welded=>Flash Welded, Alloy Family: 0=>0, Engine Program: 0=>0
Changes detected in row 107. Values changed- Billet Diameter: 12=>12, Alloy: 718=>718, Weight: 116.2=>116.2, Weight Type: Yielded=>Yielded, Spec: B50TF15=>B50TF15, Yield: 1=1=>1=1, QPE: =>, R/M Type: Flash Welded=>Flash Welded, Alloy Family: Ni=>Ni, Engine Program: GE90=>GE90
Changes detected in row 109. Values changed- Billet Diameter: 8=>8, Alloy: 718+=>718+, Weight: 52.5=>52.5, Weight Type: Yielded=>Yielded, Spec: B50TF317=>B50TF317, Yield: 1=1=>1=1, QPE: =>, R/M Type: Flash Welded=>Flash Welded, Alloy Family: Ni=>Ni, Engine Program: GENX=>GENX
Changes detected in row 114. Values changed- Billet Diameter: 12=>12, Alloy: 718=>718, Weight: 92.7=>92.7, Weight Type: Yielded=>Yielded, Spec: B50TF15=>B50TF15, Yield: 1=1=>1=1, QPE: =>, R/M Type: Flash Welded=>Flash Welded, Alloy Family: Ni=>Ni, Engine Program: "CF6-6, LM6000"=>"CF6-6, LM6000"
Changes detected in row 115. Values changed- Billet Diameter: 12=>12, Alloy: 718=>718, Weight: 92.7=>92.7, Weight Type: Yielded=>Yielded, Spec: B50TF15=>B50TF15, Yield: 1=1=>1=1, QPE: =>, R/M Type: Flash Welded=>Flash Welded, Alloy Family: Ni=>Ni, Engine Program: "CF6-6, LM6000"=>"CF6-6, LM6000"
Changes detected in row 116. Values changed- Billet Diameter: 0=>0, Alloy: HAST-X=>HAST-X, Weight: 57=>57, Weight Type: Bar=>Bar, Spec: 0=>0, Yield: 1=1=>1=1, QPE: =>, R/M Type: FLASH  WELDED  RING=>FLASH  WELDED  RING, Alloy Family: 0=>0, Engine Program: CFM56-5B/CFM56-7B=>CFM56-5B/CFM56-7B
Changes detected in row 120. Values changed- Billet Diameter: 0=>0, Alloy: INC 718=>INC 718, Weight: 51.12=>51.12, Weight Type: 0=>0, Spec: B50TF15 CL-D=>B50TF15 CL-D, Yield: 1=1=>1=1, QPE: =>, R/M Type: Flash Welded=>Flash Welded, Alloy Family: 0=>0, Engine Program: M&I=>M&I
Changes detected in row 123. Values changed- Billet Diameter: 0=>0, Alloy: 0=>0, Weight: 0=>0, Weight Type: 0=>0, Spec: 0=>0, Yield: 1=1=>1=1, QPE: =>, R/M Type: Flash Welded=>Flash Welded, Alloy Family: 0=>0, Engine Program: F110/F101/F118=>F110/F101/F118
Changes detected in row 124. Values changed- Billet Diameter: 12=>12, Alloy: 718=>718, Weight: 141.0=>141.0, Weight Type: Yielded=>Yielded, Spec: B50TF15=>B50TF15, Yield: 1=1=>1=1, QPE: =>, R/M Type: Flash Welded=>Flash Welded, Alloy Family: Ni=>Ni, Engine Program: F404=>F404
Changes detected in row 125. Values changed- Billet Diameter: 8=>8, Alloy: HS188=>HS188, Weight: 126.6=>126.6, Weight Type: Yielded=>Yielded, Spec: AMS 5772=>AMS 5772, Yield: 1=1=>1=1, QPE: =>, R/M Type: Flash Welded=>Flash Welded, Alloy Family: Ni=>Ni, Engine Program: 0=>0
Changes detected in row 128. Values changed- Billet Diameter: 0=>0, Alloy: INC 718=>INC 718, Weight: 48.81=>48.81, Weight Type: 0=>0, Spec: B50TF15 CL-D=>B50TF15 CL-D, Yield: 1=1=>1=1, QPE: =>, R/M Type: Flash Welded=>Flash Welded, Alloy Family: 0=>0, Engine Program: M&I=>M&I
Changes detected in row 138. Values changed- Billet Diameter: 12=>12, Alloy: 718=>718, Weight: 7.5=>7.5, Weight Type: 0=>0, Spec: B50TF15=>B50TF15, Yield: 1=12=>1=12, QPE: =>, R/M Type: Flash Welded=>Flash Welded, Alloy Family: Ni=>Ni, Engine Program: GE90=>GE90
Changes detected in row 141. Values changed- Billet Diameter: 0=>0, Alloy: 0=>0, Weight: 0=>0, Weight Type: 0=>0, Spec: 0=>0, Yield: 1=10=>1=10, QPE: =>, R/M Type: Flash Welded=>Flash Welded, Alloy Family: 0=>0, Engine Program: 0=>0
Changes detected in row 146. Values changed- Billet Diameter: 10=>10, Alloy: 718=>718, Weight: 331.9=>331.9, Weight Type: 0=>0, Spec: B50TF15=>B50TF15, Yield: 1=9=>1=9, QPE: =>, R/M Type: Flash Welded=>Flash Welded, Alloy Family: Ni=>Ni, Engine Program: GE90=>GE90
Changes detected in row 147. Values changed- Billet Diameter: 8=>8, Alloy: 718+=>718+, Weight: 52.5=>52.5, Weight Type: Yielded=>Yielded, Spec: B50TF317=>B50TF317, Yield: 1=1=>1=1, QPE: =>, R/M Type: Flash Welded=>Flash Welded, Alloy Family: Ni=>Ni, Engine Program: GENX=>GENX
Changes detected in row 148. Values changed- Billet Diameter: 8=>8, Alloy: WASP=>WASP, Weight: 49.0=>49.0, Weight Type: 0=>0, Spec: AMS 5707=>AMS 5707, Yield: 1=3=>1=3, QPE: =>, R/M Type: Flash Welded=>Flash Welded, Alloy Family: Ni=>Ni, Engine Program: GE90=>GE90
Changes detected in row 150. Values changed- Billet Diameter: 0=>0, Alloy: 0=>0, Weight: 0=>0, Weight Type: 0=>0, Spec: 0=>0, Yield: 1.00=>1.00, QPE: =>, R/M Type: Forging_Ring_R=>Forging_Ring_R, Alloy Family: 0=>0, Engine Program: GE90=>GE90
Changes detected in row 154. Values changed- Billet Diameter: 0=>0, Alloy: 0=>0, Weight: 0=>0, Weight Type: 0=>0, Spec: 0=>0, Yield: 1=1=>1=1, QPE: =>, R/M Type: Flash Welded=>Flash Welded, Alloy Family: 0=>0, Engine Program: 0=>0
Changes detected in row 157. Values changed- Billet Diameter: 0=>0, Alloy: 188=>188, Weight: 7.43=>7.43, Weight Type: Per Piece=>Per Piece, Spec: B50TF74 CL-A=>B50TF74 CL-A, Yield: 1=1=>1=1, QPE: =>, R/M Type: Flash Welded=>Flash Welded, Alloy Family: 0=>0, Engine Program: T64=>T64
Changes detected in row 159. Values changed- Billet Diameter: 0=>0, Alloy: HAST X=>HAST X, Weight: 12.68=>12.68, Weight Type: Per Piece=>Per Piece, Spec: AMS 5754=>AMS 5754, Yield: 1=7=>1=7, QPE: =>, R/M Type: Flash Welded=>Flash Welded, Alloy Family: 0=>0, Engine Program: CT64=>CT64
Changes detected in row 160. Values changed- Billet Diameter: 0=>0, Alloy: HAST X=>HAST X, Weight: 3.38=>3.38, Weight Type: Per Piece=>Per Piece, Spec: AMS 5754=>AMS 5754, Yield: 1=1=>1=1, QPE: =>, R/M Type: Flash Welded=>Flash Welded, Alloy Family: 0=>0, Engine Program: CT7/ T700=>CT7/ T700
Changes detected in row 162. Values changed- Billet Diameter: 0=>0, Alloy: 0=>0, Weight: 0=>0, Weight Type: 0=>0, Spec: 0=>0, Yield: 1=11=176=>1=11=176, QPE: =>, R/M Type: Flash Welded=>Flash Welded, Alloy Family: 0=>0, Engine Program: F404=>F404
Changes detected in row 163. Values changed- Billet Diameter: 0=>0, Alloy: INC 718=>INC 718, Weight: 15.01=>15.01, Weight Type: Per Piece=>Per Piece, Spec: B50TF15 CL-A=>B50TF15 CL-A, Yield: 1=1=>1=1, QPE: =>, R/M Type: Flash Welded=>Flash Welded, Alloy Family: 0=>0, Engine Program: F414=>F414
Changes detected in row 164. Values changed- Billet Diameter: 0=>0, Alloy: WASP=>WASP, Weight: 35.18=>35.18, Weight Type: Per Piece=>Per Piece, Spec: AMS 5707=>AMS 5707, Yield: 1=2=>1=2, QPE: =>, R/M Type: Flash Welded=>Flash Welded, Alloy Family: 0=>0, Engine Program: CFM56=>CFM56
Changes detected in row 165. Values changed- Billet Diameter: 0=>0, Alloy: WASP=>WASP, Weight: 31.41=>31.41, Weight Type: 0=>0, Spec: AMS 5707=>AMS 5707, Yield: 1=3=>1=3, QPE: =>, R/M Type: Flash Welded=>Flash Welded, Alloy Family: 0=>0, Engine Program: F110  =>F110  
Changes detected in row 166. Values changed- Billet Diameter: 0=>0, Alloy: WASP=>WASP, Weight: 31.41=>31.41, Weight Type: Per Piece=>Per Piece, Spec: AMS 5707=>AMS 5707, Yield: 1=3=>1=3, QPE: =>, R/M Type: Flash Welded=>Flash Welded, Alloy Family: 0=>0, Engine Program: F110  =>F110  
Changes detected in row 167. Values changed- Billet Diameter: 0=>0, Alloy: INC 718=>INC 718, Weight: 30.61=>30.61, Weight Type: Per Piece=>Per Piece, Spec: B50TF15 CL-A=>B50TF15 CL-A, Yield: 1=7=>1=7, QPE: =>, R/M Type: Flash Welded=>Flash Welded, Alloy Family: 0=>0, Engine Program: F118=>F118
Changes detected in row 168. Values changed- Billet Diameter: 0=>0, Alloy: INC 718=>INC 718, Weight: 6.76=>6.76, Weight Type: Per Piece=>Per Piece, Spec: B50TF15 CL-D=>B50TF15 CL-D, Yield: 1=1=>1=1, QPE: =>, R/M Type: Flash Welded=>Flash Welded, Alloy Family: 0=>0, Engine Program: T700=>T700
Changes detected in row 169. Values changed- Billet Diameter: 0=>0, Alloy: INC 718=>INC 718, Weight: 17.44=>17.44, Weight Type: Per Piece=>Per Piece, Spec: B50TF15 CL-A=>B50TF15 CL-A, Yield: 1=1=>1=1, QPE: =>, R/M Type: Flash Welded=>Flash Welded, Alloy Family: 0=>0, Engine Program: F414=>F414
Changes detected in row 171. Values changed- Billet Diameter: 0=>0, Alloy: INC 718=>INC 718, Weight: 18.4=>18.4, Weight Type: Bar=>Bar, Spec: B50TF15 CL-B=>B50TF15 CL-B, Yield: 1=8=>1=8, QPE: =>, R/M Type: Flash Welded=>Flash Welded, Alloy Family: 0=>0, Engine Program: F414=>F414
Changes detected in row 172. Values changed- Billet Diameter: 0=>0, Alloy: L 605=>L 605, Weight: 6.22=>6.22, Weight Type: Per Piece=>Per Piece, Spec: AMS 5759=>AMS 5759, Yield: 1=1=>1=1, QPE: =>, R/M Type: Flash Welded=>Flash Welded, Alloy Family: 0=>0, Engine Program: J85 =>J85 
Changes detected in row 173. Values changed- Billet Diameter: 8=>8, Alloy: INC 718=>INC 718, Weight: 21.57=>21.57, Weight Type: 0=>0, Spec: B50TF15 CL-A=>B50TF15 CL-A, Yield: 1=1=>1=1, QPE: =>, R/M Type: Flash Welded=>Flash Welded, Alloy Family: Ni=>Ni, Engine Program: F404=>F404
Changes detected in row 174. Values changed- Billet Diameter: 0=>0, Alloy: INC 718=>INC 718, Weight: 21.57=>21.57, Weight Type: 0=>0, Spec: B50TF15 CL-A=>B50TF15 CL-A, Yield: 1=1=>1=1, QPE: =>, R/M Type: Flash Welded=>Flash Welded, Alloy Family: 0=>0, Engine Program: F404=>F404
Changes detected in row 175. Values changed- Billet Diameter: 0=>0, Alloy: INC 718=>INC 718, Weight: 56.14=>56.14, Weight Type: 0=>0, Spec: B50TF15 CL-A=>B50TF15 CL-A, Yield: 1=1=>1=1, QPE: =>, R/M Type: Flash Welded=>Flash Welded, Alloy Family: 0=>0, Engine Program: LM2500=>LM2500
Changes detected in row 176. Values changed- Billet Diameter: 0=>0, Alloy: 188=>188, Weight: 17.48=>17.48, Weight Type: Per Piece=>Per Piece, Spec: B50TF74 CL-A=>B50TF74 CL-A, Yield: 1=1=>1=1, QPE: =>, R/M Type: Flash Welded=>Flash Welded, Alloy Family: 0=>0, Engine Program: CF34 =>CF34 
Changes detected in row 177. Values changed- Billet Diameter: 7=>7, Alloy: INC 718=>INC 718, Weight: 46.49=>46.49, Weight Type: Per Piece=>Per Piece, Spec: B50TF15 CL-D=>B50TF15 CL-D, Yield: 1=1=>1=1, QPE: =>, R/M Type: Flash Welded=>Flash Welded, Alloy Family: Al=>Al, Engine Program: CF34 =>CF34 
Changes detected in row 179. Values changed- Billet Diameter: 0=>0, Alloy: WASP=>WASP, Weight: 13.86=>13.86, Weight Type: Per Piece=>Per Piece, Spec: AMS 5706=>AMS 5706, Yield: 1=4=>1=4, QPE: =>, R/M Type: Flash Welded=>Flash Welded, Alloy Family: 0=>0, Engine Program: CT7/ T700=>CT7/ T700
Changes detected in row 181. Values changed- Billet Diameter: 4=>4, Alloy: HAST X=>HAST X, Weight: 21.0=>21.0, Weight Type: 0=>0, Spec: B50TF31A=>B50TF31A, Yield: 1=1=>1=1, QPE: =>, R/M Type: Flash Welded=>Flash Welded, Alloy Family: Ni=>Ni, Engine Program: CT7/ T700=>CT7/ T700
Changes detected in row 183. Values changed- Billet Diameter: 0=>0, Alloy: 188=>188, Weight: 11.81=>11.81, Weight Type: 0=>0, Spec: B50TF74 CL-A=>B50TF74 CL-A, Yield: 1=1=>1=1, QPE: =>, R/M Type: Flash Welded=>Flash Welded, Alloy Family: 0=>0, Engine Program: 0=>0
Changes detected in row 184. Values changed- Billet Diameter: 0=>0, Alloy: 188=>188, Weight: 29.94=>29.94, Weight Type: 0=>0, Spec: B50TF74 CL-A=>B50TF74 CL-A, Yield: 1=1=>1=1, QPE: =>, R/M Type: Flash Welded=>Flash Welded, Alloy Family: 0=>0, Engine Program: 0=>0
Changes detected in row 185. Values changed- Billet Diameter: 0=>0, Alloy: INC 718=>INC 718, Weight: 13.89=>13.89, Weight Type: Per Piece=>Per Piece, Spec: B50TF15 CL-F=>B50TF15 CL-F, Yield: 1=1=>1=1, QPE: =>, R/M Type: Flash Welded=>Flash Welded, Alloy Family: 0=>0, Engine Program: CF34 =>CF34 
Changes detected in row 186. Values changed- Billet Diameter: 8=>8, Alloy: WASP=>WASP, Weight: 9.25=>9.25, Weight Type: Yielded=>Yielded, Spec: AMS 5707=>AMS 5707, Yield: 1=1=>1=1, QPE: =>, R/M Type: Flash Welded=>Flash Welded, Alloy Family: Ni=>Ni, Engine Program: TF34=>TF34
Changes detected in row 187. Values changed- Billet Diameter: 0=>0, Alloy: INC 718=>INC 718, Weight: 51.12=>51.12, Weight Type: 0=>0, Spec: B50TF15 CL-D=>B50TF15 CL-D, Yield: 1=1=>1=1, QPE: =>, R/M Type: Flash Welded=>Flash Welded, Alloy Family: 0=>0, Engine Program: M&I=>M&I
Changes detected in row 188. Values changed- Billet Diameter: 0=>0, Alloy: INC 718=>INC 718, Weight: 48.81=>48.81, Weight Type: 0=>0, Spec: B50TF15 CL-D=>B50TF15 CL-D, Yield: 1=1=>1=1, QPE: =>, R/M Type: Flash Welded=>Flash Welded, Alloy Family: 0=>0, Engine Program: M&I=>M&I
Changes detected in row 189. Values changed- Billet Diameter: 0=>0, Alloy: HAST X=>HAST X, Weight: 18.78=>18.78, Weight Type: Per Piece=>Per Piece, Spec: AMS 5754=>AMS 5754, Yield: 1=1=>1=1, QPE: =>, R/M Type: Flash Welded=>Flash Welded, Alloy Family: 0=>0, Engine Program: F404=>F404
Changes detected in row 218. Values changed- Billet Diameter: #N/A=>#N/A, Alloy: #N/A=>#N/A, Weight: #N/A=>#N/A, Weight Type: #N/A=>#N/A, Spec: #N/A=>#N/A, Yield: 1=1=>1=1, QPE: =>, R/M Type: Forging_Closed_Die_F=>Forging_Closed_Die_F, Alloy Family: 0=>0, Engine Program: LEAP A/C=>LEAP A/C
Changes detected in row 227. Values changed- Billet Diameter: 13=>13, Alloy: 7075=>7075, Weight: "1,511.7"=>"1,511.7", Weight Type: Yielded=>Yielded, Spec: AMS 4311=>AMS 4311, Yield: 1=1=>1=1, QPE: =>, R/M Type: Forging_Closed_Die_F=>Forging_Closed_Die_F, Alloy Family: Al=>Al, Engine Program: CF6=>CF6
Changes detected in row 228. Values changed- Billet Diameter: 8=>8, Alloy: Ti 6-4=>Ti 6-4, Weight: 50.0=>50.0, Weight Type: Yielded=>Yielded, Spec: AMS 4928=>AMS 4928, Yield: 1=1=>1=1, QPE: =>, R/M Type: Forging_Closed_Die_F=>Forging_Closed_Die_F, Alloy Family: Ti=>Ti, Engine Program: CF6=>CF6
Changes detected in row 238. Values changed- Billet Diameter: #N/A=>#N/A, Alloy: #N/A=>#N/A, Weight: #N/A=>#N/A, Weight Type: #N/A=>#N/A, Spec: #N/A=>#N/A, Yield: 1=1=>1=1, QPE: =>, R/M Type: Forging_Closed_Die_F=>Forging_Closed_Die_F, Alloy Family: 0=>0, Engine Program: T64=>T64
Changes detected in row 241. Values changed- Billet Diameter: #N/A=>#N/A, Alloy: #N/A=>#N/A, Weight: #N/A=>#N/A, Weight Type: #N/A=>#N/A, Spec: #N/A=>#N/A, Yield: 1=1=>1=1, QPE: =>, R/M Type: Forging_Closed_Die_F=>Forging_Closed_Die_F, Alloy Family: 0=>0, Engine Program: T700=>T700
Changes detected in row 258. Values changed- Billet Diameter: #N/A=>#N/A, Alloy: #N/A=>#N/A, Weight: #N/A=>#N/A, Weight Type: #N/A=>#N/A, Spec: #N/A=>#N/A, Yield: 1=1=>1=1, QPE: =>, R/M Type: Forging_Closed_Die_F=>Forging_Closed_Die_F, Alloy Family: 0=>0, Engine Program: CF34=>CF34
Changes detected in row 276. Values changed- Billet Diameter: #N/A=>#N/A, Alloy: #N/A=>#N/A, Weight: #N/A=>#N/A, Weight Type: #N/A=>#N/A, Spec: #N/A=>#N/A, Yield: 1=1=>1=1, QPE: =>, R/M Type: =>, Alloy Family: 0=>0, Engine Program: CF34-8C/8E=>CF34-8C/8E
Changes detected in row 288. Values changed- Billet Diameter: #N/A=>#N/A, Alloy: #N/A=>#N/A, Weight: #N/A=>#N/A, Weight Type: #N/A=>#N/A, Spec: #N/A=>#N/A, Yield: 1=1=>1=1, QPE: =>, R/M Type: =>, Alloy Family: 0=>0, Engine Program: GENX-2B=>GENX-2B
Changes detected in row 293. Values changed- Billet Diameter: 0=>0, Alloy: 718+=>718+, Weight: 0=>0, Weight Type: 0=>0, Spec: B50TF317 CL-A=>B50TF317 CL-A, Yield: 1=1=>1=1, QPE: 1=>1, R/M Type: Forging_Closed_Die_F=>Forging_Closed_Die_F, Alloy Family: 718+=>718+, Engine Program: LEAP-1B=>LEAP-1B
Changes detected in row 295. Values changed- Billet Diameter: #N/A=>#N/A, Alloy: #N/A=>#N/A, Weight: #N/A=>#N/A, Weight Type: #N/A=>#N/A, Spec: #N/A=>#N/A, Yield: 1=1=>1=1, QPE: =>, R/M Type: Forging_Closed_Die_F=>Forging_Closed_Die_F, Alloy Family: 0=>0, Engine Program: CFM56=>CFM56
Changes detected in row 319. Values changed- Billet Diameter: #N/A=>#N/A, Alloy: #N/A=>#N/A, Weight: #N/A=>#N/A, Weight Type: #N/A=>#N/A, Spec: #N/A=>#N/A, Yield: 1=1=>1=1, QPE: =>, R/M Type:  Forging_Closed_Die_F => Forging_Closed_Die_F , Alloy Family: 0=>0, Engine Program: LM=>LM
Changes detected in row 320. Values changed- Billet Diameter: #N/A=>#N/A, Alloy: #N/A=>#N/A, Weight: #N/A=>#N/A, Weight Type: #N/A=>#N/A, Spec: #N/A=>#N/A, Yield: 1=1=>1=1, QPE: =>, R/M Type:  Forging_Closed_Die_F => Forging_Closed_Die_F , Alloy Family: 0=>0, Engine Program: CPX38=>CPX38
Changes detected in row 321. Values changed- Billet Diameter: #N/A=>#N/A, Alloy: #N/A=>#N/A, Weight: #N/A=>#N/A, Weight Type: #N/A=>#N/A, Spec: #N/A=>#N/A, Yield: 1=1=>1=1, QPE: =>, R/M Type:  Forging_Closed_Die_F => Forging_Closed_Die_F , Alloy Family: 0=>0, Engine Program: CPX38=>CPX38
Changes detected in row 322. Values changed- Billet Diameter: 0=>0, Alloy: 0=>0, Weight: 0=>0, Weight Type: 0=>0, Spec: 0=>0, Yield: 1=1=>1=1, QPE: =>, R/M Type: Flash Welded=>Flash Welded, Alloy Family: 0=>0, Engine Program: CF6-6=>CF6-6
Changes detected in row 323. Values changed- Billet Diameter: #N/A=>#N/A, Alloy: #N/A=>#N/A, Weight: #N/A=>#N/A, Weight Type: #N/A=>#N/A, Spec: #N/A=>#N/A, Yield: 1=1=>1=1, QPE: =>, R/M Type:  Forging_Closed_Die_F => Forging_Closed_Die_F , Alloy Family: 0=>0, Engine Program: F101=>F101
