Changes detected in row 551. Values changed- Billet Diameter: 12=>12, Alloy: M152=>M152, Weight: 265.1=>265.1, Weight Type: Yielded=>Yielded, Spec: C50TF68B=>C50TF68B, Yield: 1=1=>1=1, QPE: =>, R/M Type: Forging_Ring_Seamless_or_Welded_W=>Forging_Ring_Seamless_or_Welded_W, Alloy Family: St=>St, Engine Program: LM6000=>LM6000
Changes detected in row 552. Values changed- Billet Diameter: 12=>12, Alloy: M152=>M152, Weight: 265.1=>265.1, Weight Type: 0=>0, Spec: C50TF68B=>C50TF68B, Yield: 1=1=>1=1, QPE: =>, R/M Type: Forging_Ring_Seamless_or_Welded_W=>Forging_Ring_Seamless_or_Welded_W, Alloy Family: St=>St, Engine Program: LM6000=>LM6000
Changes detected in row 553. Values changed- Billet Diameter: 8=>8, Alloy: Ti 6-4=>Ti 6-4, Weight: 50.0=>50.0, Weight Type: 0=>0, Spec: AMS 4928=>AMS 4928, Yield: 1=1=>1=1, QPE: =>, R/M Type: Forging_Closed_Die_F=>Forging_Closed_Die_F, Alloy Family: Ti=>Ti, Engine Program: CF6=>CF6
Changes detected in row 554. Values changed- Billet Diameter: 8=>8, Alloy: Ti 6-4=>Ti 6-4, Weight: 59.5=>59.5, Weight Type: Yielded=>Yielded, Spec: C50TF12B=>C50TF12B, Yield: 1=1=>1=1, QPE: =>, R/M Type: Forging_Ring_Seamless_or_Welded_W=>Forging_Ring_Seamless_or_Welded_W, Alloy Family: Ti=>Ti, Engine Program: CF6-80C/-80E=>CF6-80C/-80E
Changes detected in row 555. Values changed- Billet Diameter: 3=>3, Alloy: M250=>M250, Weight: 9.1=>9.1, Weight Type: Yielded=>Yielded, Spec: B50TF95=>B50TF95, Yield: 1=1=>1=1, QPE: =>, R/M Type: Forging_Ring_Seamless_or_Welded_W=>Forging_Ring_Seamless_or_Welded_W, Alloy Family: St=>St, Engine Program: CF6=>CF6
Changes detected in row 556. Values changed- Billet Diameter: 8=>8, Alloy: Ti 6-4=>Ti 6-4, Weight: 50.0=>50.0, Weight Type: Yielded=>Yielded, Spec: AMS 4928=>AMS 4928, Yield: 1=1=>1=1, QPE: =>, R/M Type: Forging_Closed_Die_F=>Forging_Closed_Die_F, Alloy Family: Ti=>Ti, Engine Program: CF6=>CF6
Changes detected in row 557. Values changed- Billet Diameter: 4=>4, Alloy: 718=>718, Weight: 8.0=>8.0, Weight Type: Yielded=>Yielded, Spec: C50TF6=>C50TF6, Yield: 1=3=>1=3, QPE: =>, R/M Type: Forging_Ring_Seamless_or_Welded_W=>Forging_Ring_Seamless_or_Welded_W, Alloy Family: Ni=>Ni, Engine Program: GE90=>GE90
Changes detected in row 558. Values changed- Billet Diameter: 6=>6, Alloy: 718=>718, Weight: 70.0=>70.0, Weight Type: Yielded=>Yielded, Spec: B50TF15=>B50TF15, Yield: 1=1=>1=1, QPE: =>, R/M Type: Seal Forging(for 1962M75P02)=>Seal Forging(for 1962M75P02), Alloy Family: Ni=>Ni, Engine Program: GE90      =>GE90      
Changes detected in row 559. Values changed- Billet Diameter: 7=>7, Alloy: 17.4PH=>17.4PH, Weight: 79.0=>79.0, Weight Type: Yielded=>Yielded, Spec: AMS 5643=>AMS 5643, Yield: 1=1=>1=1, QPE: =>, R/M Type: Forging_Ring_Seamless_or_Welded_W=>Forging_Ring_Seamless_or_Welded_W, Alloy Family: St=>St, Engine Program: GE90=>GE90
Changes detected in row 560. Values changed- Billet Diameter: 7=>7, Alloy: 17.4PH=>17.4PH, Weight: 33.9=>33.9, Weight Type: 0=>0, Spec: AMS 5643=>AMS 5643, Yield: 1=1=>1=1, QPE: =>, R/M Type: Forging_Ring_Seamless_or_Welded_W=>Forging_Ring_Seamless_or_Welded_W, Alloy Family: St=>St, Engine Program: GE90=>GE90
Changes detected in row 561. Values changed- Billet Diameter: 7=>7, Alloy: 17.4PH=>17.4PH, Weight: 53.1=>53.1, Weight Type: Yielded=>Yielded, Spec: AMS 5643=>AMS 5643, Yield: 1=1=>1=1, QPE: =>, R/M Type: Forging_Ring_Seamless_or_Welded_W=>Forging_Ring_Seamless_or_Welded_W, Alloy Family: St=>St, Engine Program: GE90=>GE90
Changes detected in row 562. Values changed- Billet Diameter: 8=>8, Alloy: 718=>718, Weight: 132.0=>132.0, Weight Type: Yielded=>Yielded, Spec: B50TF15=>B50TF15, Yield: 1=1=>1=1, QPE: =>, R/M Type: Forging_Ring_Seamless_or_Welded_W=>Forging_Ring_Seamless_or_Welded_W, Alloy Family: Ni=>Ni, Engine Program: GE90=>GE90
Changes detected in row 563. Values changed- Billet Diameter: 19.5=>19.5, Alloy: 2219=>2219, Weight: "1,139.0"=>"1,139.0", Weight Type: 0=>0, Spec: AMS 4144=>AMS 4144, Yield: 1=1=>1=1, QPE: =>, R/M Type: Forging_Ring_Seamless_or_Welded_W=>Forging_Ring_Seamless_or_Welded_W, Alloy Family: Al=>Al, Engine Program: CF34-10E=>CF34-10E
Changes detected in row 564. Values changed- Billet Diameter: 8=>8, Alloy: 909=>909, Weight: 32.0=>32.0, Weight Type: Yielded=>Yielded, Spec: C50TF95=>C50TF95, Yield: 1=1=>1=1, QPE: =>, R/M Type: Forging_Ring_Seamless_or_Welded_W=>Forging_Ring_Seamless_or_Welded_W, Alloy Family: Ni=>Ni, Engine Program: CF34=>CF34
Changes detected in row 565. Values changed- Billet Diameter: 8=>8, Alloy: 718R=>718R, Weight: 97.0=>97.0, Weight Type: Yielded=>Yielded, Spec: C50TF37=>C50TF37, Yield: 1=1=>1=1, QPE: =>, R/M Type: Forging_Ring_Seamless_or_Welded_W=>Forging_Ring_Seamless_or_Welded_W, Alloy Family: Ni=>Ni, Engine Program: GP7200=>GP7200
Changes detected in row 566. Values changed- Billet Diameter: 6=>6, Alloy: 718=>718, Weight: 70.0=>70.0, Weight Type: 0=>0, Spec: B50TF15=>B50TF15, Yield: 1=1=>1=1, QPE: =>, R/M Type:  => , Alloy Family: Ni=>Ni, Engine Program: Genx=>Genx
Changes detected in row 567. Values changed- Billet Diameter: 6=>6, Alloy: 718=>718, Weight: 70.0=>70.0, Weight Type: 0=>0, Spec: B50TF15=>B50TF15, Yield: 1=1=>1=1, QPE: =>, R/M Type: Forging_Ring_Seamless_or_Welded_W=>Forging_Ring_Seamless_or_Welded_W, Alloy Family: Ni=>Ni, Engine Program: Genx=>Genx
Changes detected in row 568. Values changed- Billet Diameter: 8=>8, Alloy: 17.4PH=>17.4PH, Weight: 64.9=>64.9, Weight Type: Yielded=>Yielded, Spec: AMS 5643=>AMS 5643, Yield: 1.00=>1.00, QPE: =>, R/M Type: Forging_Ring_R=>Forging_Ring_R, Alloy Family: St=>St, Engine Program: GenX=>GenX
Changes detected in row 569. Values changed- Billet Diameter: 6=>6, Alloy: 440=>440, Weight: 36.0=>36.0, Weight Type: 0=>0, Spec: AMS 5630=>AMS 5630, Yield: 1.00=>1.00, QPE: =>, R/M Type: Forging_Ring_R=>Forging_Ring_R, Alloy Family: St=>St, Engine Program: GenX=>GenX
Changes detected in row 570. Values changed- Billet Diameter: 14=>14, Alloy: 15.5PH=>15.5PH, Weight: "1,214.0"=>"1,214.0", Weight Type: 0=>0, Spec: AMS 5659=>AMS 5659, Yield: 1.00=>1.00, QPE: =>, R/M Type: Forging_Ring_R=>Forging_Ring_R, Alloy Family: St=>St, Engine Program: GenX=>GenX
Changes detected in row 571. Values changed- Billet Diameter: 6=>6, Alloy: 909=>909, Weight: 39.4=>39.4, Weight Type: 0=>0, Spec: C50TF95=>C50TF95, Yield: 1=1=>1=1, QPE: =>, R/M Type: Forging_Ring_Seamless_or_Welded_W=>Forging_Ring_Seamless_or_Welded_W, Alloy Family: Ni=>Ni, Engine Program: CFM56-5/-7=>CFM56-5/-7
Changes detected in row 572. Values changed- Billet Diameter: 14=>14, Alloy: 15-5PH=>15-5PH, Weight: "1,488.0"=>"1,488.0", Weight Type: Yielded=>Yielded, Spec: AMS 5659=>AMS 5659, Yield: 1=1=>1=1, QPE: =>, R/M Type: Forging_Ring_Seamless_or_Welded_W=>Forging_Ring_Seamless_or_Welded_W, Alloy Family: St=>St, Engine Program: GE90=>GE90
Changes detected in row 573. Values changed- Billet Diameter: 8=>8, Alloy: 718=>718, Weight: 171.0=>171.0, Weight Type: 0=>0, Spec: B50TF15=>B50TF15, Yield: 1=1=>1=1, QPE: =>, R/M Type: Forging_Ring_Seamless_or_Welded_W=>Forging_Ring_Seamless_or_Welded_W, Alloy Family: Ni=>Ni, Engine Program: CF34=>CF34
Changes detected in row 574. Values changed- Billet Diameter: 4.5=>4.5, Alloy: 17.4PH=>17.4PH, Weight: 5.8=>5.8, Weight Type: Yielded=>Yielded, Spec: AMS 5643=>AMS 5643, Yield: 1=1=>1=1, QPE: =>, R/M Type: Forging_Ring_Seamless_or_Welded_W=>Forging_Ring_Seamless_or_Welded_W, Alloy Family: St=>St, Engine Program: CFM56-5/-7=>CFM56-5/-7
Changes detected in row 575. Values changed- Billet Diameter: 12=>12, Alloy: 718R=>718R, Weight: 67.5=>67.5, Weight Type: Yielded=>Yielded, Spec: C50TF37=>C50TF37, Yield: 1=4=>1=4, QPE: =>, R/M Type: Forging_Ring_Seamless_or_Welded_W=>Forging_Ring_Seamless_or_Welded_W, Alloy Family: Ni=>Ni, Engine Program: "CF6, LM6000"=>"CF6, LM6000"
Changes detected in row 576. Values changed- Billet Diameter: 12=>12, Alloy: 718=>718, Weight: 317.0=>317.0, Weight Type: 0=>0, Spec: B50TF15=>B50TF15, Yield: 1=1=>1=1, QPE: =>, R/M Type: Forging_Ring_Seamless_or_Welded_W=>Forging_Ring_Seamless_or_Welded_W, Alloy Family: Ni=>Ni, Engine Program: LMS100=>LMS100
Changes detected in row 577. Values changed- Billet Diameter: 6=>6, Alloy: 909=>909, Weight: 39.4=>39.4, Weight Type: 0=>0, Spec: C50TF95=>C50TF95, Yield: 1=1=>1=1, QPE: =>, R/M Type: Forging_Ring_Seamless_or_Welded_W=>Forging_Ring_Seamless_or_Welded_W, Alloy Family: Ni=>Ni, Engine Program: CFM56-5/-7=>CFM56-5/-7
Changes detected in row 578. Values changed- Billet Diameter: 4=>4, Alloy: 718=>718, Weight: 8.0=>8.0, Weight Type: Yielded=>Yielded, Spec: C50TF6=>C50TF6, Yield: 1=3=>1=3, QPE: =>, R/M Type: Forging_Ring_Seamless_or_Welded_W=>Forging_Ring_Seamless_or_Welded_W, Alloy Family: Ni=>Ni, Engine Program: GE90=>GE90
Changes detected in row 579. Values changed- Billet Diameter: 4=>4, Alloy: 4340VAR=>4340VAR, Weight: 11.3=>11.3, Weight Type: Yielded=>Yielded, Spec: AMS 6414=>AMS 6414, Yield: 1=1=>1=1, QPE: =>, R/M Type: Forging_Ring_Seamless_or_Welded_W=>Forging_Ring_Seamless_or_Welded_W, Alloy Family: St=>St, Engine Program: GE90=>GE90
Changes detected in row 580. Values changed- Billet Diameter: 6=>6, Alloy: 347 SS=>347 SS, Weight: 11.84=>11.84, Weight Type: 0=>0, Spec: AMS 5646=>AMS 5646, Yield: 1=12=>1=12, QPE: =>, R/M Type: Flash Welded=>Flash Welded, Alloy Family: St=>St, Engine Program: =>
Changes detected in row 581. Values changed- Billet Diameter: 7=>7, Alloy: 410=>410, Weight: 23.5=>23.5, Weight Type: Yielded=>Yielded, Spec: AMS 5613=>AMS 5613, Yield: 1=1=>1=1, QPE: =>, R/M Type: Forging_Ring_Seamless_or_Welded_W=>Forging_Ring_Seamless_or_Welded_W, Alloy Family: St=>St, Engine Program: GE90=>GE90
Changes detected in row 582. Values changed- Billet Diameter: 8=>8, Alloy: 2618=>2618, Weight: 52.0=>52.0, Weight Type: Yielded=>Yielded, Spec: AMS 4132=>AMS 4132, Yield: 1=1=>1=1, QPE: =>, R/M Type: Forging_Ring_Seamless_or_Welded_W=>Forging_Ring_Seamless_or_Welded_W, Alloy Family: Al=>Al, Engine Program: Genx=>Genx
Changes detected in row 584. Values changed- Billet Diameter: 4=>4, Alloy: 4340VAR=>4340VAR, Weight: 14.0=>14.0, Weight Type: Yielded=>Yielded, Spec: AMS 6414=>AMS 6414, Yield: 1=1=>1=1, QPE: =>, R/M Type: Forging_Ring_Seamless_or_Welded_W=>Forging_Ring_Seamless_or_Welded_W, Alloy Family: St=>St, Engine Program: Genx=>Genx
Changes detected in row 585. Values changed- Billet Diameter: 3=>3, Alloy: 17.4PH=>17.4PH, Weight: 11.9=>11.9, Weight Type: Yielded=>Yielded, Spec: AMS 5643=>AMS 5643, Yield: 1=1=>1=1, QPE: =>, R/M Type: Forging_Ring_Seamless_or_Welded_W=>Forging_Ring_Seamless_or_Welded_W, Alloy Family: St=>St, Engine Program: Genx=>Genx
Changes detected in row 586. Values changed- Billet Diameter: 3=>3, Alloy: 718=>718, Weight: 8.6=>8.6, Weight Type: Yielded=>Yielded, Spec: B50TF15=>B50TF15, Yield: 1=5=>1=5, QPE: =>, R/M Type: Forging_Ring_Seamless_or_Welded_W=>Forging_Ring_Seamless_or_Welded_W, Alloy Family: Ni=>Ni, Engine Program: Genx=>Genx
Changes detected in row 587. Values changed- Billet Diameter: 0=>0, Alloy: I-718=>I-718, Weight: 0=>0, Weight Type: 0=>0, Spec: AMS 5663=>AMS 5663, Yield: 1=1=>1=1, QPE: 1=>1, R/M Type: Forging_Ring_Seamless_or_Welded_W=>Forging_Ring_Seamless_or_Welded_W, Alloy Family: I718=>I718, Engine Program: LEAP A/C=>LEAP A/C
Changes detected in row 588. Values changed- Billet Diameter: 6=>6, Alloy: 347=>347, Weight: 2.0=>2.0, Weight Type: 0=>0, Spec: AMS 5646=>AMS 5646, Yield: 1=14=>1=14, QPE: =>, R/M Type: Forging_Ring_Seamless_or_Welded_W=>Forging_Ring_Seamless_or_Welded_W, Alloy Family: St=>St, Engine Program: F404=>F404
Changes detected in row 589. Values changed- Billet Diameter: 6=>6, Alloy: 347=>347, Weight: 2.0=>2.0, Weight Type: 0=>0, Spec: AMS 5646=>AMS 5646, Yield: 1=14=>1=14, QPE: =>, R/M Type: Forging_Ring_Seamless_or_Welded_W=>Forging_Ring_Seamless_or_Welded_W, Alloy Family: St=>St, Engine Program: F404=>F404
Changes detected in row 590. Values changed- Billet Diameter: 6=>6, Alloy: 347=>347, Weight: 2.0=>2.0, Weight Type: 0=>0, Spec: AMS 5646=>AMS 5646, Yield: 1=14=>1=14, QPE: =>, R/M Type: Forging_Ring_Seamless_or_Welded_W=>Forging_Ring_Seamless_or_Welded_W, Alloy Family: St=>St, Engine Program: F404=>F404
Changes detected in row 591. Values changed- Billet Diameter: 6=>6, Alloy: 347=>347, Weight: 2.0=>2.0, Weight Type: 0=>0, Spec: AMS 5646=>AMS 5646, Yield: 1=14=>1=14, QPE: =>, R/M Type: Forging_Ring_Seamless_or_Welded_W=>Forging_Ring_Seamless_or_Welded_W, Alloy Family: St=>St, Engine Program: F404=>F404
Changes detected in row 592. Values changed- Billet Diameter: 4=>4, Alloy: 718=>718, Weight: 10.0=>10.0, Weight Type: Yielded=>Yielded, Spec: B50TF15=>B50TF15, Yield: 1=1=>1=1, QPE: =>, R/M Type: Forging_Ring_Seamless_or_Welded_W=>Forging_Ring_Seamless_or_Welded_W, Alloy Family: Ni=>Ni, Engine Program: LM2500=>LM2500
Changes detected in row 593. Values changed- Billet Diameter: 7=>7, Alloy: 17.4PH=>17.4PH, Weight: 53.1=>53.1, Weight Type: Yielded=>Yielded, Spec: AMS 5643=>AMS 5643, Yield: 1=1=>1=1, QPE: =>, R/M Type: Forging_Ring_Seamless_or_Welded_W=>Forging_Ring_Seamless_or_Welded_W, Alloy Family: St=>St, Engine Program: GE90=>GE90
Changes detected in row 594. Values changed- Billet Diameter: 6=>6, Alloy: Ti 6-4=>Ti 6-4, Weight: 26.0=>26.0, Weight Type: Yielded=>Yielded, Spec: AMS 4928=>AMS 4928, Yield: 1=1=>1=1, QPE: =>, R/M Type: Forging_Ring_Seamless_or_Welded_W=>Forging_Ring_Seamless_or_Welded_W, Alloy Family: Ti=>Ti, Engine Program: GEnx=>GEnx
Changes detected in row 595. Values changed- Billet Diameter: 6=>6, Alloy: 17.4PH=>17.4PH, Weight: 26.1=>26.1, Weight Type: Yielded=>Yielded, Spec: AMS 5643=>AMS 5643, Yield: 1=1=>1=1, QPE: =>, R/M Type: Forging_Ring_Seamless_or_Welded_W=>Forging_Ring_Seamless_or_Welded_W, Alloy Family: St=>St, Engine Program: Genx=>Genx
Changes detected in row 596. Values changed- Billet Diameter: 6=>6, Alloy: 17.4PH=>17.4PH, Weight: 26.1=>26.1, Weight Type: 0=>0, Spec: AMS 5643=>AMS 5643, Yield: 1=1=>1=1, QPE: =>, R/M Type: Forging_Ring_Seamless_or_Welded_W=>Forging_Ring_Seamless_or_Welded_W, Alloy Family: St=>St, Engine Program: Genx=>Genx
Changes detected in row 597. Values changed- Billet Diameter: 8=>8, Alloy: 718TM=>718TM, Weight: 88.5=>88.5, Weight Type: 0=>0, Spec: C50TF81=>C50TF81, Yield: 1=1=>1=1, QPE: =>, R/M Type: Forging_Ring_Seamless_or_Welded_W=>Forging_Ring_Seamless_or_Welded_W, Alloy Family: Ni=>Ni, Engine Program: "LM500, CF34, TF34"=>"LM500, CF34, TF34"
Changes detected in row 599. Values changed- Billet Diameter: 4=>4, Alloy: 17.4PH=>17.4PH, Weight: 32.4=>32.4, Weight Type: Yielded=>Yielded, Spec: AMS 5643=>AMS 5643, Yield: 1=1=>1=1, QPE: =>, R/M Type: Forging_Ring_Seamless_or_Welded_W=>Forging_Ring_Seamless_or_Welded_W, Alloy Family: St=>St, Engine Program: LM6000=>LM6000
Changes detected in row 600. Values changed- Billet Diameter: 8=>8, Alloy: 17.4PH=>17.4PH, Weight: 67.0=>67.0, Weight Type: 0=>0, Spec: AMS 5643=>AMS 5643, Yield: 1=8=>1=8, QPE: =>, R/M Type: Forging_Ring_Seamless_or_Welded_W=>Forging_Ring_Seamless_or_Welded_W, Alloy Family: St=>St, Engine Program: Genx=>Genx
Changes detected in row 601. Values changed- Billet Diameter: 8=>8, Alloy: 17.4PH=>17.4PH, Weight: 67.0=>67.0, Weight Type: 0=>0, Spec: AMS 5643=>AMS 5643, Yield: 1=8=>1=8, QPE: =>, R/M Type: Forging_Ring_Seamless_or_Welded_W=>Forging_Ring_Seamless_or_Welded_W, Alloy Family: St=>St, Engine Program: Genx=>Genx
Changes detected in row 602. Values changed- Billet Diameter: 8=>8, Alloy: 17.4PH=>17.4PH, Weight: 78.0=>78.0, Weight Type: 0=>0, Spec: AMS 5643=>AMS 5643, Yield: 1=8=>1=8, QPE: =>, R/M Type: Forging_Ring_Seamless_or_Welded_W=>Forging_Ring_Seamless_or_Welded_W, Alloy Family: St=>St, Engine Program: Genx=>Genx
Changes detected in row 603. Values changed- Billet Diameter: 8=>8, Alloy: 17.4PH=>17.4PH, Weight: 78.0=>78.0, Weight Type: 0=>0, Spec: AMS 5643=>AMS 5643, Yield: 1=8=>1=8, QPE: =>, R/M Type: Forging_Ring_Seamless_or_Welded_W=>Forging_Ring_Seamless_or_Welded_W, Alloy Family: St=>St, Engine Program: Genx=>Genx
Changes detected in row 604. Values changed- Billet Diameter: 6=>6, Alloy: 17.4PH=>17.4PH, Weight: 26.1=>26.1, Weight Type: 0=>0, Spec: AMS 5643=>AMS 5643, Yield: 1=1=>1=1, QPE: =>, R/M Type: Forging_Ring_Seamless_or_Welded_W=>Forging_Ring_Seamless_or_Welded_W, Alloy Family: St=>St, Engine Program: Genx=>Genx
Changes detected in row 605. Values changed- Billet Diameter: 4=>4, Alloy: 718TM=>718TM, Weight: 15.1=>15.1, Weight Type: Yielded=>Yielded, Spec: C50TF103=>C50TF103, Yield: 1=1=>1=1, QPE: =>, R/M Type: Forging_Ring_Seamless_or_Welded_W=>Forging_Ring_Seamless_or_Welded_W, Alloy Family: Ni=>Ni, Engine Program: CF34=>CF34
Changes detected in row 606. Values changed- Billet Diameter: 14.5=>14.5, Alloy: 6061=>6061, Weight: 76.5=>76.5, Weight Type: 0=>0, Spec: AMS 4127=>AMS 4127, Yield: 1=1=>1=1, QPE: =>, R/M Type: Forging_Ring_Seamless_or_Welded_W=>Forging_Ring_Seamless_or_Welded_W, Alloy Family: Al=>Al, Engine Program: CF34=>CF34
Changes detected in row 607. Values changed- Billet Diameter: 12.5=>12.5, Alloy: 6061=>6061, Weight: 56.5=>56.5, Weight Type: 0=>0, Spec: AMS 4127=>AMS 4127, Yield: 1=1=>1=1, QPE: =>, R/M Type: Forging_Ring_Seamless_or_Welded_W=>Forging_Ring_Seamless_or_Welded_W, Alloy Family: Al=>Al, Engine Program: CF34=>CF34
Changes detected in row 608. Values changed- Billet Diameter: 3=>3, Alloy: WASP=>WASP, Weight: 0.2=>0.2, Weight Type: 0=>0, Spec: AMS 5707=>AMS 5707, Yield: 1=49=>1=49, QPE: =>, R/M Type: Forging_Ring_Seamless_or_Welded_W=>Forging_Ring_Seamless_or_Welded_W, Alloy Family: Ni=>Ni, Engine Program: =>
Changes detected in row 609. Values changed- Billet Diameter: 3=>3, Alloy: WASP=>WASP, Weight: 13.0=>13.0, Weight Type: 0=>0, Spec: AMS 5707=>AMS 5707, Yield: 1=6=4=>1=6=4, QPE: =>, R/M Type: Forging_Ring_Seamless_or_Welded_W=>Forging_Ring_Seamless_or_Welded_W, Alloy Family: Ni=>Ni, Engine Program: "CT7-9, T700"=>"CT7-9, T700"
Changes detected in row 611. Values changed- Billet Diameter: 8=>8, Alloy: 909=>909, Weight: 241.0=>241.0, Weight Type: Yielded=>Yielded, Spec: C50TF95=>C50TF95, Yield: 1=1=>1=1, QPE: =>, R/M Type: Forging_Ring_Seamless_or_Welded_W=>Forging_Ring_Seamless_or_Welded_W, Alloy Family: Ni=>Ni, Engine Program: CFM56-5/-7=>CFM56-5/-7
Changes detected in row 612. Values changed- Billet Diameter: 8=>8, Alloy: 909=>909, Weight: 241.0=>241.0, Weight Type: 0=>0, Spec: C50TF95=>C50TF95, Yield: 1=1=>1=1, QPE: =>, R/M Type: Forging_Ring_Seamless_or_Welded_W=>Forging_Ring_Seamless_or_Welded_W, Alloy Family: Ni=>Ni, Engine Program: CFM56-5/-7=>CFM56-5/-7
Changes detected in row 613. Values changed- Billet Diameter: 8=>8, Alloy: 718R=>718R, Weight: 266.0=>266.0, Weight Type: 0=>0, Spec: C50TF37=>C50TF37, Yield: 1=1=>1=1, QPE: =>, R/M Type: "CASE, COMBUSTION"=>"CASE, COMBUSTION", Alloy Family: Ni=>Ni, Engine Program: CFM56=>CFM56
Changes detected in row 614. Values changed- Billet Diameter: 8=>8, Alloy: 718=>718, Weight: 128.4=>128.4, Weight Type: 0=>0, Spec: B50TF15=>B50TF15, Yield: 1=1=>1=1, QPE: =>, R/M Type: Forging_Ring_Seamless_or_Welded_W=>Forging_Ring_Seamless_or_Welded_W, Alloy Family: Ni=>Ni, Engine Program: CF6=>CF6
Changes detected in row 615. Values changed- Billet Diameter: 8=>8, Alloy: 718=>718, Weight: 128.4=>128.4, Weight Type: 0=>0, Spec: B50TF15=>B50TF15, Yield: 1=1=>1=1, QPE: =>, R/M Type: Forging_Ring_Seamless_or_Welded_W=>Forging_Ring_Seamless_or_Welded_W, Alloy Family: Ni=>Ni, Engine Program: CF6=>CF6
Changes detected in row 616. Values changed- Billet Diameter: 8=>8, Alloy: 718=>718, Weight: 128.4=>128.4, Weight Type: 0=>0, Spec: B50TF15=>B50TF15, Yield: 1=1=>1=1, QPE: =>, R/M Type: Forging_Ring_Seamless_or_Welded_W=>Forging_Ring_Seamless_or_Welded_W, Alloy Family: Ni=>Ni, Engine Program: CF6=>CF6
Changes detected in row 617. Values changed- Billet Diameter: 8=>8, Alloy: 718=>718, Weight: 103.1=>103.1, Weight Type: 0=>0, Spec: B50TF15=>B50TF15, Yield: 1=1=>1=1, QPE: =>, R/M Type: Forging_Ring_Seamless_or_Welded_W=>Forging_Ring_Seamless_or_Welded_W, Alloy Family: Ni=>Ni, Engine Program: CF6=>CF6
Changes detected in row 618. Values changed- Billet Diameter: 8=>8, Alloy: 718=>718, Weight: 128.4=>128.4, Weight Type: 0=>0, Spec: B50TF15=>B50TF15, Yield: 1=1=>1=1, QPE: =>, R/M Type: Forging_Ring_Seamless_or_Welded_W=>Forging_Ring_Seamless_or_Welded_W, Alloy Family: Ni=>Ni, Engine Program: CF6=>CF6
Changes detected in row 619. Values changed- Billet Diameter: 8=>8, Alloy: 718=>718, Weight: 103.1=>103.1, Weight Type: 0=>0, Spec: B50TF15=>B50TF15, Yield: 1=1=>1=1, QPE: =>, R/M Type: Forging_Ring_Seamless_or_Welded_W=>Forging_Ring_Seamless_or_Welded_W, Alloy Family: Ni=>Ni, Engine Program: CF6=>CF6
Changes detected in row 620. Values changed- Billet Diameter: 14.75=>14.75, Alloy: M152=>M152, Weight: 477.0=>477.0, Weight Type: Yielded=>Yielded, Spec: C50TF68B=>C50TF68B, Yield: 1=1=>1=1, QPE: =>, R/M Type: Forging_Ring_Seamless_or_Welded_W=>Forging_Ring_Seamless_or_Welded_W, Alloy Family: St=>St, Engine Program: CF34=>CF34
Changes detected in row 621. Values changed- Billet Diameter: 14.75=>14.75, Alloy: M152=>M152, Weight: 477.0=>477.0, Weight Type: 0=>0, Spec: C50TF68B=>C50TF68B, Yield: 1=1=>1=1, QPE: =>, R/M Type: Forging_Ring_Seamless_or_Welded_W=>Forging_Ring_Seamless_or_Welded_W, Alloy Family: St=>St, Engine Program: CF34=>CF34
Changes detected in row 624. Values changed- Billet Diameter: 8=>8, Alloy: 718R=>718R, Weight: 266.0=>266.0, Weight Type: Yielded=>Yielded, Spec: C50TF37=>C50TF37, Yield: 1=1=>1=1, QPE: =>, R/M Type: "CASE, COMBUSTION"=>"CASE, COMBUSTION", Alloy Family: Ni=>Ni, Engine Program: CFM56=>CFM56
Changes detected in row 625. Values changed- Billet Diameter: 8=>8, Alloy: 718R=>718R, Weight: 266.0=>266.0, Weight Type: 0=>0, Spec: C50TF37=>C50TF37, Yield: 1=1=>1=1, QPE: =>, R/M Type: "CASE, COMBUSTION"=>"CASE, COMBUSTION", Alloy Family: Ni=>Ni, Engine Program: CFM56=>CFM56
Changes detected in row 626. Values changed- Billet Diameter: 9.5=>9.5, Alloy: R41=>R41, Weight: 222.0=>222.0, Weight Type: 0=>0, Spec: B50TF110=>B50TF110, Yield: 1=1=>1=1, QPE: =>, R/M Type: Forging_Ring_Seamless_or_Welded_W=>Forging_Ring_Seamless_or_Welded_W, Alloy Family: Ni=>Ni, Engine Program: GP7200=>GP7200
Changes detected in row 627. Values changed- Billet Diameter: 12=>12, Alloy: 718+=>718+, Weight: 120.3=>120.3, Weight Type: 0=>0, Spec: B50TF317=>B50TF317, Yield: 1=1=>1=1, QPE: =>, R/M Type: Forging_Ring_Seamless_or_Welded_W=>Forging_Ring_Seamless_or_Welded_W, Alloy Family: Ni=>Ni, Engine Program: GP7200=>GP7200
Changes detected in row 628. Values changed- Billet Diameter: 8=>8, Alloy: 783=>783, Weight: 60.3=>60.3, Weight Type: 0=>0, Spec: AMS 5940=>AMS 5940, Yield: 1=1=>1=1, QPE: =>, R/M Type: Forging_Ring_Seamless_or_Welded_W=>Forging_Ring_Seamless_or_Welded_W, Alloy Family: Ni=>Ni, Engine Program: GP7200=>GP7200
Changes detected in row 629. Values changed- Billet Diameter: 8=>8, Alloy: 909=>909, Weight: 32.0=>32.0, Weight Type: Yielded=>Yielded, Spec: C50TF95=>C50TF95, Yield: 1=1=>1=1, QPE: =>, R/M Type: Forging_Ring_Seamless_or_Welded_W=>Forging_Ring_Seamless_or_Welded_W, Alloy Family: Ni=>Ni, Engine Program: CF34=>CF34
