PART NUMBER,E/P,Alloy,Spec,Size,Gr. Wt.,Mults ,Yields,2014 Price,2015 price
6056T57 P01,CF6,6-4,AMS 4928, 8.00 ,91.8,1, 1 = 1 (16),"5,143","5,040"
6066T50 G02,F404,6-4,C50TF12 A, 14.00 ,599.6,1, 1 = 1,"34,427","33,738"
6071T03 G07 (F1191-3),CT7/T700,909,C50TF95, 4.00 ,20.0,2, 1 = 1,225,221
6071T97P04,,718,B50TF15,6.00,76,2, 1 = 1,"1,737","1,702"
6072T77 P01,F404,6061,AMS 4127, 7.25 ,26.4,1, 1 = 1 (12),270,265
9065M25 P05,CF6-6,718,C50TF6, 4.00 ,38.2,1, 1 = 1,938,919
9186M99 P03,CF6,718 MG,C50TF72, 8.00 ,201.5,3, 1 = 1,"1,857","1,820"
9208M83 P02 / P03,CF6/LM2500,718 P,C50TF37, 8.00 ,142.7,3, 1 = 1,939,920
9211M10 G01,LM2500,6061,AMS 4127, 6.00 ,25.9,1, 1 = 1 (8),500,490
9295M30 G05 / G06 (4001M72 G01 / 4014M37 G01),CF6/LM6000,2219,AMS 4143, 9.25 ,68.9,1, 1 = 1 (16),408,400
9379M41 P01 (G09),CF6-80C,6061,AMS 4127, 7.25 ,28.0,4, 1 = 1 (2),79,77
9379M41 P01 / P02 (G05),CF6-80C,6061,AMS 4127, 7.25 ,35.6,4, 1 = 1 (2),73,72
9379M41 P02 (G09),CF6-80C,6061,AMS 4127, 7.25 ,35.6,4, 1 = 1 (2),99,97
9511S2001455 (3063T81),CF34,718,B50TF15, 4.00 ,33.4,1, 1 = 1 (2),859,842
9511S2001456 (3063T81),CF34,718,B50TF15, 4.00 ,29.2,1, 1 = 1 (2),726,711
9511S2001493 (17A190-048),CF34-3,17-4,AMS 5643, 6.00 ,81.4,2, 1 = 1,246,241
9516S2000185 (L16604)  (L14475P02),LM2500,A286 P,C50TF78, 6.00 ,110.8,1, 1 = 1,"3,010","2,950"
9516S2000500 (1685M58) (R0347-002B),GE90 Base,6-4 CH,C50TF12 I, 12.00 ,878.7,2, 1 = 1,"27,513","26,963"
9526M78P01,F110,R41,B50TF75,9.50,451,1, 1 = 1,"17,821","17,465"
9527M71 P02,F101,718 T,C50TF104  , 8.00 ,157.7,4, 1 = 1,"1,122",1100
9530M56 G13,F110/F118,6-4,AMS 4928, 12.00 ,342.7,2, 1 = 1,"8,290","8,124"
9602M48 P04,LM2500,17-4,AMS 5643, 6.00 ,43.8,1, 1 = 1,295,289
9644M33 P04,LM2500,410,AMS 5612, 4.00 ,23.7,1, 1 = 1 (3),261,256
9661M15 P03 / P04,LM2500,Wasp,AMS 5709, 4.00 ,27.4,1, 1 = 1,771,756
9698M55 P04,CF6,718,B50TF15, 10.00 ,151.8,2, 1 = 1,"1,708","1,674"
9977006-340 P01 (9977013-760 P01),LM2500,718,B50TF15, 10.00 ,262.0,1, 1 = 1,"4,832","4,735"
9977006-488 P02,LM2500,718,B50TF15, 8.00 ,200.5,4, 1 = 1,893,875
9977009-317 P108 (9977010-378 P02),T700,909,C50TF95, 6.00 ,76.8,2, 1 = 1,895,877
9977010-892 P01,F404,6-2-4-2,B50TF22, 8.00 ,134.8,2, 1 = 1,"3,678","3,604"
9977010-894 (9977009-317 P76),F404,6-2-4-2,B50TF22, 12.00 ,146.0,2, 1 = 1,"3,927","3,848"
9977011-212 P01 / 9977013-653 G01 & -654 G01,F404,718,B50TF15, 8.00 ,302.0,4, 1 = 1,"1,042",1021
9977011-671 P02,TF34,6061,AMS 4127, 13.00 ,204.3,1, 1 = 1,712,698
9977013-203 P02 (-225 P01 / P02 / 9977013-485 / -486 G01),CFM56,909,C50TF95, 8.00 ,284.0,2, 1 = 1,"2,929","2,870"
9977013-204 P01 / -223 P01 (9977013-485 / -486 G01),CFM56,718,B50TF15, 12.00 ,290.0,2, 1 = 1,"2,604","2,552"
9977013-240 P01 (9977013-780 G01),F414,718 P,C50TF37, 8.00 ,175.7,1, 1 = 1,"3,879","3,801"
9977013-259 P02,F414,718 P,C50TF37, 8.00 ,130.7,3, 1 = 1,"1,265","1,240"
9977013-275 P01,CFE738,718 P,C50TF37, 12.00 ,750.0,1, 1 = 1,"21,482","21,052"
9977013-404 P01,GE90 Base,Wasp P,C50TF90, 12.00 ,1500.0,1, 1 = 1,"48,344","47,377"
9977013-556 P01 (9977013-686 P02),LM2500,718,B50TF15, Ing ,1715.0,1, 1 = 1,"33,832","33,155"
9977013-585 P03  (R4056-002B),LM2500,718,B50TF15, Ing ,1267.7,1, 1 = 1,"22,351","21,904"
9977013-586 P03  (R4057-005B),LM2500,Wasp,AMS 5706, Ing ,1553.0,1, 1 = 1,"40,937","40,118"
9977013-633 P01,LM2500,718,B50TF15, 10.00 ,385.8,2, 1 = 1,"3,871","3,794"
9977013-881 P02 (9977013-953 G01),F414,6-2-4-2,B50TF22, 8.00 ,115.8,2, 1 = 1,"2,782","2,726"
9977013-882 DET 9 (9977013-953 G01),F414,6-2-4-2,B50TF22, 8.00 ,75.9,2, 1 = 1,"2,197","2,153"
9977013-995 P01 (9977013-247),F414,718,B50TF15, 6.00 ,126.0,1, 1 = 1,"2,484","2,434"
9977014-010 P01,JSF,6-4,AMS 4928, 12.00 ,607.0,1, 1 = 1,"31,925","31,286"
9977014-011 P01,JSF,6-4,AMS 4928, 10.00 ,296.0,1, 1 = 1,"15,277","14,971"
9977014-012 P01,JSF,6-4,AMS 4928, 10.00 ,280.0,1, 1 = 1,"19,029","18,648"
BA01095 (4126T26/4145T05),CF34-8C & 8D & 8E,6061,AMS 4127,19.50,"1,162",3, 1 = 1,"2,022","1,982"
BA01096 (4123T28/4145T05),CF34-8C & 8D & 8E,6061,AMS 4127,9.25,95,2, 1 = 1,479,469
BA01097 (4126T27/4145T05),CF34-8C & 8D & 8E,6061,AMS 4127,9.25,145,2, 1 = 1,639,626
D1338M82-202,LM6000,718,B50TF15,6.00,101,2, 1 = 1,"2,043","2,002"
D1338M82-301,LM6000,718,B50TF15,6.00,67,3, 1 = 1,760,745
D191102 (4126T26/4145T05),CF34-8C & 8D & 8E,6061,AMS 4127,19.50,883,2, 1 = 1,"1,554","1,523"
D191103 (4126T27/4145T05),CF34-8C & 8D & 8E,6061,AMS 4127,9.25,144,2, 1 = 1,313,307
D191104 (4126T28/4145T05),CF34-8C & 8D & 8E,6061,AMS 4127,9.25,104,2, 1 = 1,245,240
D1964M33 P01,F110-132,6-4,AMS 4928,12.00,350,3, 1 = 1,"7,149","7,006"
D1964M33 P02,F110-132,6-4,AMS 4928,10.00,97,4, 1 = 1,"2,071","2,030"
D2007M77 P01,GE90-115B,6-4,AMS 4928,14.00,512,3, 1 = 1,"6,069","5,948"
D2027M82P05,JSF,R41,B50TF75,9.50,321,2, 1 = 1,"8,205","8,041"
D2070M46-3,CF34-10,909,C50TF95,6.00,51,2, 1 = 1,782,766
D2070M56 P01,CF34-10,718,B50TF15,10.00,249,2, 1 = 1,"2,952","2,893"
D2132M14 P01 (2132M15),JSF,6-4,AMS 4928,12.00,492,1, 1 = 1,"22,235","21,790"
D2132M14 P03 (2132M15),JSF,6-4,AMS 4928,10.00,285,1, 1 = 1,"15,805","15,489"
D3055M23 P02,J79,718,B50TF15,10.00,229,4, 1 = 1,"2,416","2,368"
D3055M23 P03,J79,718,B50TF15,8.00,239,4, 1 = 1,"2,464","2,415"
D4013584-056 P01 (L38699),LMS 100,718,AMS 5662 ,6.00,98,2, 1 = 1,"4,508","4,418"
D4013584-068 P01 (L38699),LMS 100,H188,B50TF74,8.00,601,2, 1 = 1,"20,051","19,650"
D4013584-069 P01 (L38699),LMS 100,H188,B50TF74,8.00,553,2, 1 = 1,"17,539","17,188"
D4150T43 P01,F414,6-2-4-2,B50TF22,8.00,133,4, 1 = 1,"3,870","3,793"
D5100T06-201,F414,718,B50TF15,6.00,51,1, 1 = 1,"1,599","1,567"
D5100T06-301,F414,R41,B50TF110,6.00,119,2, 1 = 1,"1,920","1,882"
D9174M68-23,LM2500,718,B50TF15,8.00,145,2, 1 = 1,"1,956","1,917"
D9174M68-901,LM2500,718,B50TF15,6.00,65,2, 1 = 1,"1,104","1,082"
DED2800 (2091M28),CF34-10,2219,AMS 4143, 19.50 ,"1,370",1, 1 = 1,"6,255","6,130"
DL38039-701 (17A190-483 & -609),LM2500 & LM2500 PLUS,H230,AMS 5891,10.00,305,2, 1 = 1,"5,614","5,502"
DL44513P0101,LM2500,718,B50TF15,8.00,273,2, 1 = 1,"3,832","3,755"
DL59000 P01,LM2500 PLUS Growth,718,B50TF15,8.00,329,2, 1 = 1,"7,779","7,623"
F0101-396B (1873M75) (replaces 42789905),CFM56-5B/5C/7,718,B50TF15, 10.00 ,327.0,1, 1 = 1,"7,166",7166
L14421 G04,LM2500,17-4,AMS 5643, 12.00 ,307.2,2, 1 = 1,890,872
L14423 P07 (2245D01),LM2500,17-4,AMS 5643, 8.00 ,271.4,3, 1 = 1,857,840
L21344 P05 (L21737),LM2500,321,AMS 5645, 6.00 ,52.8,2, 1 = 1,208,204
L24466 P01 (L21737),LM2500,300M,AMS 6417, 6.00 ,82.8,2, 1 = 1,832,815
L25366 P08,LM2500,4340 V,AMS 6414, 8.00 ,134.1,1, 1 = 1,"1,536","1,505"
L38202 P05 (L38200G07),,H188,B50TF74,8.00,274,1, 1 = 1,"16,262","15,937"
L38215 P01 (R0545-001B) (L38200G06),,H188,B50TF74,6.00,189,1, 1 = 1,"12,297","12,051"
L38626,LMS100,718 T,C50TF104, 10.00 ,643.8,1, 1 = 1,"23,626","23,153"
L38627,LMS100,718 T,C50TF104, 10.00 ,712.8,1, 1 = 1,"23,349","22,882"
L38628,LMS100,718 T,C50TF104, 10.00 ,742.8,1, 1 = 1,"25,087","24,585"
L38629,LMS100,718 T,C50TF104, 10.00 ,756,1, 1 = 1,"25,171","24,668"
L43372 P04,LM6000,R41 P,C50TF67, 6.00 ,100.1,1, 1 = 1,"4,064","3,983"
L43543 P05,LM6000,17-4,AMS 5643, 12.00 ,1067.0,5, 1 = 1,944,925
L44573 P01,LM6000,17-4,AMS 5643,8.00,155.4,1, 1 = 1,965,946
L44628 G06 IT2,LM6000,6061,AMS 4127, 13.00 ,142.3,5, 1 = 1,195,191
L44628 G06 IT3,LM6000,6061,AMS 4127, 13.00 ,307.3,2, 1 = 1,574,563
L45003 P01,LM6000,6061,AMS 4127, 13.00 ,285.3,2, 1 = 1,515,505
L45017 G05,LM6000,718,B50TF15, 4.00 ,28.9,1, 1 = 1 (2),617,605
L47299 P02 / P03,LM6000,R41 P,C50TF67, 6.00 ,96.1,1, 1 = 1,"4,085","4,003"
L47479 P02,LM2500,718 P,C50TF37, 8.00 ,240.7,1, 1 = 1 (5),"4,981","4,881"
L47731 P01,LM2500,L605,AMS 5759, 6.00 ,112.9,1, 1 = 1 (5),"4,548","4,457"
L50513 P01 (4013201-773),LM2500,718 T,C50TF104  , 8.00 ,232.7,2, 1 = 1,"3,494","3,424"
L50514 P01 (4013201-772),LM2500,718 T,C50TF104  , 8.00 ,192.7,2, 1 = 1,"3,103","3,041"
L50531-8F,LM2500 PLUS,L605,AMS 5759,6.00,133,3, 1 = 1,"2,069","2,028"
L50614 P03,L2500,718,B50TF15,8.00,241.4,1, 1 = 1 (4),"5,743","5,628"
L50615 P01,LM2500,718,B50TF15, 8.00 ,123.7,1, 1 = 1 (40),"4,708","4,614"
L56758 P01,LMS100,718,B50TF15, 8.00 ,165.7,1, 1 = 1,"3,905","3,827"
L56763 P01,LMS100,718,B50TF15, 10.00 ,142.0,1, 1 = 1,"3,599","3,527"
L56785 P03 ( replaces 4013542-805 P01 ),LMS100,718,AMS 5663, 8.00 ,175.8,2, 1 = 1,"3,031","2,970"
L57300 P01,LMS100,15-5,AMS 5659, 8.00 ,199.4,1, 1 = 1,"1,647","1,614"
L57301 P01,LM6000,17-4,AMS 5643, 8.00 ,433.4,1, 1 = 1,"1,861","1,824"
L57313 P01,LMS100,17-4,AMS 5643, 6.00 ,108.8,1, 1 = 1,879,861
P2A4801-98 (2357M29 G03),GENX,MAR250,B50TF95, 6.00 ,55,1, 1 = 1,"1,644",1611
VOLS:10019347,GENX,6-4,AMS 4928,12.00,482.5,6, 1 = 1,"2,223","2,179"
