PART NUMBER,E/P,Alloy,Spec,Size,Gr. Wt.,Mults ,Yields,2014 Price,2015 price
1865M45 P01 (singles),GE90 BASE/115,718 T,C50TF104  , 8.00 ,339.0,4, 1 = 1,"2,177","2,133"
1865M61 P01 / P03,CF34,718,B50TF15, 6.00 ,44.1,2, 1 = 1 (5),"2,052","2,011"
1961M18 P01 (2297D01),GE90-115B,718,B50TF15, 6.00 ,50.1,1, 1 = 1,"1,138","1,116"
1962M77 P01,GE90-115B,718,B50TF15, 8.00 ,140.7,1, 1 = 1,"2,578","2,526"
1962M78 G02,GE90-115B,718,AMS 5662 , 6.00 ,75.1,2, 1 = 1,712,698
1963M17 P01,GE90-115B,17-4,AMS 5643, 8.00 ,105.4,1, 1 = 1 (3),"1,536",1505
1963M18 P01 (2043M92 G01),GE90-115B,6-4,AMS 4928, 8.00 ,178.8,1, 1 = 1,"7,238","7,093"
1963M22 G01,GE90-115B,2618,AMS 4132, 6.00 ,42.4,1, 1 = 1,694,680
1963M30 G01 (4013522-346 P01),GE90 BASE/115,718,B50TF15, 6.00 ,128.0,1, 1 = 1,"3,489","3,419"
2007M20 P01,GE90-115B,2219,AMS 4144, 33.00 ,6029.0,1, 1 = 1,"49,311","48,325"
2013M92 P01,GE90-115B,6-4 CH,C50TF12 I, 10.00 ,553.2,2, 1 = 1,"8,587","8,415"
2013M99 P01,GE90-115B,6-4 CH,C50TF12 I, 12.00 ,892.0,2, 1 = 1,"15,369","15,062"
2032M20P02,CF34-10,7075,AMS 4141, 9.25 ,115.0,1, 1 = 1,"1,499","1,469"
2032M21 P01 (2050M35 G01),CF34-10,7075,AMS 4141, 5.0/7.25 ,18.9,1, 1 = 1,263,258
2032M59 P01,F110/F118,6-4,AMS 4928, 4.00 ,12.3,1, 1 = 1,651,638
2041M58 P01,GP7000,17-4,AMS 5643, 4.00 ,34.4,1, 1 = 1,388,380
2044M65,CF34-10,718,B50TF15, 6.00 ,41.3,1, 1 = 1,896,878
2047M50 P01,CF6-6,718 T,C50TF103, 6.00 ,67.7,1, 1 = 1,"1,814","1,778"
2048M48 P02,JSF,6-2-4-2,C50TF39B, 6.00 ,73.0,1, 1 = 1,"5,332","5,225"
2070M23 G01,CF34-10,7050,AMS 4108, 9.25 ,67.2,4, 1 = 1,202,198
2071M69 P01,F110,6-4,AMS 4928, 10.00 ,172.9,1, 1 = 1,"6,901","6,763"
2082M34 G04 (T020154-01),GE90 Base,Wasp,AMS 5706, 8.00 ,186.9,1, 1 = 1,"6,031","5,910"
2082M34 G04 (T020155-01),GE90 Base,Wasp,AMS 5706, 8.00 ,138.7,1, 1 = 1,"4,593","4,501"
2082M63,GE90-115B,7050,AMS 4108, 19.50 ,893.1,10, 1 = 1,503,493
2090M67 P01,GE90-115B,R41,B50TF110, 6.00 ,107.1,4, 1 = 1,863,846
2102M70 P01 (REPLACES 4013522-356),GE90-115B,15-5,AMS 5659, 14.00 ,1527.0,4, 1 = 1,"3,308","3,242"
2204M21P01,GE90-115B,6-2-4-2,AMS 4976,10.00,281,3, 1 = 1,"4,914","4,816"
2204M21P03,GE90-115B,6-2-4-2,AMS 4976,10.00,207,3, 1 = 1,"3,314","3,248"
2204M22P02,GE90-115B,6-2-4-2,AMS 4976,10.00,233,3, 1 = 1,"4,547","4,456"
2204M24P01,GE90-115B,625,AMS 5666,10.00,507,3, 1 = 1,"5,554","5,443"
2264M85 (replaces 4013536-261),GENX,7075,AMS 4311, 13.00 ,449.3,1, 1 = 1,"3,323","3,257"
2300M78 (being replaced by 2410M33)),GENX,718 T,C50TF104, 8.00 ,260.3,3, 1 = 1,"2,742","2,687"
2302M39 P01 (2415M48 P01-15-5 version),GENX,6-4,AMS 4928, 14.00 ,459.4,3, 1 = 1,"6,101","5,979"
2302M93 (T020216-01),GENX,718,B50TF15, 10.00 ,392.2,2, 1 = 1,"3,448","3,379"
2303M21 P01,GENX,Wasp,AMS 5706, 8.00 ,141.7,3, 1 = 1,"1,578","1,546"
2303M28 P01,GENX,R41,B50 TF110, 6.00 ,68.8,3, 1 = 1,"1,096","1,074"
2303M46,GENX,6-2-4-2,C50TF39B, 8.00 ,102.8,2, 1 = 1,"3,555","3,484"
2305M49 P01,GENX,718 P,C50TF37, 4.25 ,28.5,1, 1 = 1,"1,017",997
2305M99 P01,GENX,15-5,AMS 5659, 6.00 ,4709.0,2, 1 = 1,672,659
2410M33 P01 (replaces 2300M78),GENX,718 T,C50TF104, 8.00 ,206.0,3, 1 = 1,"2,644","2,591"
2415M48 P01 (2302M39  6-4 TI version),GENX,15-5,AMS 5659, 12.00 ,645.0,3, 1 = 1,"2,052","2,011"
2419M63G01/G02 (replaces 4013536-261),GENX,7075,AMS 4311, 13.00 ,449.3,1, 1 = 1,"3,323","3,257"
2447M13 P01,GENX,6-2-4-2,C50TF39B, 6.00 ,58.8,2, 1 = 1,"1,769","1,734"
2447M13 P02 (Replaces 2447M13 P01),GENX,6-2-4-2,C50TF39B, 6.00 ,58.8,2, 1 = 1,"1,864","1,827"
2462M84 P01 (replaces 2303M46),GENX,6-2-4-2,C50TF39B, 8.00 ,102.8,2, 1 = 1,"3,781","3,705"
