ID ,Finished Part Number ,QPE ,Forging Part Number ,Nomenclature ,"Finished Part L (+.010 Tol.) ","Finished Part ID (-.005 Tol.) ",Finished Part OD (+.005 Tol.) ,Material  Name ,Material Spec/Class,Drawing/Contour ,Current Supplier ,Current Price ,Winning Supplier ,,,Supplier Win % ,Updated percentages,2016 Price ,2017 Price ,YOY ,Mat. Type,VSE Intiated,VSE Phase ,Supplier Commit ,Shape Completed,Machining Supplier ,Machine Supplier % ,Change,Indirect PA,EP,,Old %,,New %,,notes
36,2474M24G03,1,2474M24G03.002R,"RING,ACTG,STG 1 UPPER",0.48,20.295,21.345,17-4PH,AMS 5643 or AMS 5604 (H1150 HT Cond.),,Firth ,$132.80,Alcoa China,,,60,50,$140,$133 ,5%,17-4PH,,,,,B&F ,50%,Alcoa 50%,,LEAP A/C,,,,,,
113,2542M81P01,1,2542M81P01.000R,"SEAL, ROTATING, OIL-NUMBER 4 BEARIN",1.665,4.36,6.399,15-5 PH,AMS 5659,,Alcoa Rochester,$187.00,GATD,0.3,0.3,30,30,$125,$119 ,5%,15-5PH,,,,,Xian ,30%,GATD 30%   ,,Leap-1B,40,37.5," $1,500.00 ",$37.50 ,"$1,500.00 ",
37,2474M24G04,1,2474M24G04.002R,"RING,ACTG,STG 1 UPPER",0.48,20.903,21.953,17-4PH,AMS 5643 or AMS 5604 (H1150 HT Cond.),,Alcoa Rochester,$134.00,Alcoa China,,,60,50,$143,$136 ,5%,17-4PH,,,,,B&F ,50%,Alcoa 50%,,LEAP A/C,,,,,,
136,2461M74P01,1,2461M74P01.000R,"SEAL, ROTATING, OIL-NUMBER 4 BEARIN",1.659,4.551,6.339,15-5 PH,AMS 2759/4,,LARSON,$128.00,GATD,0.2,0.2,20,20,$125,$119 ,5%,15-5PH,,,,,Liyang ,50%,30%  Alcoa / 20% GATD ,,Leap-1B/ AC,150,25," $3,750.00 ",$25.00 ,"$3,750.00 ",
38,2474M25G01,1,2474M25G01.002R,"RING,ACTG,STG 1 LOWER",0.48,21.429,22.479,17-4PH,AMS 5643 or AMS 5604 (H1150 HT Cond.),,Alcoa Rochester,$143.20,Alcoa China,,,60,50,$144,$137 ,5%,17-4PH,,,,,B&F ,50%,Alcoa 50%,,LEAP A/C,,,,,,
112,2542M53P01,1,2542M53P01.000R,"RING, RETAINING - KEYED",0.71,3.955,4.261,IN750,AMS 5670 OR AMS 5667,,GMTC,$100.71,GATD,0.3,0.3,30,30,$180,$171 ,5%,IN750,,,,,EGAT ,45%,Alcoa 15% GATD 30%,,Leap-1B,40,54," $2,160.00 ",$54.00 ,"$2,160.00 ",
39,2474M25G02,1,2474M25G02.002R,"RING,ACTG,STG 1 LOWER",0.48,20.631,21.721,17-4PH,AMS 5643 or AMS 5604 (H1150 HT Cond.),,Alcoa Rochester,$135.90,Alcoa China,,,60,50,$143,$136 ,5%,17-4PH,,,,,B&F ,50%,Alcoa 50%,,LEAP A/C,,,,,,
28,2474M22G03,1,2474M22G03.002R,"RING, SEG, STG 3",0.51,19.755,20.765,Ti 6-4,AMS 4911 or AMS 4928,,Alcoa Rochester,$304.00,GATD,0.4,0.5,40,50,$189,$180 ,5%,Ti 6-4,,,,,Sam Suzhou,50%,GATD 50%,,Leap-1B,40,75.6," $3,024.00 ",$94.50 ,"$3,780.00 ",
40,2474M25G03,1,2474M25G03.002R,"RING,ACTG",0.48,20.295,21.345,17-4PH,AMS 5643 or AMS 5604 (H1150 HT Cond.),,Firth ,$132.80,Alcoa China,,,60,50,$140,$133 ,5%,17-4PH,,,,,B&F ,50%,Alcoa 50%,,LEAP A/C,,,,,,
26,2474M22G01,1,2474M22G01.002R,"RING, SEG, STG 1",0.51,20.853,21.863,Ti 6-4,AMS 4911 or AMS 4928,,Alcoa Rochester,$314.86,GATD,0.4,0.5,40,50,$199,$189 ,5%,Ti 6-4,,,,,Sam Suzhou,50%,GATD 50%,,Leap-1B,40,79.6," $3,184.00 ",$99.50 ,"$3,980.00 ",
41,2474M25G04,1,2474M25G04.002R,"RING,ACTG",0.48,20.903,21.953,17-4PH,AMS 5643 or AMS 5604 (H1150 HT Cond.),,Firth ,$134.70,Alcoa China,,,60,50,$143,$136 ,5%,17-4PH,,,,,B&F ,50%,Alcoa 50%,,LEAP A/C,,,,,,
27,2474M22G02,1,2474M22G02.002R,"RING, SEG, STG2",0.51,20.115,21.125,Ti 6-4,AMS 4911 or AMS 4928,,Alcoa Rochester,$325.29,GATD,0.4,0.5,40,50,$203,$193 ,5%,Ti 6-4,,,,,Sam Suzhou,50%,GATD 50%,,Leap-1B,40,81.2," $3,248.00 ",$101.50 ,"$4,060.00 ",
42,2500M47P01,1,2500M47P01.000R,OGV Diffuser,6.985,9.995,20.605,718+,B50TF317 CL-A,Yes ,Alcoa Rancho Cucamonga,"$23,450.00",Carlton Forge,,,10,10,"$9,894","$9,399 ",5%,I718+,,,,,EGAT ,25%,Alcoa 25%,Need forging drawing,LEAP A/C,,,,,,
42,2500M47P01,1,2500M47P01.000R,OGV Diffuser,6.985,9.995,20.605,718+,B50TF317 CL-A,Yes ,Alcoa Rancho Cucamonga,"$23,450.00",Alcoa Savannah,,,90,90,"$10,908","$10,690 ",2%,I718+,,,,,GKN Cin,35%,Alcoa 35%,,LEAP A/C,,,,,,
42,2500M47P01,1,2500M47P01.000R,OGV Diffuser,6.985,9.995,20.605,718+,B50TF317 CL-A,Yes ,,,,,,,,,$0 ,5%,,,,,,TECT SF,40%,10% Carlton 30%Alcoa ,,,,,,,,
43,2521M40P02,1,2521M40P02.000R,"HANGER, FWD",1.937,22.172,25.895,R41,B50TF110 CL-D,,Carlton Forge,"$3,823.00",Alcoa Fontana,,,60,50,"$2,665","$2,532 ",5%,R41,,,,,Liyang ,50%,50% Alcoa ,,Leap-1B,,,,,,
43,2521M40P02,1,2521M40P02.000R,"HANGER, FWD",1.937,22.172,25.895,R41,B50TF110 CL-D,,Carlton Forge,"$3,823.00",Carlton Forge,,,40,50,"$3,050","$2,898 ",5%,R41,,,,,Numet ,50%,50% Carlton ,,Leap-1B,,,,,,
44,2548M11G05,1,2548M11G05.003R,FINS,1.415,9.799,11.901,718+,B50TF317 CL-A,,Carlton Forge,"$2,340.00",Alcoa China,,,90,90,$733,$718 ,2%,I718+,,,,,FAST,40%,Alcoa 40%,,Leap-1B,,,,,,
29,2474M22G04,1,2474M22G04.002R,"RING, SEG, STG 4",0.51,20.375,21.385,Ti 6-4,AMS 4911 or AMS 4928,,Alcoa Rochester,$312.00,GATD,0.4,0.5,40,50,$203,$193 ,5%,Ti 6-4,,,,,B&F ,50%,Alcoa 50%,,Leap-1B,40,81.2," $3,248.00 ",$101.50 ,"$4,060.00 ",
44,2548M11G05,1,2548M11G05.003R,,1.415,9.799,11.901,718+,B50TF317 CL-A,,,,,,,,,,$0 ,5%,,,,,,Paradigm Malden,25%,Alcoa 25%,,,,,,,,
45,2548M11G05,1,2548M11G05.002C,FINS,2.023,13.997,17.779,GTD222,B50TF279 CL-C,,Carlton Forge,"$6,280.00",Alcoa China,,,20,20,"$3,057","$2,904 ",5%,GTD222,,,,,FAST,40%,Carlton 40% ,,Leap-1B,,,,,,
45,2548M11G05,1,2548M11G05.002C,FINS,2.023,13.997,17.779,GTD222,B50TF279 CL-C,,Carlton Forge,"$6,280.00",Carlton Forge,,,80,80,"$1,740","$1,653 ",5%,GTD222,,,,,Xian ,35%,Carlton 15% Alcoa 20%,,Leap-1B,,,,,,
45,2548M11G05,1,2548M11G05.002C,,2.023,13.997,17.779,GTD222,B50TF279 CL-C,,,,,,,,,,$0 ,5%,,,,,,Paradigm Malden,25%,Carlton 25%,,,,,,,,
46,2548M34P01,1,2548M34P01.000R,OGV DIFFUSER,7.117,9.425,20.425,718+,B50TF317 CL-A,Yes ,Carlton Forge,"$16,201.00",Carlton Forge,,,10,10,"$9,894","$9,399 ",5%,I718+,,,,,Chaheng ,10%,Carlton 10%,,LEAP-1B,,,,,,
46,2548M34P01,1,2548M34P01.000R,OGV DIFFUSER,7.117,9.425,20.425,718+,B50TF317 CL-A,Yes ,Carlton Forge,"$16,201.00",Alcoa Savannah,,,90,90,"$10,908","$10,690 ",2%,I718+,,,,,GKN Cin,50%,Alcoa 50%,,LEAP-1B,,,,,,
46,2548M34P01,1,2548M34P01.000R,OGV DIFFUSER,7.117,9.425,20.425,718+,B50TF317 CL-A,Yes ,,,,,,,,,$0 ,5%,,,,,,TECT SF ,35%,Alcoa 35% ,,,,,,,,
46,2548M34P01,1,2548M34P01.000R,OGV DIFFUSER,7.117,9.425,20.425,718+,B50TF317 CL-A,Yes ,,,,,,,,,$0 ,5%,,,,,,Xian ,15%,Alcoa  15%,,,,,,,,
47,2551M95G01,1,2551M95G01.002R,"CASE, AFT INNER, STG 5",1.1448,17.4673,19.113,I909,C50TF95 CL-B,,Alcoa Rochester,"$2,228.00",Alcoa China,,,80,75,$652,$619 ,5%,I909,,,,,GE Suzhou,50%,Alcoa 50%,,Leap-1B,,,,,,
47,2551M95G01,1,2551M95G01.002R,"CASE, AFT INNER, STG 5",1.1448,17.4673,19.113,I909,C50TF95 CL-B,,Alcoa Rochester,"$2,228.00",Carlton Forge,,,20,25,$906,$861 ,5%,I909,,,,,PCC WB ,25%,Carlton 25% ,,Leap-1B,,,,,,
47,2551M95G01,1,2551M95G01.002R,,1.1448,17.4673,19.113,I909,C50TF95 CL-B,,,,,,,,,,$0 ,5%,,,,,,Samsung ,25%,Alcoa 25%,,,,,,,,
48,2551M96G01,1,2551M96G01.002R,"CASE, AFT INNER, STG 5-6",1.794,17.226,19.229,I909,C50TF95 CL-B,,Forged Metals,"$3,465.00",Alcoa China,,,70,75,"$1,021",$970 ,5%,I909,,,,,GE Suzhou,50%,Alcoa 50%,,Leap-1B,,,,,,
48,2551M96G01,1,2551M96G01.002R,"CASE, AFT INNER, STG 5-6",1.794,17.226,19.229,I909,C50TF95 CL-B,,Forged Metals,"$3,465.00",Carlton Forge,,,30,25,"$1,231","$1,169 ",5%,I909,,,,,PCC WB ,25%,Carlton,,Leap-1B,,,,,,
48,2551M96G01,1,2551M96G01.002R,,1.794,17.226,19.229,I909,C50TF95 CL-B,,,,,,,,,,$0 ,5%,,,,,,Samsung ,25%,Alcoa 25%,,,,,,,,
49,2551M97G01,1,2551M97G01.002R  / 4013726-332P03,"CASE, AFT INNER, STG 6-7",2.389,17.002,19.289,M152,C50TF68 CL-B,,Forged Metals,"$2,635.00",Alcoa China,,,60,75,$542,$515 ,5%,M152,,,,,GE Suzhou,50%,Alcoa 50%,,Leap-1B,,,,,,
49,2551M97G01,1,2551M97G01.002R,"CASE, AFT INNER, STG 6-7",2.389,17.002,19.289,M152,C50TF68 CL-B,,Forged Metals,"$2,635.00",Carlton Forge,,,40,25,$551,$523 ,5%,M152,,,,,PCC WB ,25%,Carlton 25%,,Leap-1B,,,,,,
49,2551M97G01,1,2551M97G01.002R,"CASE, AFT INNER, STG 6-7",2.389,17.002,19.289,M152,C50TF68 CL-B,,,,,,,,,,$0 ,5%,,,,,,Samsung ,25%,Alcoa 25%,,,,,,,,
50,2551M98G02,1,2551M98G02.002R,"CASE, AFT INNER, STG 7",1.686,16.8998,20.623,I718,B50TF15 CL-E,,Carlton Forge,"$2,386.00",Alcoa China,,,50,50,"$1,505","$1,430 ",5%,I718,,,,,GE Suzhou,50%,Alcoa 50%,,Leap-1B,,,,,,
50,2551M98G02,1,2551M98G02.002R,"CASE, AFT INNER, STG 7",1.686,16.8998,20.623,I718,B50TF15 CL-E,,Carlton Forge,"$2,386.00",Carlton Forge,,,50,50,"$1,505","$1,430 ",5%,I718,,,,,PCC WB ,25%,Carlton 25%,,Leap-1B,,,,,,
50,2551M98G02,1,2551M98G02.002R,,1.686,16.8998,20.623,I718,B50TF15 CL-E,,,,,,,,,,$0 ,5%,,,,,,Samsung ,25%,Carlton 25%,,,,,,,,
53,2552M49G02,1,2552M49G02.002R,"CASE, AFT INNER, STG 8",0.9675,16.739,19.107,I718,B50TF15 CL-E,,Schlosser ,"$1,333.00",Alcoa China,,,70,75,$640,$608 ,5%,I718,,,,,GE Suzhou,50%,Alcoa 50%,,Leap-1B,,,,,,
53,2552M49G02,1,2552M49G02.002R,"CASE, AFT INNER, STG 8",0.9675,16.739,19.107,I718,B50TF15 CL-E,,Schlosser ,"$1,333.00",Carlton Forge,,,30,25,$727,$691 ,5%,I718,,,,,PCC WB ,25%,Carlton 25%,,Leap-1B,,,,,,
53,2552M49G02,1,2552M49G02.002R,,0.9675,16.739,19.107,I718,B50TF15 CL-E,,,,,,,,,,$0 ,5%,,,,,,Samsung ,25%,Alcoa 25%,,,,,,,,
54,2552M50G04,1,2552M50G04.002R,"CASE, AFT INNER, STG 8-9",1.994,16.612,18.865,I718,B50TF15 CL-E,,Schlosser ,"$1,877.00",Alcoa China,,,60,75,$976,$927 ,5%,I718,,,,,GE Suzhou,50%,Alcoa 50%,,Leap-1B,,,,,,
54,2552M50G04,1,2552M50G04.002R,"CASE, AFT INNER, STG 8-9",1.994,16.612,18.865,I718,B50TF15 CL-E,,Schlosser ,"$1,877.00",Carlton Forge,,,40,25,"$1,142","$1,085 ",5%,I718,,,,,PCC WB ,25%,Carlton 25%,,Leap-1B,,,,,,
54,2552M50G04,1,2552M50G04.002R,,1.994,16.612,18.865,I718,B50TF15 CL-E,,,,,,,,,,$0 ,5%,,,,,,Samsung ,25%,Alcoa 25%,,,,,,,,
55,2555M49G04,1,2555M49G04.004R,FINS,1.734,14.184,18.335,GTD222,B50TF279 CL-C,,Carlton Forge,"$6,280.00",Alcoa China,,,20,25,"$3,221","$3,060 ",5%,GTD222,,,,,Xian ,25%,Alcoa 25%,,LEAP A/C,,,,,,
55,2555M49G04,1,2555M49G04.004R,FINS,1.734,14.184,18.335,GTD222,B50TF279 CL-C,,Carlton Forge,"$6,280.00",Carlton Forge,,,80,75,"$2,724","$2,588 ",5%,GTD222,,,,,FAST ,40%,Carlton 40%,,LEAP A/C,,,,,,
55,2555M49G04,1,2555M49G04.004R,,1.734,14.184,18.335,GTD222,B50TF279 CL-C,,,,,,,,,,$0 ,5%,,,,,,Paradigm Malden ,35%,Carlton 35%,,,,,,,,
56,2555M49G04,1,2555M49G04.003R,FINS,1.01,10.433,12.093,718+,B50TF317 CL-A,,Carlton Forge,"$2,340.00",Alcoa China,,,40,55,$690,$656 ,5%,I718+,,,,,Xian ,25%,Alcoa 25%,,LEAP A/C,,,,,,
56,2555M49G04,1,2555M49G04.003R,FINS,1.01,10.433,12.093,718+,B50TF317 CL-A,,Carlton Forge,"$2,340.00",Carlton Forge,,,50,35,$707,$672 ,5%,I718+,,,,,FAST ,40%,Alcoa 30% GATD 10%,,LEAP A/C,,,,,,
31,2474M23G02,1,2474M23G02.002R,"RING, SEG, STG2",0.51,20.115,21.125,Ti 6-4,AMS 4911 or AMS 4928,,Alcoa Rochester,$325.29,GATD,0.4,0.5,40,50,$203,$193 ,5%,Ti 6-4,,,,,Sam Suzhou,50%,GATD 50%,,Leap-1B,40,81.2," $3,248.00 ",$101.50 ,"$4,060.00 ",
57,2564M03G01  - 2468M80G01,1,2564M03G01.002R,CASE,1.021,18.0186,19.665,I909,C50TF95 CL-B,,Carlton Forge,"$2,228.00",Alcoa China,,,80,80,$625,$594 ,5%,I909,,,,,DELETE ,2468M80,,,LEAP A/C,,,,,,
57,2564M03G01  - 2468M80G01,1,2564M03G01.002R,CASE,1.021,18.0186,19.665,I909,C50TF95 CL-B,,Carlton Forge,"$2,228.00",Carlton Forge,,,20,20,$888,$844 ,5%,I909,,,,,DELETE ,2468M80,,,LEAP A/C,,,,,,
58,2551M96G02,1,2564M04G01.002R,"CASE, HPC",1.859,17.761,19.763,I909,C50TF95 CL-B,,Schlosser ,"$3,465.00",Carlton Forge,,,70,75,"$1,884","$1,790 ",5%,I909,,,,,GE Suzhou,50%,Carlton 50%,,LEAP A/C,,,,,,
58,2551M96G02,1,2564M04G01.002R,"CASE, HPC",1.859,17.761,19.763,I909,C50TF95 CL-B,,Schlosser ,"$3,465.00",FRISA,,,30,25,"$1,546","$1,469 ",5%,I909,,,,,PCC WB ,25%,Carlton 25%,,LEAP A/C,,,,,,
58,2551M96G02,1,2564M04G01.002R,,1.859,17.761,19.763,I909,C50TF95 CL-B,,,,,,,,,,$0 ,5%,,,,,,Samsung ,25%,FRISA 25%,,,,,,,,
60,2564M06G01,1,2564M06G01.002R,"CASE, STAGE 7",1.62,17.4239,21.272,I718,B50TF15 CL-E,,Schlosser ,"$2,525.00",Alcoa China,,,60,60,"$1,356","$1,288 ",5%,I718,,,,,Delete ,2468M83,,,LEAP A/C,,,,,,
60,2564M06G01,1,2564M06G01.002R,"CASE, STAGE 7",1.62,17.4239,21.272,I718,B50TF15 CL-E,,Schlosser ,"$2,525.00",Carlton Forge,,,40,40,"$1,480","$1,406 ",5%,I718,,,,,Delete ,2468M83,,,LEAP A/C,,,,,,
61,2466M25P01,1,2466M25P01.000W,"RING, RETAINER",0.17,15.397,15.435,I718,B50TF15 CL-E,,MATTCO,$141.10,Alcoa Rochester,,,50,50,$91,$86 ,5%,I718,,,,,Moeller ,30%,Alcoa 30%,,LEAP A/C,,,,,,
61,2466M25P01,1,2466M25P01.000W,"RING, RETAINER",0.17,15.397,15.435,I718,B50TF15 CL-E,,MATTCO,$141.10,Welded Ring Products,,,50,50,$117,$111 ,5%,I718,,,,,Space-Craft ,70%,Alcoa 20% / 50% Welded,,LEAP A/C,,,,,,
64,2609M10G01,1,D2462M22P02,Inner Liner Aft Ring,0,0,0,HS188,B50TF74CLA,OI,Alcoa Rochester,"$1,469.00",Alcoa Rochester,,,60,60,$995,$945 ,5%,HS188,,,,,Terre Haute ,100%,,,LEAP A/C,,,,,,
64,2609M10G01,1,D2462M22P02,Inner Liner Aft Ring,0,0,0,HS188,B50TF74CLA,OI,Alcoa Rochester,"$1,469.00",FRISA,,,40,40,"$1,116","$1,060 ",5%,HS188,,,,,,,,,LEAP A/C,,,,,,
65,2609M10G01,1,D2462M22P03,Inner Liner Fwd Ring,0,0,0,HS188,B50TF74CLA,OI,Alcoa Rochester,"$1,185.00",Alcoa Rochester,,,60,60,$655,$622 ,5%,HS188,,,,,Terre Haute ,100%,,,LEAP A/C,,,,,,
65,2609M10G01,1,D2462M22P03,Inner Liner Fwd Ring,0,0,0,HS188,B50TF74CLA,OI,Alcoa Rochester,"$1,185.00",Welded Ring Products,,,40,40,$825,$784 ,5%,HS188,,,,,,,,,LEAP A/C,,,,,,
66,2609M10G01,1,D2462M23P01,Outer Liner Fwd Ring,0,0,0,HS188,B50TF74CLA,OI,Alcoa Rochester,"$1,692.00",Alcoa Rochester,,,60,60,"$1,100","$1,045 ",5%,HS188,,,,,Terre Haute ,100%,,,LEAP A/C,,,,,,
66,2609M10G01,1,D2462M23P01,Outer Liner Fwd Ring,0,0,0,HS188,B50TF74CLA,OI,Alcoa Rochester,"$1,692.00",Welded Ring Products,,,40,40,"$1,100","$1,045 ",5%,HS188,,,,,,,,,LEAP A/C,,,,,,
67,2609M10G01,1,D2462M23P02,Outer Liner Aft Ring,0,0,0,HS188,B50TF74CLA,OI,Monroe ,"$1,297.00",Alcoa Rochester,,,40,40,$957,$909 ,5%,HS188,,,,,Terre Haute ,100%,,,LEAP A/C,,,,,,
67,2609M10G01,1,D2462M23P02,Outer Liner Aft Ring,0,0,0,HS188,B50TF74CLA,OI,Monroe ,"$1,297.00",Carlton Forge,,,60,60,$950,$903 ,5%,HS188,,,,,,,,,LEAP A/C,,,,,,
68,2609M10G01,1,D2462M26P02,Outer Baffle Aft Ring,0,0,0,HS188,B50TF74CLA,OI,Alcoa Rochester,$831.00,Jet Products,,,40,40,$499,$474 ,5%,HS188,,,,,Terre Haute ,100%,,,LEAP A/C,,,,,,
68,2609M10G01,1,D2462M26P02,Outer Baffle Aft Ring,0,0,0,HS188,B50TF74CLA,OI,Alcoa Rochester,$831.00,Alcoa Rochester,,,60,60,$418,$397 ,5%,HS188,,,,,,,,,LEAP A/C,,,,,,
69,2609M10G01,1,D2462M26P03,Outer Baffle Fwd Ring,0,0,0,HS188,B50TF74CLA,OI,Monroe ,$594.00,Alcoa Rochester,,,60,60,$242,$230 ,5%,HS188,,,,,Terre Haute ,100%,,,LEAP A/C,,,,,,
69,2609M10G01,1,D2462M26P03,Outer Baffle Fwd Ring,0,0,0,HS188,B50TF74CLA,OI,Monroe ,$594.00,Jet Products,,,40,40,$333,$316 ,5%,HS188,,,,,,,,,LEAP A/C,,,,,,
70,2609M10G01,1,D2462M27P02,Inner Baffle Aft Ring,0,0,0,HS188,B50TF74CLA,OI,Alcoa Rochester,$403.00,Alcoa Rochester,,,60,60,$162,$154 ,5%,HS188,,,,,Terre Haute ,100%,,,LEAP A/C,,,,,,
70,2609M10G01,1,D2462M27P02,Inner Baffle Aft Ring,0,0,0,HS188,B50TF74CLA,OI,Alcoa Rochester,$403.00,Carlton Forge,,,40,40,$171,$162 ,5%,HS188,,,,,,,,,LEAP A/C,,,,,,
71,2609M10G01,1,D2462M27P03,Inner Baffle Fwd Baffle,0,0,0,HS188,B50TF74CLA,OI,Monroe ,$413.00,Carlton Forge,,,40,40,$120,$114 ,5%,HS188,,,,,Terre Haute ,100%,,,LEAP A/C,,,,,,
71,2609M10G01,1,D2462M27P03,Inner Baffle Fwd Baffle,0,0,0,HS188,B50TF74CLA,OI,Monroe ,$413.00,Welded Ring Products,,,60,60,$130,$124 ,5%,HS188,,,,,,,,,LEAP A/C,,,,,,
72,2609M10G01,1,D2609M11P01,Domeplate,0,0,0,HS188,B50TF74CLA,OI,Alcoa Rancho Cucamonga,"$7,832.00",Alcoa Rancho Cucamonga,,,50,50,"$5,995","$5,695 ",5%,HS188,,,,,Terre Haute ,75%,,,LEAP A/C,,,,,,
72,2609M10G01,1,D2609M11P01,Domeplate,0,0,0,HS188,B50TF74CLA,OI,Alcoa Rancho Cucamonga,"$7,832.00",Carlton Forge,,,50,50,"$5,992","$5,692 ",5%,HS188,,,,,EGAT,25%,,,LEAP A/C,,,,,,
73,2609M10G01,1,D2609M12P01,Outer Support,0,0,0,I718+,B50TF317CLB,OI,Schlosser ,"$4,296.00",Welded Ring Products,,,50,50,"$3,125","$2,969 ",5%,I718+,,,,,Terre Haute ,75%,,,LEAP A/C,,,,,,
73,2609M10G01,1,D2609M12P01,Outer Support,0,0,0,I718+,B50TF317CLB,OI,Schlosser ,"$4,296.00",Wyman Mountaintop,,,50,50,"$3,299","$3,134 ",5%,I718+,,,,,EGAT ,25%,,,LEAP A/C,,,,,,
75,2611M10G01,1,D2559M22P02,Inner Liner Aft Ring,0,0,0,HS188,B50TF74CLA,A,Alcoa Rochester,"$1,573.00",Alcoa Rochester,,,60,60,$925,$879 ,5%,HS188,,,,,Terre Haute ,100%,,,Leap-1B,,,,,,
75,2611M10G01,1,D2559M22P02,Inner Liner Aft Ring,0,0,0,HS188,B50TF74CLA,A,Alcoa Rochester,"$1,573.00",Welded Ring Products,,,40,40,"$1,090","$1,036 ",5%,HS188,,,,,,,,,Leap-1B,,,,,,
76,2611M10G01,1,D2559M23P01,Outer Liner Fwd Ring,0,0,0,HS188,B50TF74CLA,A,Monroe ,"$2,656.00",Alcoa China,,,70,70,"$1,142","$1,085 ",5%,HS188,,,,,Terre Haute ,100%,,,Leap-1B,,,,,,
76,2611M10G01,1,D2559M23P01,Outer Liner Fwd Ring,0,0,0,HS188,B50TF74CLA,A,Monroe ,"$2,656.00",Wyman Mountaintop,,,30,30,"$1,585","$1,506 ",5%,HS188,,,,,,,,,Leap-1B,,,,,,
77,2611M10G01,1,D2559M23P02,Outer Liner Aft Ring,0,0,0,HS188,B50TF74CLA,A,Monroe ,"$1,565.00",Alcoa China,,,70,70,$781,$742 ,5%,HS188,,,,,Terre Haute ,100%,,,Leap-1B,,,,,,
77,2611M10G01,1,D2559M23P02,Outer Liner Aft Ring,0,0,0,HS188,B50TF74CLA,A,Monroe ,"$1,565.00",Wyman Mountaintop,,,30,30,"$1,008",$958 ,5%,HS188,,,,,,,,,Leap-1B,,,,,,
78,2611M10G01,1,D2559M26P02,Outer Baffle Aft Ring,0,0,0,HS188,B50TF74CLA,In process,Alcoa Rochester,$809.00,Alcoa Rochester,,,60,60,$341,$324 ,5%,HS188,,,,,Terre Haute ,75%,,,Leap-1B,,,,,,
78,2611M10G01,1,D2559M26P02,Outer Baffle Aft Ring,0,0,0,HS188,B50TF74CLA,In process,Alcoa Rochester,$809.00,Jet Products,,,40,40,$448,$426 ,5%,HS188,,,,,TEI ,25%,,,Leap-1B,,,,,,
79,2611M10G01,1,D2559M26P03,Outer Baffle Fwd Ring,0,0,0,HS188,B50TF74CLA,In process,Alcoa Rochester,$588.00,Alcoa Rochester,,,60,60,$273,$259 ,5%,HS188,,,,,Terre Haute ,75%,,,Leap-1B,,,,,,
79,2611M10G01,1,D2559M26P03,Outer Baffle Fwd Ring,0,0,0,HS188,B50TF74CLA,In process,Alcoa Rochester,$588.00,Jet Products,,,40,40,$327,$311 ,5%,HS188,,,,,TEI ,25%,,,Leap-1B,,,,,,
80,2611M10G01,1,D2559M49P02,Inner Baffle Aft Ring,0,0,0,HS188,B50TF74CLA,In process,Monroe ,$431.80,FRISA,,,40,40,$200,$190 ,5%,HS188,,,,,Terre Haute ,75%,,,Leap-1B,,,,,,
80,2611M10G01,1,D2559M49P02,Inner Baffle Aft Ring,0,0,0,HS188,B50TF74CLA,In process,Monroe ,$431.80,Alcoa China,,,60,60,$200,$190 ,5%,HS188,,,,,TEI ,25%,,,Leap-1B,,,,,,
81,2611M10G01,1,D2611M11P01,Domeplate,0,0,0,HS188,B50TF74CLA,B,Schlosser ,"$7,890.00",Alcoa Rancho Cucamonga,,,50,50,"$5,695","$5,410 ",5%,HS188,,,,,Terre Haute ,75%,,,Leap-1B,,,,,,
81,2611M10G01,1,D2611M11P01,Domeplate,0,0,0,HS188,B50TF74CLA,B,Schlosser ,"$7,890.00",Carlton Forge,,,50,50,"$5,696","$5,411 ",5%,HS188,,,,,TEI ,25%,,,Leap-1B,,,,,,
82,2611M10G01,1,D2611M12P01,Fwd Outer Support,0,0,0,I718+,B50TF317CLB,OI,Alcoa Rancho Cucamonga,"$4,539.00",FRISA,,,50,50,"$3,637","$3,455 ",5%,I718+,,,,,Terre Haute ,75%,,,Leap-1B,,,,,,
82,2611M10G01,1,D2611M12P01,Fwd Outer Support,0,0,0,I718+,B50TF317CLB,OI,Alcoa Rancho Cucamonga,"$4,539.00",Wyman Mountaintop,,,50,50,"$3,421","$3,250 ",5%,I718+,,,,,Xian ,25%,,,Leap-1B,,,,,,
83,2460M47G01,1,2460M47P01.000R,"SEAL, STA-CDP",0.68,9.989,11.877,718plus,B50TF317 CL-A,,Carlton Forge,"$1,127.50",Carlton Forge,,,80,80,$500,$475 ,5%,I718+,,,,,Triumph ,50%,50% Carlton,,LEAP A/C,,,,,,
32,2474M23G03,1,2474M23G03.002R,"RING, SEG, STG 3",0.51,19.755,20.765,Ti 6-4,AMS 4911 or AMS 4928,,Firth ,$304.00,GATD,0.4,0.5,40,50,$203,$193 ,5%,Ti 6-4,,,,,Sam Suzhou,50%,GATD 50%,,Leap-1B,40,81.2," $3,248.00 ",$101.50 ,"$4,060.00 ",
84,2460M47G01,1,2460M47P02.000R,"SEAL, STA-CDP",2.223,9.989,12.627,I909,C50TF95 CL-A,,Carlton Forge,"$2,665.00",Alcoa China,,,60,50,$918,$872 ,5%,I909,,,,,Triumph ,50%,Carlton 50%,,LEAP A/C,,,,,,
