Unison Engine Components - Mountaintop & Tru-Form Material Baseline,,,,,,,,,,,,,,,
GE P/N,ENGINE PROGRAM,Machine Shop,Alloy, $/Lb. ,Bar Wgt (lbs),Bar Weight  as Singles,Tub 1=?,Bar Weight as Single Ring from Tub, Material , VA , LTA Price ,2013    2% ,2014    2%,2015   2%,2016 Flat
1873M48P01-T (P04),CFM56-5B,Palmer,H-188, $37.10 ,85.60,85.60,1,85.6," $3,176 "," $2,012 "," $5,188 "," $5,084.00 "," $4,982.32 "," $4,882.68 "," $4,882.68 "
2253M21G05 ,CF34-10,Palmer,HAST-X, $22.26 ,52.70,52.70,1,52.7," $1,173 "," $1,204 "," $2,377 "," $2,329.56 "," $2,282.97 "," $2,237.31 "," $2,237.31 "
2253M22G04 ,CF34-10,Palmer,HAST-X, $22.26 ,37.60,37.60,1,37.6, $837 ," $1,184 "," $2,021 "," $1,980.56 "," $1,940.95 "," $1,902.13 "," $1,902.13 "
4013382-222P02-G (Ref 4013382-218P06),CFM56,Numet,I-718, $22.11 ,114.80,114.80,1,114.8," $2,538 "," $1,870 "," $4,408 "," $4,320.06 "," $4,233.66 "," $4,148.99 "," $4,148.99 "
4013428-335P03-F,GE90,Direct,Waspaloy, $30.18 ,443.50,443.50,1,443.5," $13,385 "," $8,957 "," $22,342 "," $21,894.99 "," $21,457.09 "," $21,027.95 "," $21,027.95 "
9977013-524P01,LM2500,SMITH WEST,I-718, $23.94 ,120.10,120.10,1,120.1," $2,875 "," $1,428 "," $4,303 "," $4,217.13 "," $4,132.79 "," $4,050.13 "," $4,050.13 "
L44271G02,LM1600,Windsor,H-188, $37.10 ,146.30,146.30,1,146.3," $5,428 "," $4,900 "," $10,328 "," $10,121.18 "," $9,918.75 "," $9,720.38 "," $9,720.38 "
L44272P01,LM1600,Windsor,HAST-X, $22.26 ,63.10,63.10,1,63.1," $1,405 "," $1,535 "," $2,940 "," $2,880.81 "," $2,823.20 "," $2,766.73 "," $2,766.73 "
4013522-425P01 (Ref 4013522-273P02 and 1808M15G13),CFM56-5/7, Numet / Xian,I-718, $22.11 ,159.80,159.80,1,159.8," $3,533 "," $2,314 "," $5,847 "," $5,730.23 "," $5,615.63 "," $5,503.32 "," $5,503.32 "
4013382-682P01,LM2500,TEI (Tusas),I-718, $20.92 ,141.90,141.90,1,141.9," $2,969 "," $3,405 "," $6,373 "," $6,245.81 "," $6,120.90 "," $5,998.48 "," $5,998.48 "
4013522-341P01,F110,UEC-Wilkes-Barre,I-718, $22.11 ,153.50,153.50,1,153.5," $3,394 "," $3,131 "," $6,525 "," $6,394.63 "," $6,266.74 "," $6,141.40 "," $6,141.40 "
4013522-452P01,F110,UEC-Wilkes-Barre,I-718, $22.11 ,153.50,153.50,1,153.5," $3,394 "," $3,131 "," $6,525 "," $6,394.63 "," $6,266.74 "," $6,141.40 "," $6,141.40 "
1646M97P02/P03,CF6-80C,UEC-Wilkes-Barre/UEC-Suzhou,I-718, $22.11 ,48.3,48.30,1,48.3," $1,068 "," $1,161 "," $2,229 "," $2,184.81 "," $2,141.12 "," $2,098.30 "," $2,098.30 "
2070M57P01/G01,CF34-10,Numet,Waspaloy, $30.20 ,18.15,18.15,1,18.2, $548 , $357 , $905 , $887.03 , $869.29 , $851.90 , $851.90 
17A166-783P01,CFM56,Numet,I-718, $22.64 ,24.25,24.25,1,24.3, $549 , $275 , $824 , $807.54 , $791.39 , $775.56 , $775.56 
17A190-719P01,GE38,GE Direct,H-188, $37.10 ,51.7,51.7,1,51.7," $1,918 "," $1,811 "," $3,729 "," $3,654.47 "," $3,581.38 "," $3,509.75 "," $3,509.75 "
17A190-720P01,GE38,GE Direct,H-188, $37.10 ,55.5,55.5,1,55.5," $2,059 "," $2,351 "," $4,410 "," $4,321.54 "," $4,235.10 "," $4,150.40 "," $4,150.40 "
17A148-735P01,CFM56-5,Turbo Mechanica,L-605, $44.29 ,28.5,28.5,4,7.1," $1,262 ", $688 ," $1,950 "," $1,910.89 "," $1,872.67 "," $1,835.22 "," $1,835.22 "
2304M36P01,GEnx,UEC-Wilkes-Barre,R-41, $37.61 ,66.4,66.4,8,8.3," $2,497 "," $1,837 "," $4,335 "," $4,247.83 "," $4,162.88 "," $4,079.62 "," $4,079.62 "
2007M77P05,GE90-115B,UEC-Terre Haute,TI 6-4, $32.00 ,60.7,60.7,1,60.7," $1,942 "," $2,455 "," $4,397 "," $4,309.26 "," $4,223.07 "," $4,138.61 "," $4,138.61 "
2007M77P03,GE90-115B,UEC-Terre Haute,TI 6-4, $32.00 ,22.8,22.8,1,22.8, $730 ," $1,417 "," $2,147 "," $2,103.86 "," $2,061.79 "," $2,020.55 "," $2,020.55 "
2007M77P06,GE90-115B,UEC-Terre Haute,440SS, PIE ,22.2,22.2,1,22.2, $421 , $225 , $646 , $633.24 , $620.58 , $608.17 , $608.17 
4013287-689P01,GE90-115B,Famat,I-718, $24.43 ,76.1,76.1,1,76.1," $1,859 ", $958 ," $2,817 "," $2,761.07 "," $2,705.85 "," $2,651.74 "," $2,651.74 "
4013522-337P02,F110-SLEP,SpaceCraft,I-909, $26.99 ,17.8,17.8,1,17.8, $480 , $411 , $891 , $873.52 , $856.05 , $838.93 , $838.93 
6025T29/17A166-250P01,F404,UEC-Terre Haute,I-718, $21.36 ,81.1,81.1,1,81.1," $1,732 "," $2,911 "," $4,643 "," $4,550.54 "," $4,459.53 "," $4,370.34 "," $4,370.34 "
9397M73G06,CF6-80/LM2500,UEC-Asheville,I-718, $22.64 ,28.7,28.7,1,28.7, $650 , $388 ," $1,038 "," $1,017.06 ", $996.72 , $976.79 , $976.79 
2304M35P02,GEnx,UEC-Suzhou,H-188, $43.07 ,53.2,53.2,1,53.2," $2,291 "," $1,367 "," $3,658 "," $3,585.00 "," $3,513.30 "," $3,443.03 "," $3,443.03 "
9977013-733P01/P02,LM2500/CF6,Numet,I-718, $22.64 ,53.2,53.2,1,53.2," $1,204 ", $806 ," $2,011 "," $1,970.30 "," $1,930.89 "," $1,892.27 "," $1,892.27 "
1364M83P02,F110,Columbia Mfg.,HAST-X, $22.66 ,11,11,1,11.0, $249 , $195 , $445 , $435.72 , $427.00 , $418.46 , $418.46 
4013703-322P01 Replaced 2090M10G01 (IT 2),GE90-115B,Samsung,I-718, $23.39 ,58.3,58.3,1,58.3," $1,364 ", $939 ," $2,302 "," $2,256.32 "," $2,211.19 "," $2,166.97 "," $2,166.97 "
4013703-323P01 Replaces 2090M10 G01(IT 3),GE90-115B,Samsung,I-718, $23.19 ,82,82,1,82.0," $1,902 "," $1,163 "," $3,065 "," $3,003.53 "," $2,943.46 "," $2,884.59 "," $2,884.59 "
4013703-324P01 2090M10G01 (IT 4),GE90-115B,Samsung,R-41, $37.91 ,68.6,68.6,1,68.6," $2,601 "," $1,670 "," $4,271 "," $4,185.67 "," $4,101.96 "," $4,019.92 "," $4,019.92 "
4013382-924P02,LM2500+ ,GE Direct,Waspaloy, $31.23 ,100,100,1,100.0," $3,123 "," $2,015 "," $5,138 "," $5,034.99 "," $4,934.29 "," $4,835.60 "," $4,835.60 "
4013382-925P02,LM2500+ ,GE Direct,Waspaloy, $31.23 ,117,117,1,117.0," $3,654 "," $2,493 "," $6,147 "," $6,024.39 "," $5,903.91 "," $5,785.83 "," $5,785.83 "
9977009-317-P76 (Ref:9977010-894P01),F404,Space Craft,TI 6-2-4-2, $32.00 ,64.4,64.4,1,64.4," $2,061 "," $1,411 "," $3,471 "," $3,401.97 "," $3,333.93 "," $3,267.25 "," $3,267.25 "
4013196-890P02,F110,Numet,TI 6-4, $32.00 ,32.4,32.4,1,32.4," $1,037 ", $627 ," $1,663 "," $1,630.13 "," $1,597.53 "," $1,565.58 "," $1,565.58 "
3025T28P02,F404,Smith West,HAST-X, $22.66 ,39.2,39.2,1,39.2, $888 , $491 ," $1,379 "," $1,351.65 "," $1,324.61 "," $1,298.12 "," $1,298.12 "
2254M35 Item 2,GP7200,Turbo Combustor Technology,H-188, $41.83 ,50.8,50.8,1,50.8," $2,125 "," $2,101 "," $4,226 "," $4,141.44 "," $4,058.62 "," $3,977.44 "," $3,977.44 "
2254M35 Item 4,GP7200,Turbo Combustor Technology,H-188, $41.83 ,40.6,40.6,1,40.6," $1,698 "," $1,910 "," $3,608 "," $3,536.13 "," $3,465.41 "," $3,396.10 "," $3,396.10 "
2254M35 Item 6,GP7200,Turbo Combustor Technology,H-230, PIE ,58.3,58.3,3,19.4, $409 , $748 ," $1,157 "," $1,133.86 "," $1,111.18 "," $1,088.96 "," $1,088.96 "
2254M46 Item 2,GP7200,Turbo Combustor Technology,H-188, $41.83 ,84.5,84.5,1,84.5," $3,535 "," $2,678 "," $6,213 "," $6,088.38 "," $5,966.61 "," $5,847.28 "," $5,847.28 "
2254M46 Item 4,GP7200,Turbo Combustor Technology,H-188, $41.83 ,40,40,1,40.0," $1,673 "," $1,984 "," $3,657 "," $3,584.06 "," $3,512.37 "," $3,442.13 "," $3,442.13 "
2254M46 Item 6,GP7200,Turbo Combustor Technology,H-230, PIE ,107.2,107.2,1,107.2," $2,257 "," $2,333 "," $4,590 "," $4,498.20 "," $4,408.24 "," $4,320.07 "," $4,320.07 "
9104M38P02,CF6-80C2,Smith West,HAST-X, $22.66 ,31.1,31.1,1,31.1, $705 , $327 ," $1,032 "," $1,011.22 ", $990.99 , $971.17 , $971.17 
T00150-01 (2072M95P01),CF34-10,TEI,I-718, $23.59 ,13.2,13.2,1,13.2, $311 , $104 , $415 , $407.08 , $398.94 , $390.96 , $390.96 
T00151-01 (2072M95P03),CF34-10,TEI,I-718, $23.59 ,7.9,7.9,1,7.9, $186 , $75 , $261 , $256.13 , $251.01 , $245.99 , $245.99 
T020245-01 ,GEnx,TEI,R-41, $37.61 ,19.2,19.2,1,19.2, $722 , $654 ," $1,376 "," $1,348.59 "," $1,321.62 "," $1,295.19 "," $1,295.19 "
T020238-01,GEnx,TEI,I-718, $22.59 ,30.6,30.6,1,30.6, $691 , $967 ," $1,659 "," $1,625.41 "," $1,592.90 "," $1,561.05 "," $1,561.05 "
T020249-01 (2304M34),GENX,TEI,R-41, $37.91 ,70.6,70.6,1,70.6," $2,676 "," $1,679 "," $4,356 "," $4,268.63 "," $4,183.26 "," $4,099.59 "," $4,099.59 "
T020264-01,GENX,TEI,I-718, $22.11 ,97.7,97.7,1,97.7," $2,160 "," $1,510 "," $3,670 "," $3,596.54 "," $3,524.61 "," $3,454.12 "," $3,454.12 "
T020261-01,GENX,TEI,R-41, $37.61 ,85.6,85.6,1,85.6," $3,219 "," $2,191 "," $5,411 "," $5,302.56 "," $5,196.51 "," $5,092.58 "," $5,092.58 "
T020246-01,GENX,TEI,R-41, $37.61 ,25.2,25.2,1,25.2, $948 , $404 ," $1,352 "," $1,324.48 "," $1,297.99 "," $1,272.03 "," $1,272.03 "
T020260-01,GENX,TEI,I-718, $22.59 ,28.3,28.3,1,28.3, $639 , $469 ," $1,109 "," $1,086.46 "," $1,064.73 "," $1,043.44 "," $1,043.44 "
T070020-01,GENX,TEI,HAST-X, $22.66 ,45,45,1,45.0," $1,020 ", $587 ," $1,607 "," $1,574.57 "," $1,543.07 "," $1,512.21 "," $1,512.21 "
T070021-01,GENX,TEI,HAST-X, $22.66 ,71.6,71.6,1,71.6," $1,622 ", $900 ," $2,522 "," $2,472.01 "," $2,422.57 "," $2,374.12 "," $2,374.12 "
T020230-01,GENX,TEI,I-718, $23.39 ,27.8,27.8,1,27.8, $650 , $422 ," $1,072 "," $1,051.03 "," $1,030.01 "," $1,009.41 "," $1,009.41 "
T070001-01,GENX,TEI,I-718, $23.39 ,38.4,38.4,1,38.4, $898 , $686 ," $1,584 "," $1,552.49 "," $1,521.44 "," $1,491.01 "," $1,491.01 "
T080018-01,GENX,TEI,I-718, $23.39 ,62.1,62.1,1,62.1," $1,453 "," $1,291 "," $2,744 "," $2,688.65 "," $2,634.88 "," $2,582.18 "," $2,582.18 "
17A148-517P01                 ,,,,,,,,,,," $1,207 "," $1,183.00 "," $1,159.34 "," $1,136.15 "," $1,136.15 "
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Working to get data,,,,,,,,,,,,   ,,,
GE Affiliate Part No.,Affiliate,Price,,,,,,,,,,,,,
FR8240025,Unison Engine Components-Orillia,"$1,220.00 ",,,,,,,,,,,,,
FR8200970BFW,Unison Engine Components-Orillia,"$2,496.00 ",,,,,,,,,,,,,
351-114-504-0PM1,Unison Engine Components-Burnley," �    1,038.00 ",,,,,,,,,,,,,
NQF002383,Unison Engine Components-Burnley," �    3,411.00 ",,,,,,,,,,,,,
Q1664-6,Unison Engine Components-Burnley," �    2,126.00 ",,,,,,,,,,,,,
338-075-304-9,FAMAT,"$20,484 ",,,,,,,,,,,,,
0003080804P04-4,FAMAT,"$22,190 ",,,,,,,,,,,,,
