Unison Engine Components - Mountaintop & Tru-Form Material Baseline,,,,,,,,,,,,,,,
GE P/N,ENGINE PROGRAM,Machine Shop,Alloy, $/Lb. ,Bar Wgt (lbs),Bar Weight  as Singles,Tub 1=?,Bar Weight as Single Ring from Tub, Material , VA , LTA Price ,2013    2% ,2014    2%,2015   2%,2016 Flat
4096697-986P03,GE90,SMITH WEST,I-718, $24.43 ,76.52,76.52,1,76.5," $1,869 ", $905 ," $2,774 "," $2,718.90 "," $2,664.52 "," $2,611.23 "," $2,611.23 "
17A146-597P05 (REF.4855-01),F110,Samsung,Waspaloy, $30.18 ,53.97,53.97,1,54.0," $1,629 "," $1,179 "," $2,808 "," $2,751.66 "," $2,696.63 "," $2,642.69 "," $2,642.69 "
9321M30P03/P04,CFM56,Unison Wilkes-Barre,I-718, $22.64 ,27.30,27.30,1,27.3, $618 , $325 , $943 , $924.21 , $905.73 , $887.61 , $887.61 
1584M34G02,CF6-80C,Unison Shuzou,I-600, $21.28 ,57.60,57.60,1,57.6," $1,226 "," $1,113 "," $2,339 "," $2,291.95 "," $2,246.11 "," $2,201.19 "," $2,201.19 "
17A130-437P01-Y,TF34,Unison Wilkes-Barre,HAST-X, $22.26 ,54.00,54.00,1,54.0," $1,202 ", $543 ," $1,745 "," $1,710.14 "," $1,675.94 "," $1,642.42 "," $1,642.42 "
17A130-438P01,TF34,Unison Wilkes-Barre,HAST-X, $22.26 ,58.90,58.90,1,58.9," $1,311 ", $606 ," $1,917 "," $1,878.77 "," $1,841.20 "," $1,804.37 "," $1,804.37 "
17A137-662P01,CFM56-2/3,Unison Wilkes-Barre,HAST-X, $22.26 ,57.00,57.00,1,57.0," $1,269 "," $1,134 "," $2,403 "," $2,354.76 "," $2,307.67 "," $2,261.51 "," $2,261.51 "
17A137-999P01-H,TF34,Unison Wilkes-Barre,HAST-X, $22.26 ,54.00,54.00,1,54.0," $1,202 ", $559 ," $1,761 "," $1,725.82 "," $1,691.30 "," $1,657.48 "," $1,657.48 "
17A148-703P01,CFM56-5/7,Unison Wilkes-Barre / TMCP,HAST-X, $22.26 ,80.70,80.70,1,80.7," $1,796 "," $1,180 "," $2,976 "," $2,916.85 "," $2,858.52 "," $2,801.35 "," $2,801.35 "
17A148-732P01,CFM56-5/7,Unison Wilkes-Barre / TMCP,HAST-X, $22.26 ,57.00,57.00,1,57.0," $1,269 ", $970 ," $2,239 "," $2,194.04 "," $2,150.16 "," $2,107.16 "," $2,107.16 "
17A166-134P01,F110,Palmer,H-188, $37.10 ,91.10,91.10,1,91.1," $3,380 "," $2,153 "," $5,533 "," $5,422.15 "," $5,313.71 "," $5,207.44 "," $5,207.44 "
17A166-136P01,F110,Palmer,H-188, $37.10 ,61.80,61.80,1,61.8," $2,293 "," $1,945 "," $4,238 "," $4,153.02 "," $4,069.96 "," $3,988.56 "," $3,988.56 "
17A166-311P03-G,F404,Smith West,HAST-X, $22.26 ,83.40,83.40,1,83.4," $1,856 ", $931 ," $2,787 "," $2,731.73 "," $2,677.10 "," $2,623.56 "," $2,623.56 "
17A166-312P03,F404,Smith West,HAST-X, $22.26 ,85.40,85.40,1,85.4," $1,901 "," $1,186 "," $3,087 "," $3,025.26 "," $2,964.76 "," $2,905.46 "," $2,905.46 "
17A166-338P01,CFM56-2/3,Unison Wilkes-Barre,HAST-X, $22.26 ,84.00,84.00,1,84.0," $1,870 "," $1,319 "," $3,189 "," $3,125.06 "," $3,062.56 "," $3,001.31 "," $3,001.31 "
17A166-588P01,CF34,Palmer / TMCP,HAST-X, $22.26 ,35.00,35.00,1,35.0, $779 , $680 ," $1,459 "," $1,429.92 "," $1,401.32 "," $1,373.29 "," $1,373.29 "
17A166-969P01/G02-J,F141,Palmer,H-188, $37.10 ,89.40,89.40,1,89.4," $3,317 "," $2,089 "," $5,405 "," $5,297.17 "," $5,191.23 "," $5,087.41 "," $5,087.41 "
17A190-162P01,CF34-8C,Palmer / TMCP,HAST-X, $22.26 ,70.10,70.10,1,70.1," $1,560 ", $987 ," $2,547 "," $2,496.48 "," $2,446.55 "," $2,397.62 "," $2,397.62 "
17A190-163P01,CF34-8C,Palmer / TMCP,HAST-X, $22.26 ,43.40,43.40,1,43.4, $966 , $846 ," $1,812 "," $1,775.84 "," $1,740.33 "," $1,705.52 "," $1,705.52 "
17A190-317P01-E,CF34-3,Palmer / TMCP,HAST-X, $22.26 ,52.90,52.90,1,52.9," $1,178 ", $570 ," $1,748 "," $1,712.60 "," $1,678.35 "," $1,644.78 "," $1,644.78 "
17A190-373P01,CF34-8C,Palmer / TMCP,HAST-X, $22.26 ,43.40,43.40,1,43.4, $966 , $846 ," $1,812 "," $1,775.84 "," $1,740.33 "," $1,705.52 "," $1,705.52 "
17A190-374P01,CF34-8C,Palmer / TMCP,HAST-X, $22.26 ,70.10,70.10,1,70.1," $1,560 ", $987 ," $2,547 "," $2,496.48 "," $2,446.55 "," $2,397.62 "," $2,397.62 "
1878M71-13,GE90,TCT,H-188, $37.10 ,70.30,70.30,1,70.3," $2,608 "," $2,850 "," $5,458 "," $5,348.97 "," $5,241.99 "," $5,137.15 "," $5,137.15 "
1873M44p01,CFM56-5B,Palmer,H-188, $37.10 ,121.60,121.60,1,121.6," $4,511 "," $2,461 "," $6,972 "," $6,832.91 "," $6,696.25 "," $6,562.33 "," $6,562.33 "
