Buyer,Part Number,Nomenclature ,QPA,GE NEG,Finished Part Supplier ,Engine Program,2015 QTY,Raw Material P/N,RM-Type,R/M Supplier,Plant,Yield , R/M Unit Price 2014 , R/M Unit Price 2015 ,PO Amended  Y/N?, 2015 RM Delta ,2015 Material Deflation,2015 Material Extended Value,Machine Part Comments,NPI  - Leap/PP,Chip Revert  Part?,,,,,
333-LEADER        ,1499M57P03,HPT SHROUD HANGERS,,Yes,65585-NUMET MACHINING TECHNIQUES              ,CFM56,0,1499M57P03,Flash Welded,PCC,MTTP (TruForm),1=23,$84.71 ,$83.02 ,Yes, (1.69), -   , -   ,,,,,,,,
333-LEADER        ,9977013-682G01,RETAINER KIT(OGV)(GE90),,Yes,65585-NUMET MACHINING TECHNIQUES              ,GE90,4,1694M17,Flash Welded,PCC,MTTP (TruForm),1=3,$84.71 ,$83.02 ,Yes, (1.69), (6.76), 332.08 ,,,,,,,,
952-NEAL          ,1499M57P03,HPT SHROUD HANGERS,,Yes,91174-PCC AEROSTRUCTURES - WILKES- BARRE. LLC ,CFM56,0,1499M57P03,Flash Welded,PCC,MTTP (TruForm),1=23,$84.71 ,$83.01 ,Yes, (1.70), -   , -   ,,,,,,,,
333-LEADER        ,2047M36P01,"RING, RETAINER",,Yes,81749-SPACE-CRAFT MANUFACTURING               ,GP7200,159,2047M36P01,Flash Welded,PCC,MTTP (TruForm),1=8,$101.70 ,$99.66 ,Yes, (2.04), (324.36)," 15,845.94 ",,,,,,,,
92P-DYKES         ,2116M69P01,"RING, DAMPER",,No,61701-MOELLER MANUFACTURING                   ,Genx,277, TF2116M69P01-A ,Flash Welded,PCC,MTTP (TruForm),1=12,$115.10 ,$112.80 ,N/A, (2.30), (637.10)," 31,245.60 ",,,,,,,,
332-KLAYER        ,5104T60P04,"RING,DAMPER",,Yes,49162-JET INDUSTRIES                          ,F414,50,TF5104T60P04,Flash Welded,PCC,MTTP (TruForm),1=1,$120.17 ,$117.77 ,Yes, (2.40), (120.00)," 5,888.50 ",,,,,,,,
332-KLAYER        ,5104T60P03,"RING,DAMPER",,Yes,49162-JET INDUSTRIES                          ,F414,78,TF5104T60P03,Flash Welded,PCC,MTTP (TruForm),1=7,$126.66 ,$124.12 ,Yes, (2.54), (198.12)," 9,681.36 ",,,,,,,,
92P-DYKES         ,1854M96G01,LINE ASSY-COMP,,Yes,61701-MOELLER MANUFACTURING                   ,CF6,78,1854M97P01,Flash Welded,PCC,MTTP (TruForm),1=10,$136.15 ,$133.43 ,Yes, (2.72), (212.16)," 10,407.54 ",,,,,,,,
952-NEAL          ,1854M96G01,LINE ASSY-COMP,,Yes,91174-PCC AEROSTRUCTURES - WILKES- BARRE. LLC ,CF6,78,1854M97P01,Flash Welded,PCC,MTTP (TruForm),1=10,$136.15 ,$133.40 ,Yes, (2.75), (214.50)," 10,405.20 ",,,,,,,,
952-NEAL          ,1854M96G02,LINE ASSY-COMP,,Yes,91174-PCC AEROSTRUCTURES - WILKES- BARRE. LLC ,CF6,55,1854M97P01,Flash Welded,PCC,MTTP (TruForm),1=10,$136.15 ,$133.40 ,Yes, (2.75), (151.25)," 7,337.00 ",,,,,,,,
332-KLAYER        ,2047M20P01,"RING, DAMPER",,Yes,49162-JET INDUSTRIES                          ,GENX,375,2047M20P01,Flash Welded,PCC,MTTP (TruForm),1=4,$143.88 ,$141.00 ,Yes, (2.88)," (1,080.00)"," 52,875.00 ",,,,,,,,
92P-DYKES         ,5060T94P01,"RING,TURBINE STATOR",,Yes,61701-MOELLER MANUFACTURING                   ,CF34,562,5060T94P01,Flash Welded,PCC,MTTP (TruForm),1=3,$148.23 ,$145.27 ,Yes, (2.96)," (1,663.52)"," 81,641.74 ",,,,,,,,
951-WELLING       ,5106T66P01,LPT NOZZLE AXIAL RET. F414,1,Yes,14750-B&F MACHINE                             ,T700,85,5106T66P01,Flash Welded,PCC,MTTP (TruForm),1=10,$181.88,$178.24,Yes, (3.64), (309.40)," 15,150.40 ",,,,,,,,
952-NEAL          ,4124T56P01,SEAL RING METAL OUTER NOZZLE,,Yes,91174-PCC AEROSTRUCTURES - WILKES- BARRE. LLC ,CF34,888,4096706-380p02,Flash Welded,PCC,MTTP (TruForm),1=4,$202.70 ,$198.64 ,Yes, (4.06)," (3,605.28)"," 176,392.32 ",,,,,,,,
333-LEADER        ,9899539-355P01,TF34 S10 RING,,Yes,65585-NUMET MACHINING TECHNIQUES              ,TF34,0,9899539-355P01,Flash Welded,PCC,MTTP (TruForm),1=2,$242.98 ,$238.12 ,Yes, (4.86), -   , -   ,,,,,,,,
T64-CHIPMAN       ,17A190-540P01,INNER RING,,Yes,44278-PARADIGM PRECISION - MEX                ,F110,64,17A166-946P01,Flash Welded,PCC,MTTP (TruForm),1=9,$250.48 ,$245.47 ,Yes, (5.01), (320.64)," 15,710.08 ",,,,,,,,
T64-CHIPMAN       ,4096691-929P01,RING STAGE 9,,Yes,44278-PARADIGM PRECISION - MEX                ,CF34,392,4096691-929P01,Flash Welded,PCC,MTTP (TruForm),1=1,$255.31 ,$250.20 ,Yes, (5.11)," (2,003.12)"," 98,078.40 ",,,,,,,,
950-CHIPMAN       ,4096524-679P02,STAGE 6 SEGMENT,,Yes,67013-PARADIGM PRECISION-MALDEN OPERATIONS    ,0,3234,4096694-766P01,Flash Welded,PCC,MTTP (TruForm),1=10,$258.87 ,$253.69 ,Yes, (5.18)," (16,752.12)"," 820,433.46 ",,,,,,,,
T64-CHIPMAN       ,4096691-928P01,RING STAGE 8,,Yes,44278-PARADIGM PRECISION - MEX                ,CF34,398,4096691-928P05,Flash Welded,PCC,MTTP (TruForm),1=1,$278.68 ,$273.10 ,Yes, (5.58)," (2,220.84)"," 108,693.80 ",,,,,,,,
332-KLAYER        ,4059T39P02,SEAL,,Yes,49162-JET INDUSTRIES                          ,CF34,0,4059T39P02,Flash Welded,PCC,MTTP (TruForm),1=3,$284.91 ,$279.21 ,Yes, (5.70), -   , -   ,,,,,,,,
952-NEAL          ,9299M60G07,OGV LINER,,Yes,91174-PCC AEROSTRUCTURES - WILKES- BARRE. LLC ,CF6,86,9299M60P01,Flash Welded,PCC,MTTP (TruForm),1=4,$285.44 ,$279.73 ,Yes, (5.71), (491.06)," 24,056.78 ",,,,,,,,
952-NEAL          ,9299M60G08,OGV LINER,,Yes,91174-PCC AEROSTRUCTURES - WILKES- BARRE. LLC ,LM6000,132,9299M60P01,Flash Welded,PCC,MTTP (TruForm),1=4,$285.44 ,$279.73 ,Yes, (5.71), (753.72)," 36,924.36 ",,,,,,,,
92P-DYKES         ,1703M32G03,LINER,,Yes,61701-MOELLER MANUFACTURING                   ,CF6,15,9299M60P01,Flash Welded,PCC,MTTP (TruForm),1=4,$285.44 ,$279.73 ,Yes, (5.71), (85.65)," 4,195.95 ",,,,,,,,
T64-CHIPMAN       ,4096691-927P01,RING STAGE 7,,Yes,44278-PARADIGM PRECISION - MEX                ,CF34,381,4096691-927P04,Flash Welded,PCC,MTTP (TruForm),1=1,$288.07 ,$282.30 ,Yes, (5.77)," (2,198.37)"," 107,556.30 ",,,,,,,,
333-LEADER        ,4028T41P03,AIR NOZZLE,,Yes,65585-NUMET MACHINING TECHNIQUES              ,CF34,7,TF-4028T41P03,Flash Welded,PCC,MTTP (TruForm),1=1,$331.05 ,$324.43 ,Yes, (6.62), (46.34)," 2,271.01 ",,,,,,,,
T64-CHIPMAN       ,4096691-925P01,RING STAGE 5,,Yes,44278-PARADIGM PRECISION - MEX                ,CF34,374,4096691-925P04,Flash Welded,PCC,MTTP (TruForm),1=1,$344.65 ,$337.76 ,Yes, (6.89)," (2,576.86)"," 126,322.24 ",,,,,,,,
332-KLAYER        ,1327M72G02,SEAL,,Yes,49162-JET INDUSTRIES                          ,CF6,184,1327M72G02,Flash Welded,PCC,MTTP (TruForm),1=1,$346.58 ,$339.65 ,Yes, (6.93)," (1,275.12)"," 62,495.60 ",,,,,,,,
T64-CHIPMAN       ,4096691-926P01,RING STAGE 6,,Yes,44278-PARADIGM PRECISION - MEX                ,CF34,383,4096691-926P05,Flash Welded,PCC,MTTP (TruForm),1=1,$353.33 ,$346.26 ,Yes, (7.07)," (2,707.81)"," 132,617.58 ",,,,,,,,
333-LEADER        ,4013081-518P03,FLANGE,,Yes,81749-SPACE-CRAFT MANUFACTURING               ,CFM56,42,4013081-516P02,Flash Welded,PCC,MTTP (TruForm),1=1,$376.01 ,$368.49 ,Yes, (7.52), (315.84)," 15,476.58 ",,,,,,,,
333-LEADER        ,9899556-844P01,FLANGE OUTER,,Yes,81749-SPACE-CRAFT MANUFACTURING               ,T64/CT64,25,9899556-844,Flash Welded,PCC,MTTP (TruForm),1=1,$432.43 ,$423.78 ,Yes, (8.65), (216.25)," 10,594.50 ",,,,,,,,
951-WELLING       ,L47452P01,"COVER,WINDAGE",1,Yes,14750-B&F MACHINE                             ,LM2500,92,TFL47452P01,Flash Welded,PCC,MTTP (TruForm),1=6,$452.32,$443.28,Yes, (9.04), (831.68)," 40,781.76 ",,,,,,,,
333-LEADER        ,9340M19G02,"SEAL, ROTATING,F110",,Yes,02800-AIRCRAFT PRECISION PRODUCTS             ,F110/F101/F118,34,9340M19G02,Flash Welded,PCC,MTTP (TruForm),1=1,$486.74 ,$477.00 ,Yes, (9.74), (331.16)," 16,218.00 ",,,,,,,,
333-LEADER        ,4004M78G01,"LPTR SEAL KIT,F110",2,Yes,02800-AIRCRAFT PRECISION PRODUCTS             ,F101,59,9340M19G02,Flash Welded,Pcc,MTTP (TruForm),1=1,$486.74 ,$477.00 ,Yes, (9.74), (574.66)," 28,143.00 ",,,,,,,,
333-LEADER        ,9977010-076P01,INNER FLANGE,,Yes,65585-NUMET MACHINING TECHNIQUES              ,F404,18,TF-9977010-749,Flash Welded,PCC,MTTP (TruForm),1=1,$497.53 ,$487.58 ,Yes, (9.95), (179.10)," 8,776.44 ",,,,,,,,
333-LEADER        ,9207M43P01,"RING, SEAL-TURBINE",,Yes,65585-NUMET MACHINING TECHNIQUES              ,"CF6, LM2500",164,TF-9207M43P01,Flash Welded,PCC,MTTP (TruForm),1=1,$557.69 ,$546.54 ,Yes, (11.15)," (1,828.60)"," 89,632.56 ",,,,,,,,
333-LEADER        ,9977013-825P01,SUMP FLANGE,,Yes,81749-SPACE-CRAFT MANUFACTURING               ,M&I,24,9977013-845P01,Flash Welded,PCC,MTTP (TruForm),1=1,$560.54 ,$549.33 ,Yes, (11.21), (269.04)," 13,183.92 ",,,,,,,,
333-LEADER        ,4013084-882P03,FLANGE,,Yes,81749-SPACE-CRAFT MANUFACTURING               ,CFM56,8,4013084-882P03,Flash Welded,PCC,MTTP (TruForm),1=1,$596.80 ,$584.86 ,Yes, (11.94), (95.52)," 4,678.88 ",,,,,,,,
333-LEADER        ,9977010-080P01,AFT FLANGE,,Yes,81749-SPACE-CRAFT MANUFACTURING               ,F404,3,9977010-080P01,Flash Welded,PCC,MTTP (TruForm),1=1,$602.22 ,$590.17 ,Yes, (12.05), (36.15)," 1,770.51 ",,,,,,,,
333-LEADER        ,9531M94P02,SUPPORT SEAL 2,,Yes,65585-NUMET MACHINING TECHNIQUES              ,F110/F101/F118,99,9531M94P01,Flash Welded,PCC,MTTP (TruForm),1=1,$618.50 ,$606.13 ,Yes, (12.37)," (1,224.63)"," 60,006.87 ",,,,,,,,
