Buyer,Part Number,Nomenclature ,QPA,GE NEG,Finished Part Supplier ,Engine Program,2015 QTY,Raw Material P/N,RM-Type,R/M Supplier,Plant,Yield , R/M Unit Price 2014 , R/M Unit Price 2015 ,PO Amended  Y/N?, 2015 RM Delta ,2015 Material Deflation,2015 Material Extended Value,Machine Part Comments,NPI  - Leap/PP,Chip Revert  Part?,,,,,
333-LEADER        ,5113T74P01,"FAN BAL PIST SEAL, F414",,Yes,43501-HANSEN ENGINEERING & MACHINERY          ,F414,78,5128T10P01,Forging_Closed_Die_F,McWilliams,McWilliams,1=1,"$1,171.00 ","$1,160.00 ",Yes, (11.00), (858.00)," 90,480.00 ",,,,,,,,
92P-DYKES         ,2134M13G02,LINK - FIXED ENGINE MOUNT,,Yes,61701-MOELLER MANUFACTURING                   ,CF34,18,4013536-551P01,Forging_Closed_Die_F,McWilliams ,McWilliams ,1=1,$713.00 ,$913.00 ,No, 200.00 ," 3,600.00 "," 16,434.00 ",INFLATIONARY - Moeller indicates they use BAR - Nickel Tab of RPCoE,,,,,,,
92P-DYKES         ,2134M14G01,510015G01      S2N LIFT SLING,,Yes,61701-MOELLER MANUFACTURING                   ,CF34,20,4013536-552P01,Forging_Closed_Die_F,McWilliams ,McWilliams ,1=1,$470.00 ,$580.00 ,No, 110.00 ," 2,200.00 "," 11,600.00 ",INFLATIONARY - Moeller indicates they use BAR - Nickel Tab of RPCoE,,,,,,,
950-CHIPMAN       ,5113T74P01,"FAN BAL PIST SEAL, F414",,Yes,67013-PARADIGM PRECISION-MALDEN OPERATIONS    ,F414,78,5128T10P01,Forging_Closed_Die_F,McWilliams ,McWilliams ,1=1,"$1,171.00 ","$1,160.00 ",Yes, (11.00), (858.00)," 90,480.00 ",Hansen has new order - May need to extend,,,,,,,
92E-BRINK         ,2134M56G02,"MOUNT, ENGINE - AFT",,Yes,62379-MORRIS MACHINE                          ,0,8,2497M44P01,Forging_Closed_Die_F,McWilliams ,McWilliams ,1=1,"$4,297.00 ","$4,217.00 ",Yes, (80.00), (640.00)," 33,736.00 ",,,,,,,,
T59-Murphy,2007M63G01,AL OGV GE90 PYLON QPE-1,,Yes,45470-AIDC,GE90,0,2007M63P01,Forging_Closed_Die_F,Mettis,,1=1, $523.00 , $438.00 , Yes , $(85.00), $(85.00), $-   ,PO ammended with correct Mettis price.,,,,,,,
T59-Murphy,2073M90G07,FAN OGV,8,Yes,62094-Chaheng,GP7200,0,2073M90P01,Forging_Closed_Die_F,Mettis,,1=1, $561.00 , $551.00 , No , $(10.00), $(80.00), $-   ,,,,,,,,
T59-Murphy,2073M91G07,FAN OGV,8,Yes,62094-Chaheng,GP7200,0,2073M90P01,Forging_Closed_Die_F,Mettis,,1=1, $561.00 , $551.00 , No , $(10.00), $(80.00), $-   ,,,,,,,,
T59-Murphy,2073M92G07,FAN OGV,8,Yes,62094-Chaheng,GP7200,0,2073M90P01,Forging_Closed_Die_F,Mettis,,1=1, $561.00 , $551.00 , No , $(10.00), $(80.00), $-   ,,,,,,,,
T59-Murphy,2073M93G07,FAN OGV,8,Yes,62094-Chaheng,GP7200,0,2073M90P01,Forging_Closed_Die_F,Mettis,,1=1, $561.00 , $551.00 , No , $(10.00), $(80.00), $-   ,,,,,,,,
T59-Murphy,2073M94G07,FAN OGV,8,Yes,62094-Chaheng,GP7200,0,2073M90P01,Forging_Closed_Die_F,Mettis,,1=1, $561.00 , $551.00 , No , $(10.00), $(80.00), $-   ,,,,,,,,
T59-Murphy,2073M95G07,FAN OGV,8,Yes,62094-Chaheng,GP7200,0,2073M90P01,Forging_Closed_Die_F,Mettis,,1=1, $561.00 , $551.00 , No , $(10.00), $(80.00), $-   ,,,,,,,,
T59-Murphy,2073M96G07,FAN OGV,8,Yes,62094-Chaheng,GP7200,0,2073M90P01,Forging_Closed_Die_F,Mettis,,1=1, $561.00 , $551.00 , No , $(10.00), $(80.00), $-   ,,,,,,,,
T59-Murphy,4007M17G01,OGV KIT GP7200,8,Yes,62094-Chaheng,GP7200,0,2073M90G07,Forging_Closed_Die_F,Mettis,,1=1, $561.00 , $551.00 , No , $(10.00), $(80.00), $-   ,,,,,,,,
T59-Murphy,4007M17G01,OGV KIT GP7200,8,Yes,62094-Chaheng,GP7200,0,2073M91G07,Forging_Closed_Die_F,Mettis,,1=1, $561.00 , $551.00 , No , $(10.00), $(80.00), $-   ,,,,,,,,
T59-Murphy,4007M17G01,OGV KIT GP7200,8,Yes,62094-Chaheng,GP7200,0,2073M92G07,Forging_Closed_Die_F,Mettis,,1=1, $561.00 , $551.00 , No , $(10.00), $(80.00), $-   ,,,,,,,,
T59-Murphy,4007M17G01,OGV KIT GP7200,8,Yes,62094-Chaheng,GP7200,0,2073M93G07,Forging_Closed_Die_F,Mettis,,1=1, $561.00 , $551.00 , No , $(10.00), $(80.00), $-   ,,,,,,,,
T59-Murphy,4007M17G01,OGV KIT GP7200,8,Yes,62094-Chaheng,GP7200,0,2073M94G07,Forging_Closed_Die_F,Mettis,,1=1, $561.00 , $551.00 , No , $(10.00), $(80.00), $-   ,,,,,,,,
T59-Murphy,4007M17G01,OGV KIT GP7200,8,Yes,62094-Chaheng,GP7200,0,2073M95G07,Forging_Closed_Die_F,Mettis,,1=1, $561.00 , $551.00 , No , $(10.00), $(80.00), $-   ,,,,,,,,
T59-Murphy,4007M17G01,OGV KIT GP7200,8,Yes,62094-Chaheng,GP7200,0,2073M96G07,Forging_Closed_Die_F,Mettis,,1=1, $561.00 , $551.00 , No , $(10.00), $(80.00), $-   ,,,,,,,,
333-LEADER        ,L43874P02,4R VENT SEAL (LM600 GROWTH),,Yes,02800-AIRCRAFT PRECISION PRODUCTS             ,LM,5,L43875P01, Forging_Closed_Die_F ,PCC,Wyman Gordon Houston,1=1,"$8,947.00 ","$8,960.66 ",Yes, 13.66 , 68.30 ," 44,803.30 ",,,,,,,,
332-KLAYER        ,5144T07P01,"PLATE, COOLING FWD (GE38)",,Yes,49162-JET INDUSTRIES                          ,CPX38,0,5144T08P01, Forging_Closed_Die_F ,PCC,Wyman Gordon Houston,1=1,"$3,596.00 ","$3,596.00 ",Yes, -   , -   , -   ,,,,,,,,
332-KLAYER        ,5144T09P01,"PLATE, COOLING AFT (GE38)",,Yes,49162-JET INDUSTRIES                          ,CPX38,0,5144T08P01, Forging_Closed_Die_F ,PCC,Wyman Gordon Houston,1=1,"$3,596.00 ","$3,596.00 ",Yes, -   , -   , -   ,,,,,,,,
333-LEADER        ,17A190-730P01,"RING, INNNER",,No,81749-SPACE-CRAFT MANUFACTURING               ,CF6-6,6,17A190-730P01-B, Forging_Closed_Die_F ,PCC,Wyman Gordon Houston,1=1,$936.88 ,  $                   -   ,N/A,#VALUE!,#VALUE!,#VALUE!,,,,,,,,
951-WELLING       ,1359M25P02,"ST 2 LPT DISK,F101",1,Yes,21525-EDAC TECHNOLOGIES CORPORATION           ,F101,0,66548-04, Forging_Closed_Die_F ,PCC,Wyman Gordon Houston,1=1,"$6,185.00","$6,185.00",Yes, -   , -   , -   ,Per Bob - Not truly GE Negotiated. - No 2015 Qty (Kiesling part),,,,,,,
951-WELLING       ,1386M69P10,HPT DISK,1,Yes,21525-EDAC TECHNOLOGIES CORPORATION           ,F110,10,4013081-625P02, Forging_Closed_Die_F ,PCC,Wyman Gordon Houston,1=1,"19,775.00","$19,775.00 ",Yes, -   , -   ," 197,750.00 ",,,,,,,,
951-WELLING       ,5128T88G01,STG 1 DISK,1,Yes,21525-EDAC TECHNOLOGIES CORPORATION           ,CF6-6,6,4077T65, Forging_Closed_Die_F ,PCC,Wyman Gordon Houston,1=1,"$6,842.00 ","$6,842.00 ",Yes, -   , -   ," 41,052.00 ","Per Brian Ward and Bob Lange, R/M is not actually negotiated, but F59 exists on the PO because GE provided the R/M pricing from Volvo when Volvo declined to quote the part.",,,,,,,
951-WELLING       ,5128T89G01,STG 2 DISK,1,Yes,21525-EDAC TECHNOLOGIES CORPORATION           ,CF6-6,6,4077T66, Forging_Closed_Die_F ,PCC,Wyman Gordon Houston,1=1,"$10,385.00 ","$10,385.00 ",Yes, -   , -   ," 62,310.00 ","Per Brian Ward and Bob Lange, R/M is not actually negotiated, but F59 exists on the PO because GE provided the R/M pricing from Volvo when Volvo declined to quote the part.",,,,,,,
951-WELLING       ,5128T90G01,STG 3 DISK,1,Yes,21525-EDAC TECHNOLOGIES CORPORATION           ,CF6-6,6,4077T67, Forging_Closed_Die_F ,PCC,Wyman Gordon Houston,1=1,"$8,159.00 ","$8,159.00 ",Yes, -   , -   ," 48,954.00 ","Per Brian Ward and Bob Lange, R/M is not actually negotiated, but F59 exists on the PO because GE provided the R/M pricing from Volvo when Volvo declined to quote the part.",,,,,,,
333-LEADER        ,4013196-570P03,OUTER-VANE HOL,,No,81749-SPACE-CRAFT MANUFACTURING               ,CFM56,9,4013382-337P03, Forging_Closed_Die_F ,PCC,Wyman Gordon Houston,1=1,$830.06 ,  $                   -   ,N/A,#VALUE!,#VALUE!,#VALUE!,,,,,,,,
333-LEADER        ,6072T95P04,REAR COOLING PLATE,,Yes,65585-NUMET MACHINING TECHNIQUES              ,F404,0,5124T80P01, Forging_Closed_Die_F ,PCC,Wyman Gordon Houston,1=1,"$4,105.59 ","$4,079.00 ",N/A, (26.59), -   , -   ,,,,,,,,
333-LEADER        ,9977013-972P01,"SPLIT RING,FWD",,No,81749-SPACE-CRAFT MANUFACTURING               ,CF6-6,38,9977013-972P01, Forging_Closed_Die_F ,PCC,Wyman Gordon Houston,1=8,  $                          -   ,  $                   -   ,N/A,#VALUE!,#VALUE!,#VALUE!,,,,,,,,
950-CHIPMAN       ,4096698-036P01,GE90 STG 6 SEGMENT B/S,,Yes,67013-PARADIGM PRECISION-MALDEN OPERATIONS    ,GE90,16,4096697-986P03, Forging_Closed_Die_F ,PCC,Wyman Gordon Houston,1=12,$222.04 ,$217.60 ,Yes, (4.44), (71.04)," 3,481.60 ",,,,,,,,
950-CHIPMAN       ,9104M38P02,COVER BOLT,,Yes,80739-PARADIGM PRECISION - TEMPE OPERATIONS   ,LM2500,110,9104M38P02, Forging_Closed_Die_F ,PCC,Wyman Gordon Houston,1=4,$247.75 ,$242.79 ,Yes, (4.96), (545.60)," 26,706.90 ",,,,,,,,
950-CHIPMAN       ,4096698-039P01,GE90 STG 9 SEGMENT B/S,,Yes,67013-PARADIGM PRECISION-MALDEN OPERATIONS    ,LMS100,44,4096697-989P03, Forging_Closed_Die_F ,PCC,Wyman Gordon Houston,1=8,$274.33 ,$268.85 ,Yes, (5.48), (241.12)," 11,829.40 ",,,,,,,,
950-CHIPMAN       ,4096698-038P01,GE90 STG 8 SEGMENT B/S,,Yes,67013-PARADIGM PRECISION-MALDEN OPERATIONS    ,GE90,9,4096697-988P03, Forging_Closed_Die_F ,PCC,Wyman Gordon Houston,1=8,$292.37 ,$286.52 ,Yes, (5.85), (52.65)," 2,578.68 ",,,,,,,,
950-CHIPMAN       ,4096698-037P01,GE90 STG 7 SEGMENT B/S,,Yes,67013-PARADIGM PRECISION-MALDEN OPERATIONS    ,GE90,2,4096697-987P03, Forging_Closed_Die_F ,PCC,Wyman Gordon Houston,1=8,$311.65 ,$305.41 ,Yes, (6.24), (12.48), 610.82 ,,,,,,,,
950-CHIPMAN       ,4013522-336P02,AFT FLG MACHINED,,Yes,80739-PARADIGM PRECISION - TEMPE OPERATIONS   ,F110-100,207,4013522-336P02(ref), Forging_Closed_Die_F ,PCC,Wyman Gordon Houston,1=1,$417.48 ,$409.13 ,Yes, (8.35)," (1,728.45)"," 84,689.91 ",,,,,,,,
950-CHIPMAN       ,4096691-930P03,CF34-8C RING STG OGV,,Yes,80739-PARADIGM PRECISION - TEMPE OPERATIONS   ,CF34,299,4096691-930P03(ref), Forging_Closed_Die_F ,PCC,Wyman Gordon Houston,1=1,$440.22 ,$431.42 ,Yes, (8.80)," (2,631.20)"," 128,994.58 ",,,,,,,,
950-CHIPMAN       ,9693M86P02,"SEAL, AIR VENT,LM2500",,Yes,80739-PARADIGM PRECISION - TEMPE OPERATIONS   ,CF6,253,9693M86P02, Forging_Closed_Die_F ,PCC,Wyman Gordon Houston,1=1,$478.31 ,$468.74 ,Yes, (9.57)," (2,421.21)"," 118,591.22 ",,,,,,,,
950-CHIPMAN       ,4096698-695P01,GE90 STG 5 SEGMENT B/S,,Yes,67013-PARADIGM PRECISION-MALDEN OPERATIONS    ,GE90,14,4096697-985P03, Forging_Closed_Die_F ,PCC,Wyman Gordon Houston,1=9,$529.32 ,$518.73 ,Yes, (10.59), (148.26)," 7,262.22 ",,,,,,,,
951-WELLING       ,2480M95G01,BOOSTER SPLITTER,1,Yes,14750-B&F MACHINE                             ,GE-PASSPORT,12,2480M95P02, Forging_Closed_Die_F ,PCC,Wyman Gordon Houston,1=1,"$1,260.00 ","$1,260.00 ",NPI, -   , -   ," 15,120.00 ",Leap,Yes,,,,,,
952-NEAL          ,6072T95P02,AFT COOL PLATE,,Yes,64235-UNISON ENGINE COMPONENTS-ASHEVILLE      ,F404,0,5124T80P01, Forging_Closed_Die_F ,PCC,Grafton,1=1,"$4,105.59 ","$4,079.00 ",Yes, (26.59), -   , -   ,WGW,,,,,,,
950-CHIPMAN       ,17A166-649P01,INNER RING W/O,,Yes,80739-PARADIGM PRECISION - TEMPE OPERATIONS   ,CF6,6,17A166-649P01, Forging_Closed_Die_F ,PCC,Wyman Gordon Houston,1=1,"$1,441.69 ","$1,412.86 ",Yes, (28.83), (172.98)," 8,477.16 ",,,,,,,,
92E-BRINK         ,1806M87G01,ENG MNT (AIRBUS),,Yes,62379-MORRIS MACHINE                          ,CF6,42,1806M87G02, Forging_Closed_Die_F ,PCC,Wyman Gordon Houston,1=1,"$2,298.00 ","$2,264.00 ",Yes, (34.00)," (1,428.00)"," 95,088.00 ",,,,,,,,
952-NEAL          ,9531M14P03,REAR FAN SHAFT,,Yes,64235-UNISON ENGINE COMPONENTS-ASHEVILLE      ,F110-100,0,4013382-897P01, Forging_Closed_Die_F ,PCC,Wyman Gordon Houston,1=1,"$2,143.00 ","$2,107.00 ",Yes, (36.00), -   , -   ,Waiting WG Houston Commit for Ti,,,,,,,
952-NEAL          ,1499M83P02,AFT SHAFT,,Yes,64235-UNISON ENGINE COMPONENTS-ASHEVILLE      ,F110,0,4013382-897P01, Forging_Closed_Die_F ,PCC,Wyman Gordon Houston,1=1,"$2,143.00 ","$2,107.00 ",Yes, (36.00), -   , -   ,Waiting WG Houston Commit for Ti,,,,,,,
950-CHIPMAN       ,17A190-319P01,ROTOR SPOOL,,Yes,67013-PARADIGM PRECISION-MALDEN OPERATIONS    ,T64,38,3013T55P01, Forging_Closed_Die_F ,PCC,Wyman Gordon Houston,1=1,"$3,079.00 ","$3,034.00 ",Yes, (45.00)," (1,710.00)"," 115,292.00 ",,,,,,,,
950-CHIPMAN       ,17A166-311P03,INNER LINER,,Yes,80739-PARADIGM PRECISION - TEMPE OPERATIONS   ,F404,241,17A166-311P01, Forging_Closed_Die_F ,PCC,Wyman Gordon Houston,1=1,"$2,677.10 ","$2,623.56 ",Yes, (53.54)," (12,903.14)"," 632,277.96 ",,,,,,,,
333-LEADER        ,17A190-309P01,TURBINE WHEEL,,Yes,02800-AIRCRAFT PRECISION PRODUCTS             ,T64/CT64,0,4011T42P01, Forging_Closed_Die_F ,PCC,Wyman Gordon Houston,1=1,"$1,952.00 ","$1,894.00 ",Yes, (58.00), -   , -   ,,,,,,,,
92E-BRINK         ,1846M14G01,"MOUNT, FWD PLATFORM",,Yes,62379-MORRIS MACHINE                          ,GE90,6,10042897P01, Forging_Closed_Die_F ,PCC,Grafton,1=1,"$4,143.00 ","$4,073.00 ",Yes, (70.00), (420.00)," 24,438.00 ",,,,,,,,
950-CHIPMAN       ,5126T36P01,REAR COMP SHAFT,,Yes,67013-PARADIGM PRECISION-MALDEN OPERATIONS    ,#N/A,0,5126T56P01, Forging_Closed_Die_F ,PCC,Wyman Gordon Houston,1=1," 4,295.00 "," 4,220.00 ",Yes, (75.00), -   , -   ,,,,,,,,
92E-BRINK         ,1846M17G02,"PLATFORM, AFT MOUNT",,Yes,62379-MORRIS MACHINE                          ,GE90,6,1691M11X901, Forging_Closed_Die_F ,PCC,Grafton,1=1,"$18,092.00 ","$17,898.00 ",Yes, (194.00)," (1,164.00)"," 107,388.00 ",,,,,,,,
92E-BRINK         ,1846M33G02,PLATFORM,,Yes,62379-MORRIS MACHINE                          ,GE90,109,4013536-530P01, Forging_Closed_Die_F ,PCC,Grafton,1=1,"$18,626.00 ","$18,428.00 ",Yes, (198.00)," (21,582.00)"," 2,008,652.00 ",,,,,,,,
443-SHINE         ,L44566G01,"STG 0 BLISK ASSY,LM2500",,Yes,52361-GKN AEROSPACE - CINCINNATI INC          ,LM2500+,17,4013430-270P01, Forging_Closed_Die_F ,PCC,Wyman Gordon Houston,1=1,"$34,509.00 ","$34,262.00 ",Yes, (247.00)," (4,199.00)"," 582,454.00 ",,,,,,,,
443-SHINE         ,L44566G02,"STG 0 BLISK ASSY,LM2500",,Yes,52361-GKN AEROSPACE - CINCINNATI INC          ,LM2500+,85,4013430-270P01, Forging_Closed_Die_F ,PCC,Wyman Gordon Houston,1=1,"$34,509.00 ","$34,262.00 ",Yes, (247.00)," (20,995.00)"," 2,912,270.00 ",,,,,,,,
412-GOLDFARB      ,L21737G08,SHAFT ASSY,1,Yes,97101-WORLD AEROSPACE                         ,LM,6,L24466P02, Forging_Closed_Die_F ,PCC,Wyman Gordon Houston,1=1,"$10,443.00 ","$8,352.00 ",Yes," (2,091.00)"," (12,546.00)"," 50,112.00 ",,,,,,,,
T55-Cece,1282M72P07,SEAL-ROTATING AIR HP,,Yes,29801-Xian Aero,CFM56-2/-3,0,4013382-495P04,Forging_Closed_Die_F,PCC,Wyman Gordon Houston,1=1," $3,498.00 "," $3,400.00 ",Yes, $(98.00), $(98.00), $-   ,,,Yes,,,,,
T55-Cece,1385M90P04,FWD SHAFT,,Yes,29801-Xian Aero,CFM56-2/-3,27,4013382-872P04,Forging_Closed_Die_F,PCC,Wyman Gordon Houston,1=1," $4,547.00 "," $4,381.00 ",Yes, $(166.00), $(166.00)," $(3,361.50)",,,Yes,,,,,
T55-Cece,1475M29P02,HPT DISK,,Yes,29801-Xian Aero,CFM56-2/-3,48,4013082-729P07,Forging_Closed_Die_F,PCC,Wyman Gordon Houston,1=1," $6,116.00 "," $5,903.00 ",Yes, $(213.00), $(213.00)," $(7,668.00)",,,Yes,,,,,
T55-Cece,1475M29P03,HPT DISK,,Yes,29801-Xian Aero,CFM56-2/-3,0,4013082-729P07,Forging_Closed_Die_F,PCC,Wyman Gordon Houston,1=1," $6,116.00 "," $5,903.00 ",Yes, $(213.00), $(213.00), $-   ,,,Yes,,,,,
T55-Cece,17A190-276P02,STG.6 DISK,,Yes,29801-Xian Aero,CF34-3,44,5071T64P03,Forging_Closed_Die_F,PCC,Wyman Gordon Houston,1=1," $2,166.00 "," $2,080.00 ",Yes, $(86.00), $(86.00)," $(2,838.00)",,,Yes,,,,,
T55-Cece,1865M17P02,"SEAL, ROTATING, AFT",,Yes,29801-Xian Aero,GE90,229,1865M29P01,Forging_Closed_Die_F,PCC,Wyman Gordon Houston,1=1," $5,827.00 "," $5,595.00 ",Yes, $(232.00), $(232.00)," $(39,846.00)",,,Yes,,,,,
T55-Cece,1865M51P03,HPT DISK,,Yes,29801-Xian Aero,CF34-10E,81,1865M50P02,Forging_Closed_Die_F,PCC,Wyman Gordon Houston,1=1," $5,215.00 "," $5,007.00 ",Yes, $(208.00), $(208.00)," $(12,636.00)",,,Yes,,,,,
T55-Cece,2116M20P02,FWD OUTER SEAL,,Yes,29801-Xian Aero,CFM56-5/-7,0,2116M55P01,Forging_Closed_Die_F,PCC,Wyman Gordon Houston,1=1," $4,360.00 "," $4,171.00 ",Yes, $(189.00), $(189.00), $-   ,,,Yes,,,,,
T55-Cece,2410M50P02,HPT FOS,,Yes,29801-Xian Aero,CFM56-5/-7,1237,2116M55P01,Forging_Closed_Die_F,PCC,Wyman Gordon Houston,1=1," $4,360.00 "," $4,171.00 ",Yes, $(189.00), $(189.00)," $(175,344.75)",,,Yes,,,,,
T55-Cece,2453M80P01,STG 3 LPT DISK,,Yes,29801-Xian Aero,CF6-5,0,2463M04P01,Forging_Closed_Die_F,PCC,Wyman Gordon Houston,1=1," $16,770.00 "," $16,770.00 ",Yes, $-   , $-   , $-   ,,,Yes,,,,,
T55-Cece,2468M46P01,TUBE,,Yes,29801-Xian Aero,Leap-1A/C,0,2468M75P02,Forging_Closed_Die_F,PCC,Wyman Gordon Houston,1=1," $3,077.00 "," $2,981.00 ",Yes, $(96.00), $(96.00), $-   ,,,"Check with Mark - depends on alloy (Ti: No, Inco718: Yes)",,,,,
T55-Cece,4013522-064P04,STAGE 4 DISK,,Yes,29801-Xian Aero,CF34,374,2102M95P01,Forging_Closed_Die_F,PCC,Wyman Gordon Houston,1=1," $3,108.00 "," $2,993.00 ",Yes, $(115.00), $(115.00)," $(32,257.50)",,,Yes,,,,,
T55-Cece,4013522-065P04,STAGE 5 DISK,,Yes,29801-Xian Aero,CF34,373,2102M98P01,Forging_Closed_Die_F,PCC,Wyman Gordon Houston,1=1," $2,279.00 "," $2,200.00 ",Yes, $(79.00), $(79.00)," $(22,100.25)",,,Yes,,,,,
T55-Cece,4013522-066P04,STAGE 6 DISK,,Yes,29801-Xian Aero,CF34,374,2102M99P01,Forging_Closed_Die_F,PCC,Wyman Gordon Houston,1=1," $2,248.00 "," $2,171.00 ",Yes, $(77.00), $(77.00)," $(21,598.50)",,,Yes,,,,,
T55-Cece,4013522-067P04,STAGE 7 DISK,,Yes,29801-Xian Aero,CF34,374,2102M99P01,Forging_Closed_Die_F,PCC,Wyman Gordon Houston,1=1," $2,248.00 "," $2,171.00 ",Yes, $(77.00), $(77.00)," $(21,598.50)",,,Yes,,,,,
T55-Cece,4013522-068P04,STAGE 8 DISK,,Yes,29801-Xian Aero,CF34,372,2117M63P01,Forging_Closed_Die_F,PCC,Wyman Gordon Houston,1=1," $2,225.00 "," $2,150.00 ",Yes, $(75.00), $(75.00)," $(20,925.00)",,,Yes,,,,,
T55-Cece,4013522-069P04,STAGE 9 DISK,,Yes,29801-Xian Aero,CF34,372,2117M63P01,Forging_Closed_Die_F,PCC,Wyman Gordon Houston,1=1," $2,225.00 "," $2,150.00 ",Yes, $(75.00), $(75.00)," $(20,925.00)",,,Yes,,,,,
T55-Cece,4013522-070P03,STG10 C/R,,Yes,29801-Xian Aero,CF34,374,4129T73P01,Forging_Closed_Die_F,PCC,Wyman Gordon Houston,1=1," $3,949.00 "," $3,796.00 ",Yes, $(153.00), $(153.00)," $(42,916.50)",,,Yes,,,,,
T55-Cece,4015M08G01,STG 1 LPT DISK,,Yes,29801-Xian Aero,CF6,38,4013522-358P01,Forging_Closed_Die_F,PCC,Wyman Gordon Houston,1=1," $5,660.00 "," $5,424.00 ",Yes, $(236.00), $(236.00)," $(6,726.00)",,,Yes,,,,,
T55-Cece,4015M09G01,STG 3 LPT DISK,,Yes,29801-Xian Aero,CF6,39,4013522-359P01,Forging_Closed_Die_F,PCC,Wyman Gordon Houston,1=1," $8,326.00 "," $7,968.00 ",Yes, $(358.00), $(358.00)," $(10,471.50)",,,Yes,,,,,
T55-Cece,4129T28P05,SEAL CDP ROTATING,,Yes,29801-Xian Aero,CF34-8,373,4129T74P01,Forging_Closed_Die_F,PCC,Wyman Gordon Houston,1=1," $1,887.00 "," $1,845.00 ",Yes, $(42.00), $(42.00)," $(11,749.50)",,,Yes,,,,,
T55-Cece,5023T40P03,CONE DRIVE,,Yes,29801-Xian Aero,LM2500,65,5079T72P01,Forging_Closed_Die_F,PCC,Wyman Gordon Houston,1=1," $1,909.00 "," $1,867.00 ",Yes, $(42.00), $(42.00)," $(2,047.50)",,,Yes,,,,,
T55-Cece,9224M63P07,"DISK, S1 LPTR",,Yes,29801-Xian Aero,CF6-80A,0,4013082-519P04,Forging_Closed_Die_F,PCC,Wyman Gordon Houston,1=1," $6,735.00 "," $6,314.00 ",Yes, $(421.00), $(421.00), $-   ,,,No,,,,,
T55-Cece,9224M64P05,"DISK, S2 LPTR",,Yes,29801-Xian Aero,CF6-80A,0,4013084-636P04,Forging_Closed_Die_F,PCC,Wyman Gordon Houston,1=1," $10,023.00 "," $9,699.00 ",Yes, $(324.00), $(324.00), $-   ,,,No,,,,,
T55-Cece,L21172P04,STG 1 LPT DISC,,Yes,29801-Xian Aero,LM2500,0,4013083-552P09,Forging_Closed_Die_F,PCC,Wyman Gordon Houston,1=1," $8,411.00 "," $8,040.00 ",Yes, $(371.00), $(371.00), $-   ,,,Yes,,,,,
T55-Cece,L21173P05,STG 2 LPT DISC,,Yes,29801-Xian Aero,LM2500,0,4013083-553P10,Forging_Closed_Die_F,PCC,Wyman Gordon Houston,1=1," $8,136.00 "," $7,790.00 ",Yes, $(346.00), $(346.00), $-   ,,,Yes,,,,,
T55-Cece,L21174P04,STG 3 LPT DISC,,Yes,29801-Xian Aero,LM2500,1,4013083-554P08,Forging_Closed_Die_F,PCC,Wyman Gordon Houston,1=1," $7,640.00 "," $7,318.00 ",Yes, $(322.00), $(322.00), $(241.50),,,Yes,,,,,
T55-Cece,L21175P05,STG 4 LPT DISC,,Yes,29801-Xian Aero,LM2500,1,4033083-816P03,Forging_Closed_Die_F,PCC,Wyman Gordon Houston,1=1," $7,365.00 "," $7,054.00 ",Yes, $(311.00), $(311.00), $(233.25),,,Yes,,,,,
T55-Cece,L21176P05,STG 5 LPT DISC,,Yes,29801-Xian Aero,LM2500,0,4013083-817P03,Forging_Closed_Die_F,PCC,Wyman Gordon Houston,1=1," $7,013.00 "," $6,718.00 ",Yes, $(295.00), $(295.00), $-   ,,,Yes,,,,,
T55-Cece,L21177P05,LPT DISC STG6,,Yes,29801-Xian Aero,LM2500,0,4013077-937P06,Forging_Closed_Die_F,PCC,Wyman Gordon Houston,1=1," $5,166.00 "," $4,945.00 ",Yes, $(221.00), $(221.00), $-   ,,,Yes,,,,,
T55-Cece,L47519P04,"SPACER, HPT ROTOR",,Yes,29801-Xian Aero,LM2500,148,4013287-612P04,Forging_Closed_Die_F,PCC,Wyman Gordon Houston,1=1," $3,225.00 "," $3,090.00 ",Yes, $(135.00), $(135.00)," $(14,985.00)",,,Yes,,,,,
T55-Cece,L47519P05,"SPACER, HPT ROTOR",,Yes,29801-Xian Aero,LM2500,61,4013287-612P04,Forging_Closed_Die_F,PCC,Wyman Gordon Houston,1=1," $3,225.00 "," $3,090.00 ",Yes, $(135.00), $(135.00)," $(6,176.25)",,,Yes,,,,,
T55-Cece,L50501P02,"DISK, STG 1, LPT",,Yes,29801-Xian Aero,LM2500+,2,4013382-857P01,Forging_Closed_Die_F,PCC,Wyman Gordon Houston,1=1," $15,546.00 "," $14,966.00 ",Yes, $(580.00), $(580.00), $(870.00),,,Yes,,,,,
T55-Cece,L50502P02,"DISK, STG 2, LPT",,Yes,29801-Xian Aero,LM2500+,0,4013382-858P01,Forging_Closed_Die_F,PCC,Wyman Gordon Houston,1=1," $14,671.00 "," $14,121.00 ",Yes, $(550.00), $(550.00), $-   ,,,Yes,,,,,
T55-Cece,L50503P01,ST 3 LPT DISK,,Yes,29801-Xian Aero,LM2500+,0,4013382-85901,Forging_Closed_Die_F,PCC,Wyman Gordon Houston,1=1," $13,315.00 "," $12,823.00 ",Yes, $(492.00), $(492.00), $-   ,,,Yes,,,,,
T55-Cece,L50504P01,ST 4 LPT DISK,,Yes,29801-Xian Aero,LM2500+,0,4013382-860P01,Forging_Closed_Die_F,PCC,Wyman Gordon Houston,1=1," $12,995.00 "," $12,521.00 ",Yes, $(474.00), $(474.00), $-   ,,,Yes,,,,,
