ID ,Finished Part Number ,Forging Part Number ,Nomenclature ,"Finished Part L (+.010 Tol.) ","Finished Part ID (-.005 Tol.) ",Finished Part OD (+.005 Tol.) ,Material  Name ,Material Spec/Class,EP,VSE Initiated,VSE Phase ,"Alternate Part L (+.010 Tol.) ","Alternate Part ID (-.005 Tol.) ",Alternate Part OD (+.005 Tol.) ,Alternate Material Spec/Class,MACHINING SOURCE,Cut Weight (Lbs.) , LTA 2016 Price  ,Alternate 2016 Price ,Order Received From Machining Source (Y/N),Agreed on COS     (Y/N),Agreed Upon Shape (Y/N),Billet Commit Date,Supplier Commit ,First Shipment Quantity,Production Lead Time,COMMENTS
73,2609M12P01,D2609M12P01,Outer Support,0,0,0,I718+,B50TF317CLB,LEAP A/C,Terre Haute ,3,,,,,EGAT ,96,"$3,299",,Y,Y,Y,20 WEEKS,6 WEEKS,62,27 WEEKS,LTA FPN 2609M10G20
76,2559M23P01,D2559M23P01,Outer Liner Fwd Ring,0,0,0,HS188,B50TF74CLA,Leap-1B,Terre Haute ,3,,,,,Terre Haute ,73.9,"$1,585",,Y,Y,Y,20 WEEKS,7 WEEKS,1,28 WEEKS,LTA FPN 2609M10G23
77,2559M23P02,D2559M23P02,Outer Liner Aft Ring,0,0,0,HS188,B50TF74CLA,Leap-1B,Terre Haute ,3,,,,,Terre Haute ,46.3,"$1,008",,Y,Y,Y,20 WEEKS,7 WEEKS,4,28 WEEKS,LTA FPN 2609M10G25
82,2611M12P01,D2611M12P01,Fwd Outer Support,0,0,0,I718+,B50TF317CLB,Leap-1B,Terre Haute ,3,,,,,EGAT,85,"$3,421",,Y,Y,Y,20 WEEKS,6 WEEKS,50,27 WEEKS,LTA FPN 2609M10G35
105,2554M83P01 ,2554M83P01.000R,"SHEILD, HEAT - COMBUSTOR CASE",1.725,24.415,24.995,718Plus,B50TF317 CL-B,Leap-1B,50620-VSE-15-03676 ,4,,,,,Aerocision - Chester,20.7,$720,,Y,Y,Y,11/20/15,12/20/15,10,27 WEEKS,VSE under Forging number 4013739-983 
128,2243M35G02,2243M35P03,Impingement Ring ,0.512,22.393,23.178,HastX,AMS 5536,Leap-1B,50620-VSE-15-02400 ,5,,,,,EGAT  ,8.5,$277,,Y,Y,Y,20 WEEKS,5 WEEKS,10,26 WEEKS,
129,2243M35G02,2243M35P07,Impingement Ring ,0.574,22.549,23.501,HastX,AMS 5536,Leap-1B,50620-VSE-15-02403 ,2,,,,,EGAT  ,10.7,$310,,Y,Y,Y,20 WEEKS,5 WEEKS,10,26 WEEKS,
153,2548M31G01,4013704-689P01,"SEAL, CDP-STATOR",0.675,9.629,11.46,"718 Plus","B50TF317 CL-A",Leap-1B,50620-VSE-15-02409,3,,,,,Triumph SanD,,$342,,N,,,20 WEEKS,5 WEEKS,,,
159,2594M65P01,2594M65P01.000R,"DAMPER, AFT HIGH PRESSURE TURBINE R",0.218,9.674,10.014,X-750,AMS 5668,LEAP A/C,VSE Voided part does not need VSE,,,,,,Barnes Singapore,,$83,,N,,,20 WEEKS,6 WEEKS,,,
