SUPPLIER,GE PART NUMBER,FORGE PART NUMBER,Machining Source,Machining Source,Engine ,WEIGHT,WRP,ALLOY,Mat''l Spec.,2011 $ per part,2012 raw mat'l,2012 Bar cost,2012,2012 $ per part,2013 $ per part,2014 $ per part
Welded Ring,17A190-164 P01,F1362-1,Steel Tool,,CF-34,9.12,30215,HAST X,B50TF31 ,$248.19, $20.78 ,$189.51,$74.91,$264.42,$255.00,$255.00
Welded Ring,17A190-318P01,17A190-318 P01-FRG,Palmer,,TF34,17.48,20722,188,B50TF74 CL-A,"$1,042.64", $43.00 ,$751.64,$291.00,"$1,042.64","$1,042.00","$1,042.00"
Welded Ring,17A190-632 P01,17A190-632 P01,Palmer,,CF-34,15.8,40409,INC 718,B50TF15 Cl-D,$670.38, $20.29 ,$320.58,$349.80,$670.38,$650.00,$650.00
Welded Ring,1865M61 P01,F1409-01,Steel Tool,,CF-34,24.19,40407,INC 718,B50TF15 CL-F,$827.03, $21.68 ,$524.44,$349.28,$873.72,$835.00,$835.00
Welded Ring,2048M87 P01,F1425-1,Steel Tool,,T-700,24.19,40416,INC 718,B50TF15 CL-E,"$1,633.73", $21.18 ,$512.34,"$1,168.07","$1,680.41","$1,633.00","$1,633.00"
Welded Ring,2070M48P01,,Shenyang,,CF-34,11.16,40392,INC 718,B50TF15 CL-F,$334.67, $21.18 ,$236.37,$119.84,$356.21,$382.00,$382.00
Welded Ring,2070M58P01,,Smith W-B,,,13.89,40368,INC 718,B50TF15 CL-F,$525.00, $21.18 ,$294.19,$257.62,$551.81,$525.00,$525.00
Welded Ring,2071M15P01,2071M15 P01,Smiths W-B,,CFM56,14.04,40336,INC 718,B50TF15 CL-F,$433.54, $21.18 ,$297.37,$163.27,$460.64,$433.00,$433.00
Welded Ring,2410M52P01,F1432-1,Steel Tool,,CFM56,23.13,40434,INC 718,B50TF15 CL_F,$700.00, $21.18 ,$489.89,$254.75,$744.64,$880.00,$880.00
Welded Ring,3008T38P03,,JET Engine,,T-700,12.68,30247,HAST X,AMS 5754,$676.70, $22.68 ,$287.58,$413.59,$701.17,$676.00,$676.00
Welded Ring,4013082-728P01,4013082-728P01,GE - Direct,,LM2500,44.44,95029,WASP,AMS 5706,"$2,115.22", $30.28 ,"$1,345.64",$848.68,"$2,194.32","$2,194.00","$2,194.00"
Welded Ring,4013082-728P02,4013082-728P02,GE - Direct,,LM2500,44.44,95044,WASP,AMS 5706,"$2,100.67", $30.28 ,"$1,345.64",$834.13,"$2,179.77","$2,179.00","$2,179.00"
