Item #,LTA,Site,2011 Defla-tion,2012 Defla-tion,2013 Defla-tion,2014 Defla-tion,2015 Defla-tion,2016 Defla-tion,2017 Defla-tion,Alloy Family,Alloy,Spec,Billet Dia.,Engine Program,GE P/N,Forging P/N,FR Site P/N,Alternate P/N,Nomenclature,Machining Source #1,Machining Source #2,Machining Source #3,Singles per Sleeve,Segments per Single, 2011 Price per Part ,2012 Price per Part,2013 Price per Part,2014 Price per Part,2015 Price per Part,2016 Price per Part,2017 Price per Part,Comments
636,Base - 1,FMI,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,Al,6061,AMS 4127,9.25,CF34,6047T34P01,6047T34P01,,,,TSS,TSS,,,, $166 ,$165.09,$164.27,$160.98,$157.76,$154.61,$151.51,
638,Base - 1,FRM,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,718,B50TF15,4,T700,6053T29G01,4013082-479P01,,T110027-01,,TEI,,,,, $172 ,$166.19,$160.38,$157.17,$154.03,$150.95,$147.93,
640,Base - 1,FRM,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,718,B50TF15,4,T700,6053T29G01,4013082-482P01,,,,TEI,,,,, $117 ,$112.71,$108.77,$106.59,$104.46,$102.37,$100.32,
642,Base - 1,FMI,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,Al,6061,AMS 4127,7,F404,6054T22P02,0,,,,B&F,,,,, $459 ,$456.66,$454.37,$445.29,$436.38,$427.65,$419.10,
643,Base - 1,FMI,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,Al,6061,AMS 4127,7,F404,6054T85G01,6054T85G01,,,,Sun Country,,,,, $310 ,$307.98,$306.44,$300.31,$294.30,$288.42,$282.65,
646,Base - 1,FRV,-4.00%,-4.00%,-4.00%,-2.00%,-2.00%,-2.00%,-2.00%,Ti,Ti 6-4,C50TF12A,12,F404,6057T42G02,4013082-546P01,,,,Middleton,Samsung,,,," $13,030 ","$12,508.33","$12,007.99","$11,767.83","$11,532.48","$11,301.83","$11,075.79",Price correction agreed to by GE on 11/14/2007
648,Base - 1,FMI,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,909,C50TF95,6,CT7/T700,6064T97P02,0,,,,Kerns,Avio,,,," $1,121 ","$1,082.09","$1,044.22","$1,023.33","$1,002.87",$982.81,$963.15,
654,Base - 1,SFC,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,St,M152,C50TF68B,12,F404/LM1600,6072T19G05,4013081-705P02 / P05,,,,Middleton,,,,," $2,938 ","$2,923.00","$2,908.38","$2,850.22","$2,793.21","$2,737.35","$2,682.60",
656,Base - 1,FRM,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,909,C50TF95,8,CFE738,6083T13G05,4095T06P06,1212663,,,Barnes-Windsor,,,,," $1,383 ","$1,334.23","$1,287.53","$1,261.78","$1,236.55","$1,211.81","$1,187.58",
658,Base - 1,SFC,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,718,C50TF6,8,CF6/LM2500,9010M36G02,9010M36P03,,,,UEC-Asheville,Samsung,,,," $2,102 ","$2,028.32","$1,957.33","$1,918.18","$1,879.82","$1,842.22","$1,805.38",
660,Base - 1,FRM,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,St,17.4PH,AMS 5643,4,CF6,9032M25G01,2109D01,871204125,,,Barnes-Windsor,,,,, $175 ,$174.19,$173.32,$169.85,$166.45,$163.12,$159.86,
662,Base - 2,FMI,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,St,410,AMS 5612,4,LM6000,9046M14P02,9046M14P02,,,,Jet Industries,,,,, $160 ,$158.71,$157.92,$154.76,$151.66,$148.63,$145.66,
665,Base - 2,FMI,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,St,4340,AMS 6415,6,CF6-50,9081M82P01,9081M81P01/P03,1625700,,,Guizhou,Berkshire,Godrej,,, $296 ,$294.37,$292.90,$287.04,$281.30,$275.68,$270.16,
667,Base - 1,FRM,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,718,C50TF6,4,CF6-80C,9102M28P01,9102M28P01,871201862,,,B&F,,,,, $605 ,$583.68,$563.25,$551.99,$540.95,$530.13,$519.53,
668,Base - 1,FMI,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,718,C50TF6,4,LM2500,9102M29G01,9102M29G01-F,,,,Tool Sales,TSS Technologies,,,, $604 ,$583.00,$562.59,$551.34,$540.31,$529.51,$518.92,
669,Base - 1,FRM,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,718R,C50TF37,8,CF6/LM2500,9104M10P07,4013083-507P03,1211047,,,UEC-Asheville,,,,," $1,226 ","$1,183.17","$1,141.76","$1,118.92","$1,096.54","$1,074.61","$1,053.12",
679,Base - 1,FMI,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,Al,6061,AMS 4127,14.5,CF6,9211M76G01/G06,9211M76MR5,,,,UEC-Asheville,,,,, $788 ,$783.94,$780.02,$764.42,$749.13,$734.15,$719.47,xfer to FMI
682,Base - 1,SFC,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,718R,C50TF37,8,LM2500,9264M54P02,9264M54P02MR5,,,,UEC-Asheville,Samsung,,,," $5,169 ","$4,987.88","$4,813.30","$4,717.04","$4,622.70","$4,530.24","$4,439.64","COS is 1=5 min thk 4.66"""
683,Base - 1,FRM,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,St,4340VAR,AMS 6414,4,CF6/LM6000,9273M61G02,9273M61P01,920623009,,,Berkshire,Turbomecanica,,,, $100 ,$99.61,$99.12,$97.13,$95.19,$93.29,$91.42,
691,Base - 1,FRC,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,718R,C50TF37,12,CF6/LM6000,9365M24P02,4013083-508P04,,,,UEC-Asheville,,,,," $4,433 ","$4,277.86","$4,128.14","$4,045.57","$3,964.66","$3,885.37","$3,807.66","COS is 1=4 min thk 4.375"""
692,Base - 1,FRM,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,St,17.4PH,AMS 5643,4,CF6,9374M12P01,9374M12P01,1207505,,,Jet Industries,,,,, $317 ,$315.28,$313.70,$307.43,$301.28,$295.25,$289.35,
695,Base - 1,FMI,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,Al,6061,AMS 4127,6,LM6000/CF6-80E,9379M40G02,9379M40P01/P02,,TF9379M40P01/P02,,Sonic,Sun Country,,4,8, $70 ,$69.51,$69.16,$67.78,$66.43,$65.10,$63.80,Shipped as 9379M40P01/P02; xfer to FMI-sell as  a 1=4 sleeve
699,Base - 2,SFC,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,Al,6061,AMS 4127,9.25,LM2500,9379M42G04,TF9379M42P01/P02,,9379M42P01/P02,,Sonic,Sun Country,,6,, $74 ,$73.37,$73.01,$71.55,$70.12,$68.71,$67.34,Shipped as 9379M42P01/P02-sell as a sleeve; 
700,Base - 1,FMI,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,Al,6061,AMS 4127,9,CF6,9379M42G07,9379M42G07-F,,,,TSS,,,,, $485 ,$482.72,$480.31,$470.70,$461.29,$452.06,$443.02,
701,Base - 1,FMI,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,Al,6061,AMS 4127,9,LM2500,9379M42G07,9379M42P01,,,,Sun Country,Sonic,FAST,,, $427 ,$424.80,$422.67,$414.22,$405.93,$397.82,$389.86,
702,Base - 1,FMI,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,Al,6061,AMS 4127,9,LM2500,9379M42G07,9379M42P02,,,,Sun Country,Sonic,,,, $483 ,$480.79,$478.39,$468.82,$459.44,$450.26,$441.25,
703,Base - 1,FRM,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,St,A286,AMS 5732,4,CF6/LM6000,9380M25P02,0,871204009,,,Tri-Aerospace,,,,, $479 ,$476.12,$473.74,$464.27,$454.98,$445.88,$436.96,
704,Base - 1,FMI,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,St,4340VAR,AMS 6414,6,CF6/LM6000,9392M55P04,TF9392M55P04,0855003,,,UEC-Orillia,,,,, $371 ,$368.72,$366.88,$359.54,$352.35,$345.31,$338.40,
705,Base - 2,FMI,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,St,4340VAR,AMS 6414,6,NA,9392M61P02,S9392M61P02,0156202,,,Berkshire,,,,, $270 ,$268.71,$267.37,$262.02,$256.78,$251.65,$246.61,
708,Base - 1,FRM,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,St,8740,AMS 6322,6,F110,9502M19P02,0,871201736,,,APPI,,,,, $289 ,$287.70,$286.26,$280.54,$274.93,$269.43,$264.04,
709,Base - 1,FRM,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,St,A286,AMS 5731,4,F110,9502M27P02,N/A,871204579,,,Hansen,Moeller,,,, $683 ,$679.54,$676.14,$662.62,$649.36,$636.38,$623.65,
710,Base - 1,FRM,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,St,17.4PH,AMS 5643,3,F101,9502M33P01,9502M33P01,,,,Jet Industries,,,,, $58 ,$57.77,$57.48,$56.33,$55.21,$54.10,$53.02,
711,Base - 1,FRM,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,St,410,AMS 5613,4,F110,9502M47P01,TF9502M47P02,871204241,,,Numet,,,,, $72 ,$71.29,$70.94,$69.52,$68.13,$66.77,$65.43,
716,Base - 1,FRM,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,St,17.4PH,AMS 5643,3,CF6/LM2500,9602M47P09,0,1209150,,,APPI,,,,, $122 ,$121.79,$121.18,$118.76,$116.39,$114.06,$111.78,
718,Base - 1,FRM,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,St,4340,AMS 6415,3,LM2500,9607M78P01,2128D01,871204519,,,Barnes-Phoenix,,,,, $73 ,$72.34,$71.98,$70.54,$69.13,$67.75,$66.39,
719,Base - 1,FRM,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,718,C50TF6,4,CF6/LM2500,9644M06P03,TF9644M06P03,1201499,,,B&F,,,,, $497 ,$479.54,$462.76,$453.50,$444.43,$435.54,$426.83,
721,Base - 1,FRM,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,St,4340,AMS 6415,4,LM2500,9645M84P02,2129D01,,,,Barnes,Jet Industries,,,, $144 ,$142.89,$142.18,$139.33,$136.54,$133.81,$131.14,
724,Base - 1,FRM,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,718R,C50TF37,3,LM2500,9646M71P04,9646M71P04-F,871204338,FRM # 871204338,,TSS,UEC-Asheville,,3,, $849 ,$819.58,$790.90,$775.08,$759.58,$744.39,$729.50,"Price is for a 1=3 sleeve, nom. forging dim. are 8.375 x7.375 x 2.940"
725,Base - 1,FRM,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,WASP,AMS 5709,6,CF6,9654M80P08,9654M80P08,1201130,,,Jet Industries,Turbomecanica,,,," $1,402 ","$1,352.89","$1,305.54","$1,279.43","$1,253.84","$1,228.76","$1,204.19",
728,Base - 2,FRM,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,St,17.4PH,AMS 5643,6.75,LM2500,9690M54P02,9690M54P02,,,,Jet Industries,,,,, $316 ,$314.46,$312.89,$306.63,$300.50,$294.49,$288.60,
729,Base - 1,FMI,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,Al,6061,AMS 4127,6,LM2500,9691M37P01,9691M37P01,,,,Jet Industries,,,,, $231 ,$229.78,$228.63,$224.06,$219.57,$215.18,$210.88,
732,Base - 2,FMI,-4.00%,-4.00%,-4.00%,-2.00%,-2.00%,-2.00%,-2.00%,Ti,Ti 6-4,C50TF12B,4,F118/F110,9732M53P02,9732M53P02,,,,Jet Industries,APPI,,,, $788 ,$756.25,$726.00,$711.48,$697.25,$683.31,$669.64,
733,Base - 1,FRM,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,St,A286,B50TF81A,3,T64,984B104P04,0,1206175,,,Kerns,,,,, $178 ,$177.58,$176.69,$173.16,$169.70,$166.30,$162.98,
737,Base - 1,FRM,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,X750,B50T1232,6,T64,9899556-841P01,9899556-841P01F,1216029,,,SpaceCraft,,,,, $452 ,$436.21,$770.00,$754.60,$739.51,$724.72,$710.22,Price change 12/12 to increase mat'l weight and add machine and sonic
740,Base - 1,FRM,-4.00%,-4.00%,-4.00%,-2.00%,-2.00%,-2.00%,-2.00%,Ti,Ti 6-4,AMS 4928,4,F110/F118,9940M51P03,0,,,,APPI,EMI,,,, $618 ,$593.14,$569.42,$558.03,$546.87,$535.93,$525.21,
741,Base - 1,FRM,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,St,410,AMS 5613,4,CFM56,9972M46G02,9972M46G05,871203735,,,Jet Industries,,,,, $83 ,$82.37,$81.96,$80.32,$78.72,$77.14,$75.60,
742,Base - 1,FRM,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,St,410,AMS 5613,4,CFM56,9972M46G05,2130D01,871203735,,,Jet Industries,Barnes-Windsor,,,, $83 ,$82.37,$81.96,$80.32,$78.72,$77.14,$75.60,
756,Base - 1,SFC,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,718,B50TF15,12,F404,9977010-894P01,TF9977010-894P01,,,,Numet,,,,," $2,731 ","$2,635.10","$2,542.87","$2,492.01","$2,442.17","$2,393.33","$2,345.46",
758,Base - 1,FRM,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,903,B50TF151,8,F404,9977011-211P01 /   9977013-653G01&654G01,9977012-136P01,,,,SpaceCraft,,,,," $1,885 ","$1,819.38","$1,755.71","$1,720.59","$1,686.18","$1,652.46","$1,619.41",
760,Base - 1,FRM,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,903,B50TF151,8,F404,9977011-217P01/  9977013-665G01/666G01,9977013-408P01,1201410,,,SpaceCraft,,,,," $2,231 ","$2,152.49","$2,077.16","$2,035.61","$1,994.90","$1,955.00","$1,915.90",
766,Base - 1,SFC,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,718R,C50TF37,10,F110,9977013-762G01 / 9977013-764G01,41349908,,9977013-095P02,,GKN Teleflex,,,,," $10,373 ","$10,010.21","$9,659.85","$9,466.66","$9,277.32","$9,091.78","$8,909.94",
771,Base - 1,SFC,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,909,C50TF95,8,F414,9977013-241P01 / 9977013-780G01,9977013-241P01,,,,SpaceCraft,,,,," $1,751 ","$1,690.06","$1,630.90","$1,598.29","$1,566.32","$1,534.99","$1,504.29",
772,Base - 1,SFC,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,718R,C50TF37,8,F414,9977013-242P01 / 9977013-780G01,9977013-242P01,,,,SpaceCraft,,,,," $2,225 ","$2,147.45","$2,072.29","$2,030.84","$1,990.23","$1,950.42","$1,911.41",
781,Base - 1,FRV,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,718,B50TF15,12,LM2500+,9977013-497P02,9977013-497P02,,9511S2001580 or 38510PM,,GE Aviation,Samsung,,,," $15,539 ","$14,994.87","$14,470.05","$14,180.65","$13,897.03","$13,619.09","$13,346.71",
783,Base - 1,FRV,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,718R,C50TF37,10,F110,9977013-501P832M13-1,9977013-501P832M13-1,,9977013-501P822M23-10,,Kerns,,,,," $9,375 ","$9,047.23","$8,730.58","$8,555.97","$8,384.85","$8,217.15","$8,052.81",Price is for new configuration; COS is 1=2
784,Base - 1,SFC,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,718,B50TF15,14,LM2500+,9977013-555P01,9977013-555P01,,,,GE Aviation,,,,," $15,470 ","$14,928.64","$14,406.14","$14,118.01","$13,835.65","$13,558.94","$13,287.76",
787,Base - 1,SFC,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,718,B50TF15,8,F414,9977013-601P01,9977013-601P01,,,,Paradigm-AZ,UEC-Asheville,,,," $2,439 ","$2,353.64","$2,271.26","$2,225.84","$2,181.32","$2,137.70","$2,094.94",
790,Base - 1,FMI,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,909,C50TF95,3,T700,9977013-652P01,TF9977013-652P01,,,,B&F,Reliable,,,, $204 ,$196.66,$189.78,$185.98,$182.26,$178.62,$175.04,
804,Base - 1,FMI,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,718,B50TF15,8,CF6/LM2500,9977013-776G01/803G01 KIT,9977013-737P01,,,,Paradigm,,,,," $1,839 ","$1,774.52","$1,712.42","$1,678.17","$1,644.60","$1,611.71","$1,579.48",
808,Base - 1,SFC,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,718,B50TF15,8,CF34-3,9977013-783P02,9977013-783P01,,,,Paradigm-AZ,,,,," $5,028 ","$4,851.91","$4,682.10","$4,588.45","$4,496.69","$4,406.75","$4,318.62",
813,Base - 1,SFC,,,,-2.00%,-2.00%,-2.00%,-2.00%,Ti,Ti 6-4,AMS4928,10,F414,9977013-953G01,9977013-882DET8,,,,Numet,,,,,,,"$4,774.00","$4,678.52","$4,584.95","$4,493.25","$4,403.39",Replaced line 812; change COS from Ti 6-2-4-2 2013
814,Base - 1,FRM,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,St,17.4PH,AMS 5643,3,CFM56,9989M47P03,1651D01,871204033,,,McMellon,UEC-WB,,,, $107 ,$106.44,$105.90,$103.79,$101.71,$99.68,$97.68,
816,Base - 1,FMI,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,Al,2219,AMS 4143,7,CFM56/F110,9992M65G06,9992M65P01G8,,,,UEC-WB,Sonic,,4,11, $71 ,$71.06,$70.71,$69.29,$67.91,$66.55,$65.22,Price is per single
817,Base - 1,FMI,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,Al,2219,AMS 4143,7,CFM56/F110,9992M65G07,9992M65P01G8,,,,UEC-WB,,,4,11, $71 ,$71.06,$70.71,$69.29,$67.91,$66.55,$65.22,Price is per single
818,Base - 1,FMI,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,Al,2219,AMS 4143,7,CFM56/F110,2038M41G01,9992M65G08/P01,,,,Barnes,UEC-WB,Moeller,4,11, $71 ,$71.06,$70.71,$69.29,$67.91,$66.55,$65.22,
819,Base - 1,FMI,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,Al,2219,AMS 4143,7,CFM56/F110,9992M65G09,9992M65P01G8,,,,UEC-WB,,,4,11, $71 ,$71.06,$70.71,$69.29,$67.91,$66.55,$65.22,
820,Base - 2,FMI,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,St,17.4PH,AMS 5643,6,F110,9992M74G05,9992M74G05-F,0826802 / 03,, Compressor Stator Stg 4,TSS,Moeller,,4,9, $548 ,$545.12,$542.40,$531.55,$520.92,$510.50,$500.29,
821,Base - 1,FRM,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,St,17.4PH,AMS 5643,6,F110,9992M75G03/G05/G13,9992M75G03-F,1201501,9992M75G16,9992M75G14,Moeller,TSS,,,, $549 ,$545.89,$543.17,$532.30,$521.66,$511.22,$501.00,
830,Base - 1,FRM,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,St,17.4PH,AMS 5643,3,LM2500,L14406P02,L14406P02,,,,Moeller,,,,, $97 ,$96.04,$95.56,$93.64,$91.77,$89.94,$88.14,
832,Base - 1,FRM,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,St,17.4PH,AMS 5643,10,LM2500,L16595G03,2246D01,,,,Barnes,,,,," $1,066 ","$1,061.13","$1,055.83","$1,034.71","$1,014.02",$993.74,$973.86,
836,Base - 1,FRM,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,St,17.4PH,AMS 5643,4,LM2500,L21436P03,L21436P03,1208123,,,Jet Industries,,,,, $193 ,$192.37,$191.40,$187.58,$183.82,$180.15,$176.54,
838,Base - 1,SFC,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,St,321,AMS 5645,12,LM2500,L22103P01,L22103P01MR5,,,,UEC-Asheville,,,,," $1,771 ","$1,761.81","$1,753.00","$1,717.94","$1,683.58","$1,649.91","$1,616.91",
839,Base - 1,FRM,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,St,17.4PH,AMS 5643,6,LM2500,L24238P01,0,1200671,,,Moeller,,,,, $520 ,$517.13,$514.54,$504.25,$494.17,$484.29,$474.60,
848,Base - 1,FMI,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,Al,6061,AMS 4127,7,LM1600,L41022 P03,L41022P03-FRG,,,,Paradigm,,,,, $465 ,$462.45,$460.14,$450.93,$441.92,$433.08,$424.42,
849,Base - 2,FMI,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,Al,6061,AMS 4127,7.5,NA,L41023P02,L41023P02,,,,Paradigm-AZ,,,,, $344 ,$342.73,$341.02,$334.20,$327.52,$320.97,$314.55,
850,Base - 1,SFC,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,St,17.4PH,AMS 5643,12,LM500,L41250G01,RML41250,,,,Middleton,,,,," $4,816 ","$4,791.45","$4,767.49","$4,672.14","$4,578.70","$4,487.12","$4,397.38",
851,Base - 1,FRM,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,St,17.4PH,AMS 5643,4,LM6000,L43305P01,L43305P01F,1200582,,,B&E,Guizhou Liyang,,,, $200 ,$198.60,$197.61,$193.66,$189.78,$185.99,$182.27,
852,Base - 1,FRM,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,St,17.4PH,AMS 5643,4,LM6000,L43306G01,L43306G01,,,,Jet Industries,Turbomecanica,,,, $124 ,$123.09,$122.47,$120.02,$117.62,$115.27,$112.97,
853,Base - 1,FRM,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,St,4340,AMS 6415,4,LM6000,L43315G01,L43315P02,930212021,,,Jet Industries,,,,, $61 ,$60.94,$60.64,$59.42,$58.24,$57.07,$55.93,
855,Base - 1,FRM,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,St,17.4PH,AMS 5643,4,LM6000,L43376P01,L43376P01,900820004,,,APPI,UEC-WB,,,, $179 ,$178.43,$177.54,$173.99,$170.51,$167.10,$163.76,
856,Base - 1,FRM,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,St,410,AMS 5613,4,LM6000,L43456P01,1639D01,,,,Barnes-Windsor,,,,, $147 ,$146.54,$145.81,$142.89,$140.03,$137.23,$134.49,
858,Base - 1,FMI,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,Al,6061,AMS 4127,6,LM2500,L43801G01,L43801P01,,,,B&F,Sonic,,,, $131 ,$130.34,$129.68,$127.09,$124.55,$122.06,$119.62,
859,Base - 1,SFC,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,Al,6061,AMS 4127,6,LM2500,L43801G01-1,L43801P02,,,,B&F,,,,, $110 ,$109.10,$108.55,$106.38,$104.25,$102.17,$100.12,
860,Base - 1,FMI,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,Al,6061,AMS 4127,7,LM2500,L43802G01,L43802P01,,,,B&F,Sonic,,,, $88 ,$87.86,$87.42,$85.67,$83.95,$82.28,$80.63,
861,Base - 1,FMI,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,Al,6061,AMS 4127,7,LM2500,L43802G01-1,L43802P02,,,,B&F,,,,, $88 ,$87.86,$87.42,$85.67,$83.95,$82.28,$80.63,
864,Base - 1,FRM,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,St,17.4PH,AMS 5643,4,LM2500,L44516P01,L44516P01,950505006,,,Jet Industries,,,,, $122 ,$121.05,$120.44,$118.03,$115.67,$113.36,$111.09,
865,Base - 1,FRM,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,St,410,AMS 5613,4,LM2500,L44577P01,L44577P01,967588,,,Jet Industries,,,,, $86 ,$85.44,$85.02,$83.32,$81.65,$80.02,$78.42,
868,Base - 1,FMI,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,718,C50T79,4,CF34,L44757P01,L44757P01,,,,Paradigm,Paradigm-AZ,,,, $810 ,$782.07,$754.70,$739.61,$724.81,$710.32,$696.11,COS changed to include USI and machining
869,Base - 1,FMI,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,Al,6061,AMS 4127,7,LM2500,L44765G01,TFL44765G01,,,,Twigg,AIDC,,,, $143 ,$141.92,$141.21,$138.39,$135.62,$132.91,$130.25,
870,Base - 1,FMI,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,St,17.4PH,AMS 5643,10,LMS100,L44970G01,L44970-74MR5,,,,UEC-Asheville,,,,," $1,398 ","$1,391.19","$1,384.24","$1,356.55","$1,329.42","$1,302.83","$1,276.77",
873,Base - 1,FMI,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,Al,6061,AMS 4127,14,CF6,L45024P02,L45024P02,,,,Paradigm-AZ,,,,, $545 ,$542.58,$539.87,$529.07,$518.49,$508.12,$497.96,
878,Base - 1,FRM,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,St,17.4PH,AMS 5643,7,LM2500,L47547G01,2255D01,1037228,,,Barnes,,,,, $495 ,$492.54,$490.08,$480.28,$470.67,$461.26,$452.04,
