Item #,LTA,Site,2011 Defla-tion,2012 Defla-tion,2013 Defla-tion,2014 Defla-tion,2015 Defla-tion,2016 Defla-tion,2017 Defla-tion,Alloy Family,Alloy,Spec,Billet Dia.,Engine Program,GE P/N,Forging P/N,FR Site P/N,Alternate P/N,Nomenclature,Machining Source #1,Machining Source #2,Machining Source #3,Singles per Sleeve,Segments per Single, 2011 Price per Part ,2012 Price per Part,2013 Price per Part,2014 Price per Part,2015 Price per Part,2016 Price per Part,2017 Price per Part,Comments
54,Base - 1,FMI,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,St,410,AMS 5613,4,CF6,1380M85G01,1380M85G01,,,,Moeller,Paradigm-AZ,,,, $76 ,$75.67,$75.29,$73.79,$72.31,$70.86,$69.45,
55,Base - 1,SFC,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,WASP R,C50TF90,8,F110/F118,1385M57P06,1385M57P05SR,,,,UEC-Asheville,,,,," $2,027 ","$1,955.88","$1,887.42","$1,849.68","$1,812.68","$1,776.43","$1,740.90",
58,Base - 1,FMI,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,907,B50TF196,8,F110/F118,1386M20G04,9977011-972P01,9977011-972,,,Jet Engine,,,,," $3,100 ","$2,991.13","$2,886.44","$2,828.71","$2,772.14","$2,716.70","$2,662.36",
62,Base - 1,SFC,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,718TM,C50TF104,8,F110,1387M99P04,1387M99P04SR,,,,APPI,,,,," $2,052 ","$1,980.53","$1,911.21","$1,872.99","$1,835.53","$1,798.82","$1,762.84",
69,Base - 1,FMI,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,Al,6061,AMS 4127,9,F110,1441M95G03,1441M95G02,,,,Sun Country,,,,, $423 ,$420.94,$418.83,$410.45,$402.24,$394.20,$386.32,
72,Base - 1,FMI,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,Al,2219,AMS 4143,9.25,CFM56-7B,1475M30G03,1475M30G02,1475M30-G02,,,Paradigm-AZ,Barnes-Singapore,,,, $131 ,$130.34,$129.68,$127.09,$124.55,$122.06,$119.62,"FMI makes 1=4 sleeve, price is for single"
76,Base - 1,FRM,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,St,A286,B50TF81A,3,CF6,1509M46P01,1509M46P01,890531002,,,Jet Industries,,,,, $182 ,$181.45,$180.54,$176.93,$173.40,$169.93,$166.53,
78,Base - 1,FRC,-4.00%,-4.00%,-4.00%,-2.00%,-2.00%,-2.00%,-2.00%,Ti,Ti 6-4,C50TF12B,8,CF6-80E,1538M56P01,4013287-081P04,,,,Shenyang Liming,,,,," $2,113 ","$2,028.77","$1,907.00","$1,868.86","$1,831.48","$1,794.85","$1,758.96",GE requested transfer from FMI to FRC by 1/2013-reduced VA by 5% per MOA
80,Base - 2,FRM,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,St,4340VAR,AMS 6414,4,NA,1584M76P01,1584M76P01,900501006,,,Jet Industries,,,,, $123 ,$122.57,$121.96,$119.52,$117.13,$114.79,$112.49,
82,Base - 1,FMI,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,HAST X,AMS 5754,10,T58,1602M13P01,0,,,,UEC-WB,,,,," $3,005 ","$2,900.23","$2,798.72","$2,742.75","$2,687.89","$2,634.13","$2,581.45",
83,Base - 1,FMI,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,Al,7075,AMS 4311,13,CF6,1622M28G07,10042288P02,,,,Shenyang Liming,,,,," $4,993 ","$4,968.19","$4,943.35","$4,844.48","$4,747.59","$4,652.64","$4,559.59",
84,Base - 1,FRM,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,St,M250,B50TF95,3,CF6,1639M33P01,1639M33P01,1205523,,,Shenyang Liming,,,,, $247 ,$245.42,$238.00,$233.24,$228.58,$224.00,$219.52,Corrected deflation 7/27/09; GE requested transfer from FRM to FRC by 1/2013-reduced VA by 5% per MOA
85,Base - 1,FRM,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,718,C50TF6,4,CF6/LMS100,1646M19P02,0,1213324,,,UEC-WB,,,,," $1,516 ","$1,463.10","$1,411.90","$1,383.66","$1,355.98","$1,328.86","$1,302.29",
86,Base - 1,FMI,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,718,B50TF15,12,CF6,1646M97P02,0,,,,Guizhou Liyang,,,,," $2,134 ","$2,059.73","$1,987.64","$1,947.89","$1,908.93","$1,870.75","$1,833.34",
87,Base - 1,FMI,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,718,B50TF15,12,CF6/LM6000,1646M97P03,0,,,,Guizhou Liyang,UEC-WB,,,," $2,134 ","$2,059.73","$1,987.64","$1,947.89","$1,908.93","$1,870.75","$1,833.34",
89,Base - 1,FRC,-4.00%,-4.00%,-4.00%,-2.00%,-2.00%,-2.00%,-2.00%,Ti,Ti 6-4,AMS 4928,8,CF6,1649M23G03,4013287-519P02,,,,Shenyang Liming,,,,," $1,683 ","$1,615.79","$1,551.16","$1,520.14","$1,489.73","$1,459.94","$1,430.74",GE requested transfer from SFC to FRC 1/2013-reduced VA by 5% per MOA
90,Base - 1,SFC,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,WASP R,C50TF90,8,F110/F118,1668M81P01,1385M57P02,,,,UEC-Asheville,,,,," $2,731 ","$2,635.72","$2,543.47","$2,492.60","$2,442.74","$2,393.89","$2,346.01",
92,Base - 1,FMI,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,Al,6061,AMS 4127,14.5,CF6,1669M76P01,1669M76P01,,TF1669M76P01,,B&F Machine,UEC-Orillia,,,, $720 ,$716.36,$712.78,$698.52,$684.55,$670.86,$657.45,
94,Base - 1,FRM,-3.50%,-3.50%,-3.50%,-2.00%,-2.00%,-2.00%,-2.00%,Ni,718R,C50TF37,6,GE90-94B,1685M34P04,4013428-297P01,1201677,,,Barnes-Windsor,,,,," $1,546 ","$1,491.71","$1,439.50","$1,410.71","$1,382.50","$1,354.85","$1,327.75",
95,Base - 2,FMI,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,St,15.5PH,AMS 5659,6,GE90,1686M34P04,17A190-058P01,1391400,,,Jet Industries,,,,," $2,131 ","$2,120.78","$2,110.18","$2,067.98","$2,026.62","$1,986.08","$1,946.36",
97,Base - 1,FMI,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,St,17.4PH,AMS 5643,4,GE90-94B,1686M96G03,1686M96G03SC,,,,UEC-Asheville,,,,, $353 ,$350.90,$349.14,$342.16,$335.31,$328.61,$322.04,
98,Base - 1,FRM,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,St,17.4PH,AMS 5643,4,GE90-94B/115B,1686M99P03,1686M99P03MR3,1200538,,,UEC-Asheville,,,,, $154 ,$153.27,$152.51,$149.46,$146.47,$143.54,$140.67,COS is 1=3
99,Base - 1,FRM,-4.00%,-4.00%,-4.00%,-2.00%,-2.00%,-2.00%,-2.00%,Ti,Ti 6-4,AMS 4928,4,GE90-94B,1687M34G08,1974D01 / 1687M34P01,1201721,,,Barnes-Windsor,,,,, $779 ,$747.68,$717.78,$703.42,$689.35,$675.56,$662.05,COS is 1=3 sleeve
100,Base - 1,FRM,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,St,440,AMS 5630,4,GE90-94B,1687M34G08,1974D02 / 1687M39P02,,,,Barnes,,,,, $202 ,$201.04,$200.04,$196.04,$192.11,$188.27,$184.51,
101,Base - 1,FRM,-0.50%,-0.50%,-0.50%,-2.00%,-2.00%,-2.00%,-2.00%,St,410,AMS 5613,6,GE90-94B,1687M84P01,1687M84P01MR2,1016146,,,UEC-Asheville,,,,, $117 ,$116.26,$115.68,$113.36,$111.10,$108.87,$106.70,
