Part Number,Nomenclature,Qty/Parent,Parent PN,Qty/Grand_Parent,Parent Nomen,QPE
1327M74P01,"SPACER,SEAL",1,1862M70G02,1,ROTOR ASSEMBLY,1
1327M74P01,"SPACER,SEAL",1,1862M70G03,1,ROTOR ASSEMBLY,1
1327M74P01,"SPACER,SEAL",1,1862M70G04,1,ROTOR ASSEMBLY,1
1327M74P01,"SPACER,SEAL",1,1862M70G05,1,ROTOR ASSEMBLY,1
1327M74P01,"SPACER,SEAL",1,1862M70G06,1,ROTOR ASSEMBLY,1
1327M74P01,"SPACER,SEAL",1,682L671G01,1,HPT ROTOR BUILD,1
1327M74P01,"SPACER,SEAL",1,682L671G02,1,HPT ROTOR BUILD,1
1327M74P01,"SPACER,SEAL",1,9255M20G01,1,ROTOR ASSY,1
1327M74P01,"SPACER,SEAL",1,9255M20G02,1,ROTOR ASSY,1
1327M74P01,"SPACER,SEAL",1,9255M20G03,1,ROTOR ASSY,1
1327M74P01,"SPACER,SEAL",1,9255M20G04,1,ROTOR ASSY,1
1327M74P01,"SPACER,SEAL",1,9255M20G05,1,ROTOR ASSY,1
1327M74P01,"SPACER,SEAL",1,9255M20G06,1,ROTOR ASSY,1
1327M74P01,"SPACER,SEAL",1,9255M20G07,1,ROTOR ASSY,1
1327M74P01,"SPACER,SEAL",1,9255M20G08,1,ROTOR ASSY,1
1327M74P01,"SPACER,SEAL",1,9255M20G09,1,ROTOR ASSY,1
1327M74P01,"SPACER,SEAL",1,9255M20G10,1,ROTOR ASSY,1
1327M74P01,"SPACER,SEAL",1,9255M20G11,1,ROTOR ASSY,1
1327M74P01,"SPACER,SEAL",1,9255M20G12,1,ROTOR ASSY,1
1327M74P01,"SPACER,SEAL",1,L43510G01,1,"ROTOR ASSY,HPT",1
1327M74P01,"SPACER,SEAL",1,L43510G02,1,"ROTOR ASSY,HPT",1
1327M74P01,"SPACER,SEAL",1,L43510G03,1,"ROTOR ASSY,HPT",1
1327M74P01,"SPACER,SEAL",1,L43510G04,1,"ROTOR ASSY,HPT",1
1327M74P01,"SPACER,SEAL",1,L43510G05,1,"ROTOR ASSY,HPT",1
1327M74P01,"SPACER,SEAL",1,L43510G07,1,"ROTOR ASSY,HPT",1
1327M74P01,"SPACER,SEAL",1,L43510G08,1,"ROTOR ASSY,HPT",1
1327M74P01,"SPACER,SEAL",1,L43510G09,1,"ROTOR ASSY,HPT",1
1327M74P01,"SPACER,SEAL",1,L43510G10,1,"ROTOR ASSY,HPT",1
1327M74P01,"SPACER,SEAL",1,L43510G11,1,"ROTOR ASSY,HPT",1
1327M74P01,"SPACER,SEAL",1,L43510G12,1,"ROTOR ASSY,HPT",1
1327M74P01,"SPACER,SEAL",1,L43510G13,1,"ROTOR ASSY,HPT",1
1327M74P01,"SPACER,SEAL",1,L43510G14,1,"ROTOR ASSY,HPT",1
1327M74P01,"SPACER,SEAL",1,L43510G15,1,"ROTOR ASSY,HPT",1
1327M74P01,"SPACER,SEAL",1,L43510G16,1,"ROTOR ASSY,HPT",1
1327M74P01,"SPACER,SEAL",1,L43510G17,1,"ROTOR ASSY,HPT",1
1327M74P01,"SPACER,SEAL",1,L43510G18,1,"ROTOR ASSY,HPT",1
1327M74P01,"SPACER,SEAL",1,L43510G19,1,"ROTOR ASSY,HPT",1
1327M74P01,"SPACER,SEAL",1,L43510G20,1,"ROTOR ASSY,HPT",1
1327M74P01,"SPACER,SEAL",1,L43510G21,1,"ROTOR ASSY,HPT",1
1327M74P01,"SPACER,SEAL",1,L57052G01,1,ROTOR ASSEMBLY,1
1327M74P01,"SPACER,SEAL",1,L57052G02,1,ROTOR ASSEMBLY,1
1327M74P01,"SPACER,SEAL",1,L57052G03,1,ROTOR ASSEMBLY,1
1327M74P01,"SPACER,SEAL",1,L57052G04,1,ROTOR ASSEMBLY,1
1327M74P01,"SPACER,SEAL",1,L57052G05,1,ROTOR ASSEMBLY,1
1327M74P01,"SPACER,SEAL",1,L60051G01,1,HPT ROTOR,1
1327M74P01,"SPACER,SEAL",1,L60051G03,1,HPT ROTOR,1
1327M74P01,"SPACER,SEAL",1,1457M73G01,1,ROTOR ASSY-HPT,1
1327M74P01,"SPACER,SEAL",1,1457M73G02,1,ROTOR ASSY-HPT,1
1327M74P01,"SPACER,SEAL",1,1862M70G01,1,ROTOR ASSEMBLY,1
1327M74P01,"SPACER,SEAL",1,1862M70G02,1,ROTOR ASSEMBLY,1
1327M74P01,"SPACER,SEAL",1,1862M70G03,1,ROTOR ASSEMBLY,1
1327M74P01,"SPACER,SEAL",1,1862M70G04,1,ROTOR ASSEMBLY,1
1327M74P01,"SPACER,SEAL",1,1862M70G05,1,ROTOR ASSEMBLY,1
1327M74P01,"SPACER,SEAL",1,1862M70G06,1,ROTOR ASSEMBLY,1
1327M74P01,"SPACER,SEAL",1,682L671G01,1,HPT ROTOR BUILD,1
1327M74P01,"SPACER,SEAL",1,682L671G02,1,HPT ROTOR BUILD,1
1327M74P01,"SPACER,SEAL",1,9255M20G01,1,ROTOR ASSY,1
1327M74P01,"SPACER,SEAL",1,9255M20G02,1,ROTOR ASSY,1
1327M74P01,"SPACER,SEAL",1,9255M20G03,1,ROTOR ASSY,1
1327M74P01,"SPACER,SEAL",1,9255M20G04,1,ROTOR ASSY,1
1327M74P01,"SPACER,SEAL",1,9255M20G05,1,ROTOR ASSY,1
1327M74P01,"SPACER,SEAL",1,9255M20G06,1,ROTOR ASSY,1
1327M74P01,"SPACER,SEAL",1,9255M20G07,1,ROTOR ASSY,1
1327M74P01,"SPACER,SEAL",1,9255M20G08,1,ROTOR ASSY,1
1327M74P01,"SPACER,SEAL",1,9255M20G09,1,ROTOR ASSY,1
1327M74P01,"SPACER,SEAL",1,9255M20G10,1,ROTOR ASSY,1
1327M74P01,"SPACER,SEAL",1,9255M20G11,1,ROTOR ASSY,1
1327M74P01,"SPACER,SEAL",1,9255M20G12,1,ROTOR ASSY,1
1327M74P01,"SPACER,SEAL",1,L43510G01,1,"ROTOR ASSY,HPT",1
1327M74P01,"SPACER,SEAL",1,L43510G02,1,"ROTOR ASSY,HPT",1
1327M74P01,"SPACER,SEAL",1,L43510G03,1,"ROTOR ASSY,HPT",1
1327M74P01,"SPACER,SEAL",1,L43510G04,1,"ROTOR ASSY,HPT",1
1327M74P01,"SPACER,SEAL",1,L43510G05,1,"ROTOR ASSY,HPT",1
1327M74P01,"SPACER,SEAL",1,L43510G07,1,"ROTOR ASSY,HPT",1
1327M74P01,"SPACER,SEAL",1,L43510G08,1,"ROTOR ASSY,HPT",1
1327M74P01,"SPACER,SEAL",1,L43510G09,1,"ROTOR ASSY,HPT",1
1327M74P01,"SPACER,SEAL",1,L43510G10,1,"ROTOR ASSY,HPT",1
1327M74P01,"SPACER,SEAL",1,L43510G11,1,"ROTOR ASSY,HPT",1
1327M74P01,"SPACER,SEAL",1,L43510G12,1,"ROTOR ASSY,HPT",1
1327M74P01,"SPACER,SEAL",1,L43510G13,1,"ROTOR ASSY,HPT",1
