Buyer,Part Number,Nomenclature ,QPA,GE NEG,Finished Part Supplier ,Engine Program,2015 QTY,Raw Material P/N,RM-Type,R/M Supplier,Plant,Yield , R/M Unit Price 2014 , R/M Unit Price 2015 ,Comments
,2357M29G03,,1,Yes,89382-TEI,GenX,,T110051-01,Forging_Ring_R,Firth_Rixson,Firth_Rixson,1.00,"$1,716.00 ","$1,681.68 ",
,2444M11G01,,1,Yes,89382-TEI,GenX,,T100005-01,Forging_Ring_R,Firth_Rixson,Firth_Rixson,1.00,$430.56 ,$421.95 ,
,2444M12G01,,1,Yes,89382-TEI,GenX,,T100005-01,Forging_Ring_R,Firth_Rixson,Firth_Rixson,1.00,$430.56 ,$421.95 ,
,2464M72P01,,1,Yes,89382-TEI,"LEAP-1A , LEAP-1C",,2517M02P01,Forging_Ring_R,Firth_Rixson,Firth_Rixson,1.00,"$1,895.00 ","$1,857.10 ",
,6053T29G01,,1,Yes,89382-TEI,T700,,4013082-477P01,Forging_Ring_R,Firth_Rixson,Firth_Rixson,1.00,$225.21 ,$220.70 ,
,6053T29G01,,1,Yes,89382-TEI,T700,,4013082-479P01,Forging_Ring_R,Firth_Rixson,Firth_Rixson,1.00,$156.76 ,$153.62 ,
,6053T29G01,,1,Yes,89382-TEI,T700,,4013082-482P01,Forging_Ring_R,Firth_Rixson,Firth_Rixson,1.00,$106.56 ,$104.43 ,
,6053T29G03,,1,Yes,89382-TEI,T700,,4013082-477P01,Forging_Ring_R,Firth_Rixson,Firth_Rixson,1.00,$225.21 ,$220.70 ,
,6053T29G03,,1,Yes,89382-TEI,T700,,4013082-482P01,Forging_Ring_R,Firth_Rixson,Firth_Rixson,1.00,$106.56 ,$104.43 ,
,9272M76G08,,1,Yes,89382-TEI,LM6000,,9272M76P07,Forging_Ring_R,Firth_Rixson,Firth_Rixson,1.00,"$1,046.42 ","$1,025.49 ",
,9272M76G08,,0.143,Yes,89382-TEI,LM6000,,9272M76P09,Forging_Ring_R,Firth_Rixson,Firth_Rixson, 1 / 7,"$1,198.00 ","$1,174.04 ",
,1862M54P02,,0.143,Yes,89382-TEI,CF6,,T00122-01,Forging_Ring_R,Firth_Rixson,Firth_Rixson, 1 / 7,$727.42 ,$712.87 ,
,2048M89P01,,1,Yes,89382-TEI,F110-SLEP,,2116M10P01,Forging_Ring_R,Firth_Rixson,Firth_Rixson,1.00,"$1,043.58 ","$1,022.71 ",
,2087M85P02,,1,Yes,89382-TEI,F110-SLEP,,2116M10P01,Forging_Ring_R,Firth_Rixson,Firth_Rixson,1.00,"$1,043.58 ","$1,022.71 ",2015 only
,2311M41G01,,0.5,Yes,89382-TEI,GenX,,T120062-01,Forging_Ring_R,Firth_Rixson,Firth_Rixson,0.50,$510.00 ,$499.80 ,2015 po only
,2311M41G01,,0.5,Yes,89382-TEI,GenX,,T120063-01,Forging_Ring_R,Firth_Rixson,Firth_Rixson,0.50,$533.00 ,$522.34 ,2015 po only
,2311M41G02,,0.5,Yes,89382-TEI,GenX,,T120062-01,Forging_Ring_R,Firth_Rixson,Firth_Rixson,0.50,$510.00 ,$499.80 ,2015 po only
