ID ,Finished Part Number ,Forging Part Number ,Nomenclature ,"Finished Part L (+.010 Tol.) ","Finished Part ID (-.005 Tol.) ",Finished Part OD (+.005 Tol.) ,Material  Name ,Material Spec/Class,GROSS WEIGHT,Share %,2016 QTY,2017 QTY,EP,VSE Initiated,VSE Phase ,"Alternate Part L (+.010 Tol.) ","Alternate Part ID (-.005 Tol.) ",Alternate Part OD (+.005 Tol.) ,Alternate Material Spec/Class,MACHINING SOURCE,Cut Weight (Lbs.) , LTA 2016 Price  , Alternate 2016 Price  ,Order Received From Machining Source (Y/N),Agreed Upon Shape (Y/N),Billet Commit Date,Supplier Commit ,First Shipment Quantity,Production Lead Time,Comments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,2468M82G01,4013726-332P01,"CASE, COMPRESSOR STATOR - AFT INNER",2.49,17.5338,19.765,I718,B50TF15 CL-E,75.3,25,110,310,LEAP A/C,21006-VSE-15-02761,4,,,,,PCC WB ,,"$1,450",,Y,Y,11/15/15,2/5/16,15 pcs,16 weeks,order entered 9/18/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,2468M82G01,4013726-332P01,"CASE, COMPRESSOR STATOR - AFT INNER",2.49,17.5338,19.765,I718,B50TF15 CL-E,75.3,25,110,310,LEAP A/C,21006-VSE-15-02761,4,,,,,Samsung,,"$1,450",,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,2468M83G02,4013726-333P01,"CASE, COMPRESSOR STATOR - AFT INNER",1.7267,17.447,21.272,I718,B50TF15 CL-E,183.8,25,110,310,LEAP A/C,21006-VSE-15-02762,4,,,,,PCC WB ,,"$1,700",,Y,Y,11/15/15,2/5/16,21 pcs,16 weeks,order entered 9/18/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,2468M83G02,4013726-333P01,"CASE, COMPRESSOR STATOR - AFT INNER",1.7267,17.447,21.272,I718,B50TF15 CL-E,183.8,25,110,310,LEAP A/C,21006-VSE-15-02762,4,,,,,Samsung,,"$1,700",,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,2464M37P01,2464M37P01.000W,"C-CLIP, SHROUD HIGH PRESSURE TURBIN",0.256,22.768,22.364,R41,B50TF75 CL-D,71.3,40,110,310,LEAP A/C,21006-VSE-15-04051 ,2,,,,,Liming ,,$331,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,2460M62G02,4013728-259P01,"SEAL, STATIONARY - HIGH PRESSURE TU",1.147,12.877,15.623,I783,AMS 5940,79.8,70,110,310,LEAP-1A,21006-VSE-15-03844,4,1.28,12.72,15.77,,Vertechs ,,"$1,400"," $1,632.00 ",N,,,,,,confirmed condition of supply with Vertech 8/27/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,2548M16G01  ,4013733-958P01,"SEAL, STATIONARY - HIGH PRESSURE TU",0.638,11.919,13.329,GTD222,B50TF279 CL-B,71.3,25,40,205,Leap-1B,21006-VSE-15-02764,4,,,,,Vertechs ,,$573,,N,,,,,,confirmed condition of supply with Vertech 8/27/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,2548M16G01  ,4013733-958P01,"SEAL, STATIONARY - HIGH PRESSURE TU",0.638,11.919,13.329,GTD222,B50TF279 CL-B,40.7,15,40,205,Leap-1B,21006-VSE-15-02764,4,0.72,11.67,13.41,,Liming ,57.4,$573, $693.00 ,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,2521M46P01,2521M46P01.000R,"SEAL, INNER- FORWARD, TRANSITION DU",1.5745,14.571,17.135,HS188,B50TF74 CL-A,104.4,30,40,205,Leap-1B,21006-VSE-15-02765,5,,,,,Gentz,,"$1,528",,Y,Y,,4/20/16,20 pcs,18 weeks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,2521M48G01,2521M48P01.000R,"PLATE, BACKING- AFT",0.24,24.715,26.9616,R41,B50TF110 CL-D,174,50,40,205,Leap-1B,21006-VSE-15-04055,2,,,,,Triumph SanD,,$520,,N,,,,,,confirmed condition of supply to Triumph  9/9/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,2521M49P01,2521M49P01.000R,"PLATE, BACKING- FORWARD",0.13,14.746,16.737,R41,B50TF110 CL-D,73.3,50,40,205,Leap-1B,21006-VSE-15-04059 ,2,,,,,Triumph SanD,,$352,,N,,,,,,confirmed condition of supply to Triumph  9/9/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,2521M52G01,2521M52P02.000R,"SEAL, STATIONARY- HPT STATOR",2.185,10.915,13.807,I718,B50TF15 CL-D,55.3,50,40,205,Leap-1B,21006-VSE-15-02767,4,2.265,10.8,13.992,,Triumph SanD,68.3,"$1,186"," $1,395.00 ",N,,,,,,re-quoted new sizes to Triumph 9/9/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,2521M52G01,2521M52P01.000R,"SEAL, STATIONARY- HPT STATOR",1.724,12.83,16.067,I718,B50TF15 CL-D,117.3,50,40,205,Leap-1B,21006-VSE-15-02769,4,1.812,12.824,16.182,,Triumph SanD,136.8,"$1,044"," $1,205.00 ",N,,,,,,re-quoted new sizes to Triumph 9/9/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,2548M31G01,4013725-407P01,"SEAL, CDP-STATOR",3.351,9.629,12.701,I909,C50TF95 CL-A,48.7,50,40,205,Leap-1B,21006-VSE-15-02771,4,,,,,Triumph SanD,,"$1,646",,N,,,,,,confirmed condition of supply to Triumph  9/9/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,2552M42G05,2552M42P05.002C,"CASE, EXTENSION COMPRESSOR STATOR -",4.433,19.523,24.29,I718,B50TF15 CL-E,279.8,30,40,205,Leap-1B,"21006-VSE-15-02772",4,,,,,Samsung ,,"$4,715",,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,2552M51G06,4013726-337P03,"CASE, COMPRESSOR STATOR - AFT INNER",3.679,16.529,20.5,I783,AMS 5940,157.5,50,40,205,Leap-1B,21006-VSE-15-04078 ,2,3.91,16.3,20.57,,AIDC ,189.2,"$5,342"," $6,484.00 ",N,,,,,,requoted new sizes to AIDC 8/25/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,2552M51G06,4013726-338P02,"CASE, COMPRESSOR STATOR - AFT INNER",2.055,19.781,24.26,I718,B50TF15 CL-D,268,40,40,205,Leap-1B,21006-VSE-15-02816,4,2.3,19.7,24.5,,AIDC ,158,"$2,283"," $2,855.00 ",N,,,,,,requoted new sizes to AIDC 8/25/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,2468M83G02,4013726-333P02,"CASE, COMPRESSOR STATOR - AFT INNER",1.726,17.455,21.272,I718,B50TF15 CL-E,#N/A,25,110,310,LEAP A/C,21006-VSE-15-02817 ,4,,,,,PCC WB ,,"$1,615",,N,,,,,,Condition of supply confirmed to PCC WB 9/9/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,2468M83G02,4013726-333P02,"CASE, COMPRESSOR STATOR - AFT INNER",1.726,17.455,21.272,I718,B50TF15 CL-E,#N/A,50,110,310,LEAP A/C,21006-VSE-15-02817 ,4,,,,,Samsung ,,"$1,615",,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,2468M78G05,4013726-336P02,"CASE, EXTENSION, COMPRESSOR STATOR ",4.533,20.171,24.908,I718,B50TF15 CL-E,292.8,30,110,310,LEAP A/C,21006-VSE-15-02818 ,4,,,,,Samsung ,,"$4,850",,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,2521M04G04,2521M04P07.000C,TCF ,10.045,23.378,39.93,I718,C50TF37 CL-A,3583.1,20,40,205,Leap-1B,21006-VSE-15-02819 ,3,,,,,Ketema ,,"$12,685",,Y,Y,Carlton stock,7/8/15,5 pcs,20 weeks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,2521M04G04,2521M04P07.000C,TCF ,10.045,23.378,39.93,I718,C50TF37 CL-A,3583.1,40,40,205,Leap-1B,21006-VSE-15-02819 ,3,,,,,Paradigm,,"$12,685",,Y,Y,Carlton stock,7/17/15,2 pcs,20 weeks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,2521M04G04,2521M04P07.000C,TCF ,10.045,23.378,39.93,I718,C50TF37 CL-A,3583.1,10,40,205,Leap-1B,21006-VSE-15-02819 ,3,,,,,FAMAT ,,"$12,685",,Y,Y,Carlton stock,7/24/15,2 pcs,20 weeks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,2521M04G04,2521M04P08.000R,TCF ,2.1237,36.215,43.629,I718,C50TF37 CL-A,1306.5,20,40,205,Leap-1B,21006-VSE-15-02821 ,2,,,,,Ketema ,,"$7,902",,Y,Y,Carlton stock,7/13/15,5 pcs,16 weeks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,2521M04G04,2521M04P08.000R,TCF ,2.1237,36.215,43.629,I718,C50TF37 CL-A,1306.5,40,40,205,Leap-1B,21006-VSE-15-02821 ,2,,,,,Paradigm,,"$7,902",,Y,Y,Carlton stock,7/31/15,8 pcs,16 weeks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,2521M04G04,2521M04P08.000R,TCF ,2.1237,36.215,43.629,I718,C50TF37 CL-A,1306.5,10,40,205,Leap-1B,21006-VSE-15-02821 ,2,,,,,FAMAT ,,"$7,902",,Y,Y,Carlton stock,7/31/15,2 pcs,16 weeks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,2521M47G03,2521M47P02.000R,"TCF Seal, Transition Duct Outer",0.52,24.532,26.962,R41,B50TF110,193.5,40,40,205,Leap-1B,21006-VSE-15-02822 ,2,,, , ,Xian ,,"$1,505",,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
