ID ,Finished Part Number ,Forging Part Number ,Nomenclature ,"Finished Part L (+.010 Tol.) ","Finished Part ID (-.005 Tol.) ",Finished Part OD (+.005 Tol.) ,Material  Name ,Material Spec/Class,GROSS WEIGHT,Share %,2016 QTY,2017 QTY,EP,VSE Initiated,VSE Phase ,"Alternate Part L (+.010 Tol.) ","Alternate Part ID (-.005 Tol.) ",Alternate Part OD (+.005 Tol.) ,Alternate Material Spec/Class,MACHINING SOURCE,Cut Weight (Lbs.) , LTA 2016 Price  , Alternate 2016 Price  ,Order Received From Machining Source (Y/N),Agreed Upon Shape (Y/N),Billet Commit Date,Supplier Commit ,First Shipment Quantity,Production Lead Time,Comments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2551M98G03,2551M98G02.002R,"CASE, AFT INNER, STG 7",1.686,16.8998,20.623,I718,B50TF15 CL-E,171.3,25,40,205,Leap-1B,21006-VSE-15-03225 ,5,,,,,PCC WB ,,"$1,505",,N,,,,,,Condition of supply confirmed to PCC WB 9/9/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2551M98G03,2551M98G02.002R,"CASE, AFT INNER, STG 7",1.686,16.8998,20.623,I718,B50TF15 CL-E,171.3,25,40,205,Leap-1B,21006-VSE-15-03225 ,5,,,,,Samsung ,,"$1,505",,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2552M49G02,2552M49G02.002R,"CASE, AFT INNER, STG 8",0.9675,16.739,19.107,I718,B50TF15 CL-E,106.8,25,40,205,Leap-1B,21006-VSE-15-02507,5,0.996,,,,PCC WB ,108.8,$727,,Y,Y,stock,1/29/16,10,18 weeks,Condition of supply confirmed to PCC WB 9/9/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2552M50G04,2552M50G04.002R,"CASE, AFT INNER, STG 8-9",1.994,16.612,18.865,I718,B50TF15 CL-E,120.3,25,40,205,Leap-1B,21006-VSE-15-02508,5,,,,,PCC WB ,,"$1,142",,Y,Y,11/1/15,3/28/16,12,18 weeks,order entered 9/21/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2555M49G04,2555M49G04.004R,FINS,1.734,14.184,18.335,GTD222,B50TF279 CL-C,183.3,40,110,310,LEAP A/C,21006-VSE-15-02511,3,1.794,14.124,18.395,,FAST ,208,"$2,724"," $3,058.00 ",Y,Y,,2/5/16,5,16 weeks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2555M49G04,2555M49G04.004R,FINS,1.734,14.184,18.335,GTD222,B50TF279 CL-C,183.3,35,110,310,LEAP A/C,21006-VSE-15-02511,3,,,,,Paradigm Malden ,,"$2,724",,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2555M49G04,2555M49G04.003R,FINS,1.01,10.433,12.093,718+,B50TF317 CL-A,44.4,35,110,310,LEAP A/C,21006-VSE-15-02512,3,1.055,10.338,12.16,,Paradigm Malden ,49,$707, $768.00 ,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2551M96G02,2564M04G01.002R,"CASE, HPC",1.859,17.761,19.763,I909,C50TF95 CL-B,103.3,50,110,310,LEAP A/C,21006-VSE-15-02504,5,,,,,GE Suzhou,,"$1,884",,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2551M96G02,2564M04G01.002R,"CASE, HPC",1.859,17.761,19.763,I909,C50TF95 CL-B,103.3,25,110,310,LEAP A/C,21006-VSE-15-02504,5,,,,,PCC WB ,,"$1,884",,N,,,,,,Condition of supply confirmed to PCC WB 9/9/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,2462M23P02,D2462M23P02,Outer Liner Aft Ring,0,0,0,HS188,B50TF74 CL-A,97.4,60,110,310,LEAP A/C,Terre Haute ,3,,,,,Terre Haute ,,$950,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
