Finish Machine Supplier,Supplier Code,Identify if current or newly awarded part,GE Ordered Part Number  ie; Finish Machine Part #/Kit # Assembly#,Engine Program,"If Kit/Assembly,  Finish Part # that goes into Kit",# of Parts per Kit,Raw Material Part Number,Raw Material Source,Plant, 2016 Raw Material Price on a per unit part basis , 2016 Total price paid to R/M Source ie; sleeve price ,Yield (sleeve to unit ratio),"R/M Classification IE; Closed Die Forging, Seamless Ring, Flash Welded Ring","Material Type; IN718, Titanium, Rene,",Dimensions of Part ordered from Forger or reference sketch #,"State any operations performed by forger ie; Heat Treat, Parting, Machining, etc.",,QPA,QPE,Billet Diameter,Weight ,Weight Type,ID
TEI,89382,,2136M60G01,GP7200,,,T100017-01,Alcoa,Rancho Cucamonga," $31,756.00 "," $31,756.00 ",1,SEAMLESS,C50TF90,Countered-T100035,TEI Buys Less Ultrasonic and Machining per TEI Part number T100035-01 with a price $ 30756. TEI performs Mach. and UT,,,,,,,
TEI,89382,,2488M07P01,F110-100,,,2488M06P01,Alcoa,Rancho Cucamonga," $3,971.00 "," $3,971.00 ",1,SEAMLESS,C50TF90,GE Dwg,,,,,,,,
TEI,89382,,L38770P01,LM6000,,,L38774P01,Alcoa,Rancho Cucamonga," $11,108.00 "," $11,108.00 ",1,SEAMLESS,low alloy Steel,GE Dwg,,,,,,,,
TEI,89382,,L59010G02,LMS100,,,L59006P02,Alcoa,Rancho Cucamonga," $22,071.00 "," $22,071.00 ",1,SEAMLESS,low alloy Steel,GE Dwg,,,,,,,,
TEI,89382,,1364M37G02,F110-129,,,4013287-635P01,Alcoa,Rancho Cucamonga," $7,656.00 "," $7,656.00 ",1,SEAMLESS,Ti 6-4,GE Dwg,,,,,,,,
TEI,89382,,1748M44P02,GE90,,,4013437-204P01,Welded Ring Products,WRP," $5,671.00 "," $5,362.82 ",1,FLASH WELDED,Inco 718,GE Dwg,,,,,,159.99,,
TEI,89382,,1441M37G05,F110-129,,,4013081-600P08,PCC,MTTP," $5,190.00 "," $5,190.00 ",1,FLASH WELDED,AMS5706,GE Dwg,,,,,,,,
TEI,89382,,1711M62G10,GE90,,,4013382-912P01,PCC,MTTP," $2,918.00 "," $2,918.00 ",1,SEAMLESS ,Rene41,GE Dwg,,,,,,,,
TEI,89382,,1711M62G11,GE90,,,4013382-912P01,PCC,MTTP," $2,918.00 "," $2,918.00 ",1,FLASH WELDED,Rene41,GE Dwg,,,,,,,,
TEI,89382,,1711M86G03,GE90,,,4013382-912P01,PCC,MTTP," $2,918.00 "," $2,918.00 ",1,FLASH WELDED,Rene41,GE Dwg,,,,,,,,
TEI,89382,,1748M42P03,GE90,,,4013437-202P01,PCC,MTTP," $7,003.00 "," $7,003.00 ",1,FLASH WELDED,Rene41,GE Dwg,,,,,,,,
TEI,89382,,1748M43P03,GE90,,,4013437-203P01,PCC,MTTP," $7,584.00 "," $7,584.00 ",1,FLASH WELDED,Rene41,GE Dwg,,,,,,,,
TEI,89382,,1748M45P03,GE90,,,4013437-205P01,PCC,MTTP," $4,660.00 "," $4,660.00 ",1,FLASH WELDED,Inco 718,GE Dwg,,,,,,,,
TEI,89382,,1963M32G01,GE90,,,T020187-01,PCC,MTTP," $1,176.00 "," $1,176.00 ",1,FLASH WELDED,Inco 718,Countered NNS FWR-T020187,,,,,,,,
TEI,89382,,2090M10G01,GE90,,,4013703-324P01,PCC,MTTP," $4,020.00 "," $4,020.00 ",1,FLASH WELDED,Rene41,GE Dwg,,,,,,,,
TEI,89382,,2090M10G01,GE90,,,4013703-323P01,PCC,MTTP," $2,884.00 "," $2,884.00 ",1,FLASH WELDED,Inco 718,GE Dwg,,,,,,,,
TEI,89382,,2090M10G01,GE90,,,4013703-322P01,PCC,MTTP," $2,166.00 "," $2,166.00 ",1,FLASH WELDED,Inco 718,GE Dwg,,,,,,,,
TEI,89382,,4013382-683P01,CF6,,,4013382-682P02,PCC,MTTP," $5,998.00 "," $5,998.00 ",1,FLASH WELDED,Inco 718,GE Dwg,,,,,,,,
TEI,89382,,4015M12G01,CF6,,,T020169-01,PCC,MTTP, $639.00 , $639.00 ,1,FLASH WELDED,Inco 718,Countered NNS FWR-T020169,,,,,,,,
TEI,89382,,9374M37G05,CF6,,,T020169-01,PCC,MTTP, $639.00 , $639.00 ,1,FLASH WELDED,Inco 718,Countered NNS FWR-T020169,,,,,,,,
TEI,89382,,9977013-724G01,LM2500,,,T020214-01 - NNS (9977013-724P04),PCC,MTTP," $2,066.00 "," $2,066.00 ",1,FLASH WELDED,Inco 718,39.250 OD X 36.150 ID X 1.380 THK,Rectangular cross section FWR,,,,,23.4,,
TEI,89382,,9977013-835G01,LM2500,,,T020214-01 - NNS (9977013-724P04),PCC,MTTP," $2,066.00 "," $2,066.00 ",1,FLASH WELDED,Inco 718,39.250 OD X 36.150 ID X 1.380 THK,Rectangular cross section FWR,,,,,,,
TEI,89382,Current,2498M20P01,PASSPORT 20,,,2514M89P01,PCC,Carlton," $1,265.33 "," $2,530.00 ",2,Seamless,Rene 41,OD:19.82+-.02 ID:15.39 THK:1.18,Machined,,,,,,,
TEI,89382,Current,2498M26P01,PASSPORT 20,,,2514M87P01,PCC,Carlton," $1,001.22 "," $2,002.43 ",2,Seamless,Rene 41,OD:15.44+-.02 ID:11.08 THK:1.12,Machined,,,,,,,
TEI,89382,Current,2498M27P01,PASSPORT 20,,,2514M88P01,PCC,Carlton," $1,001.22 "," $2,002.43 ",2,Seamless,Rene 41,OD:15.44+-.02 ID:11.08 THK:1.12,Machined,,,,,,,
TEI,89382,Current,2601M35G01,PASSPORT 20,,,2514M89P01,PCC,Carlton," $1,265.50 "," $2,530.00 ",2,Seamless,Rene 41,OD:19.82+-.02 ID:15.39 THK:1.18,Machined,,,,,,,
TEI,89382,Current,2243M35G02,LEAP 1B,,,2243M35P03/ T130010-01 / T150076-01,Alcoa/PCC,Rochester/ MTTP,,,,,,,,LEAP LTA Sources: FR Monroe / WG Mountaintop. Dimensions / yield / prices will be different- Currently TEI Neg.FWR is being procure,,,,,,
TEI,89382,Current,2243M35G02,LEAP 1B,,, 2243M35P07/ T130011-01 / T150075-01,Alcoa/PCC,Rochester/ MTTP,,,,,,,,line added by TEI. LEAP LTA Sources: FR Monroe / WG Mountaintop. Dimensions / yield / prices will be different- Currently TEI Neg.FWR is being procure,,,,,,
TEI,89382,LTA 15,2541M81G01,LEAP 1B,,,2517M01P01,PCC,Carlton," $11,470.00 "," $11,470.00 ",1,Seamless,Inco 718,OD:27.64+-.06 ID:23.06 THK:7.93,As forged,FAT forging ordered for NPI- 2015 Price for Fat forging (NPI Order) is $ 11470. Will be dual Source FRISA and CARLTON,,,,,,
TEI,89382,Current,2552M03G01,LEAP 1B,,,2468M30P02,PCC,Carlton," $1,980.00 "," $1,980.00 ",1,Seamless,Ti 6242,OD:14.60+-.02 ID:11.50 THK:2.15,Machined and Aged,Will change to Less Stock,,,,,,
TEI,89382,LTA 15,2559M26G02,LEAP 1B,,,T150039-01,Alcoa,Rochester, $341.00 ," $2,728.00 ",8,Seamless,B50TF74/ Haynes 188,OD:22.804+-.03 ID:21.611 THK:4.908,"Heat treat, Machining",Will be Dual Source,,,,,,
TEI,89382,LTA 15,2559M26G02,LEAP 1B,,,T150034-01,Alcoa,Rochester, $273.00 ," $2,184.00 ",8,Seamless,B50TF74/ Haynes 188,OD:23.734+-.03 ID:22.902 THK:4.516,"Heat treat, Machining",Will be Dual Source,,,,,,
TEI,89382,LTA 15,2559M49G01,LEAP 1B,,,T150035-01 ,Alcoa,Rochester, $200.00 ," $2,000.00 ",10,Seamless,B50TF74/ Haynes 188,OD:16.304+-.03 ID:15.332 THK:4.660,"Heat treat, Machining",Will be Dual Source,,,,,,
TEI,89382,LTA 15,2611M11G01,LEAP 1B,,,T150046-01,Alcoa,FR Schlosser," $7,890.00 "," $7,890.00 ",1,Seamless,B50TF74/ Haynes 188,OD:23.026+-.03 ID:13.416 THK:4.805,As forged ,2015 Price entered / 2016 Price is not firmed up,,,,,,
TEI,89382,Current,2634M01G01,LEAP 1B,,,2468M26P01,Alcoa,Rochester," $1,252.00 "," $1,252.00 ",1,Seamless,Ti 6/4,OD:11.38+-.02 ID:8.05 THK:3.13,Machining,Will be Less Stock / ,,,,,,
TEI,89382,Current,2464M72P01,LEAP 1A/C,,,2517M02P01,Alcoa,Fontana/Suzhou," $1,857.10 "," $1,857.10 ",1,Seamless,Inco 718,OD:26.600+-.05 ID:22.330 THK:1.72,Machining,Changing to FR Suzhou GE LTA. 2015 Price:$ 1895 FR Suzhou: $ 895- Will be Dual Source,,,,,,
TEI,89382,Current,2468M18G01,LEAP 1A/C,,,2468M28P01,Alcoa,Savannah," $16,272.00 "," $16,272.00 ",1,Closed die Forging,,8.35+-.02 X 4.16 X :5.30,Machining,,,,,,,
TEI,89382,Current,2468M18G01,LEAP 1A/C,,,2468M30P01,PCC,CARLTON," $2,091.00 "," $2,091.00 ",1,Seamless,Ti 6242,OD:14.60+-.02 ID:11.90 THK:2.35,"Machining, Aging",Will change to Less Stock,,,,,,
TEI,89382,Current,2564M10G01,LEAP 1A/C,,,2468M26P01,Alcoa,Rochester," $1,252.00 "," $1,252.00 ",1,Seamless,Ti 6/4,OD:11.38+-.02 ID:8.05 THK:3.13,Machining,,,,,,,
TEI,89382,Current,2300M85P02,GenX,,,2410M33P01,PCC,CARLTON," $2,591.16 "," $2,591.16 ",1,Seamless,Inco 718,OD:24.980+-.02 ID:20.946 THK:0.769,Machining,,,,,,,
TEI,89382,Current,2302M37P02,GenX,,,T020258-01,Alcoa,Rancho Cucamonga," $13,897.00 "," $13,897.00 ",1,Seamless,Ti 6/4,OD:46.550 ID:44.800 THK:3.880+-0.30,Machining,,,,,,,
TEI,89382,Current,2302M40G01,GenX,,,4013536-295P01 / T140033-01,Alcoa,Suzhou/Fontana, $487.06 , $487.06 ,1,Seamless,AMS5630 Steel,OD:19.27+-.06 ID:18.62 THK:2.47,As Forged,Changing to Heat Treated version from FR Forged Metal= $ 741,,,,,,,,,2302M40G01,GenX,,,4013703-931P01,PCC,CARLTON," $15,051.00 "," $15,051.00 ",1,Seamless,Ti 6/4,Countered Shape- GE Drawing,,Line added by TEI,,,,,,
TEI,89382,Current,2302M90G04,GenX,,,4013522-436P03,Alcoa,Rancho Cucamonga," $29,118.37 "," $29,118.37 ",1,Seamless,Rene 41,OD:37.296 ID:32.882 THK:4.095+-50,As Forged,,,,,,,
TEI,89382,Current,2302M91G02,GenX,,,T070021-01,PCC,MTTP," $1,187.06 "," $2,374.12 ",2,Flash Welded Ring,AMS5754,OD:34.254+-.05 ID:32.710 THK:0.772,Flash Welded Ring,,,,,,,
TEI,89382,Current,2302M93P01,GenX,,,T080018-01,PCC,MTTP," $2,582.18 "," $2,582.18 ",1,Flash Welded Ring,Inco 718,,Flash Welded Ring,,,,,,,
TEI,89382,Current,2303M31G04,GenX,,,T110056-01,PCC,MTTP," $2,220.00 "," $2,220.00 ",1,Flash Welded Ring,AMS5706,OD:33.312+-.05 ID:31.480 THK:1.750,"Flash Welded Ring, As Forged, Heat treat",,,,,,,
TEI,89382,Current,2303M31G05,GenX,,,No F59 om PO/ T110056-01,PCC,MTTP," $2,220.00 "," $2,220.00 ",1,Flash Welded Ring,AMS5706,OD:33.312+-.05 ID:31.480 THK:1.750,"Flash Welded Ring, As Forged, Heat treat",,,,,,,
TEI,89382,Current,2311M41G01,GenX,,,T120062-01,Alcoa,Rochester, $250.00 , $500.00 ,2,Seamless,AMS5643 Steel,OD:18.470 ID:16.170 THK:1.042,Heat treat,,,,,,,
TEI,89382,Current,2311M41G02,GenX,,,T120062-01,Alcoa,Rochester, $250.00 , $500.00 ,2,Seamless,AMS5643 Steel,OD:18.470 ID:16.170 THK:1.042,Heat treat,,,,,,,
TEI,89382,Current,2311M42G01,GenX,,,T120065-01,Alcoa,Rochester, $239.50 , $479.00 ,2,Seamless,AMS5643 Steel,OD:21.590 ID:18.770 THK:1.493,Heat treat,,,,,,,
TEI,89382,Current,2311M43G01,GenX,,,T120067-01,Alcoa,Rochester, $198.00 , $396.00 ,2,Seamless,AMS5643 Steel,OD:22.450 ID:20.446 THK:1.38,Heat treat,,,,,,,
TEI,89382,Current,2311M44G01,GenX,,,T120068-01,Alcoa,Rochester, $161.21 , $322.42 ,2,Seamless,AMS5643 Steel,OD:23.245 ID:21.600 THK:0.741,Heat treat,,,,,,,
TEI,89382,Current,2311M44G02,GenX,,,T120068-01,Alcoa,Rochester, $161.21 , $322.42 ,2,Seamless,AMS5643 Steel,OD:23.245 ID:21.600 THK:0.741,Heat treat,,,,,,,
TEI,89382,Current,2322M92P02,GenX,,,T020266-01,Alcoa,Rochester," $3,247.00 "," $3,247.00 ",1,Seamless,Inco 718,OD:21.550 ID:18.952 THK:3.25,As forged,,,,,,,
TEI,89382,Current,2335M97P02,GenX,,,T020250-01,Alcoa,Rancho Cucamonga," $12,565.56 "," $12,565.56 ",1,Seamless,Ti 6/4,OD:43.900 ID:35.100 THK:3.395+-0.03,Machining,,,,,,,
TEI,89382,Current,2336M96G03,GenX,,,T110007-01,Alcoa,Fontana," $3,463.32 "," $3,463.32 ",1,Seamless,AMS6414 Steel,OD:17.920+-0.025 ID:7.880 THK:4.485,Machining,,,,,,,
TEI,89382,Current,2357M29G03,GenX,,,T110008-01,Alcoa,Fontana," $3,399.00 "," $3,399.00 ",1,Seamless,AMS6414 Steel,OD:18.500+-8.825 ID:7.880 THK:4.445,Machining,,,,,,,
TEI,89382,Current,2366M94P01,GenX,,,T020267-01,Alcoa,Rochester," $3,020.00 "," $3,020.00 ",1,Seamless,Inco 718,OD:22.450 ID:20.312 THK:3.25,As forged,,,,,,,
