Finish Machine Supplier,Supplier Code,Identify if current or newly awarded part,GE Ordered Part Number  ie; Finish Machine Part #/Kit # Assembly#,Engine Program,"If Kit/Assembly,  Finish Part # that goes into Kit",# of Parts per Kit,Raw Material Part Number,Raw Material Source,Plant, 2016 Raw Material Price on a per unit part basis , 2016 Total price paid to R/M Source ie; sleeve price ,Yield (sleeve to unit ratio),"R/M Classification IE; Closed Die Forging, Seamless Ring, Flash Welded Ring","Material Type; IN718, Titanium, Rene,",Dimensions of Part ordered from Forger or reference sketch #,"State any operations performed by forger ie; Heat Treat, Parting, Machining, etc.",,QPA,QPE,Billet Diameter,Weight ,Weight Type,ID
AIRCRAFT PRECISION PRODUCTS,02800,CURRENT,1288M41G05,CF6-80C,N/A,N/A,1288M41G05,Alcoa,Fontana," $3,435.00 ", N/A ,1,FSR,INCO 718,"18.750"" O.D  X  8.790""  I.D  X  2.269"" WIDE",N/A,,,,,,o,
AIRCRAFT PRECISION PRODUCTS,02800,CURRENT,1288M41G06,CF6-80C,N/A,N/A,1288M41G06,Alcoa,Fontana," $3,435.00 ", N/A ,1,FSR,INCO 718,"18.750"" O.D  X  8.790""  I.D  X  2.269"" WIDE",N/A,,,,,,,
AIRCRAFT PRECISION PRODUCTS,02800,CURRENT,1316M38G01,GENX/GP7200,N/A,N/A,1316M38G01,Welded Ring Products,WRP," $1,566.00 ", N/A ,1,FSR,WASPALOY,"25.053"" O.D  X  20.835""  I.D  X  2.225"" WIDE",N/A,,,,,35.18,,
AIRCRAFT PRECISION PRODUCTS,02800,CURRENT,1358M44P01,F100,N/A,N/A,1358M44P01,Alcoa,Rancho Cucamonga," $5,454.00 ", N/A ,1,FSR,TITANIUM,"27.080"" O.D  X  24.075""  I.D  X  1.040"" WIDE",N/A,,,,,,,
AIRCRAFT PRECISION PRODUCTS,02800,CURRENT,1385M58P01,N/A,N/A,N/A,4013337-101P02,Alcoa,Rancho Cucamonga," $3,496.00 ", N/A ,1,FSR,WASPALOY,"21.100"" O.D  X  15.950""  I.D  X  4.006"" WIDE",N/A,,,,,,,
AIRCRAFT PRECISION PRODUCTS,02800,CURRENT,1387M99P04,F110,N/A,N/A,1387M99P04,Alcoa,Rancho Cucamonga," $1,799.00 ", N/A ,1,FSR,INCO 718,"19.940"" O.D  X  13.860""  I.D  X  4.390"" WIDE",N/A,,,,,,,
AIRCRAFT PRECISION PRODUCTS,02800,CURRENT,17A148-031P01,CF34/100/E,N/A,N/A,17A148-031P01,Alcoa,Rochester, $559.00 ," $2,795.00 ",1=5,SL,INCO 600,"21.760"" O.D  X  21.000""  I.D  X  2.358"" WIDE",N/A,,,,,,,
AIRCRAFT PRECISION PRODUCTS,02800,CURRENT,1856M45P01,CF6-80C,N/A,N/A,1856M45P01,Alcoa,Fontana, $547.00 , N/A ,1,FSR,A-286,"6.313"" O.D  X  5.75""  I.D  X  5.270"" WIDE",N/A,,,,,,,
AIRCRAFT PRECISION PRODUCTS,02800,CURRENT,2032M79P01,GP7200,N/A,N/A,2032M79P01,Alcoa,Fontana, $88.00 , $528.00 ,1=6,SL,INCO 718,"8.279"" O.D  X  7.359""  I.D  X  2.860"" WIDE",N/A,,,,,,,
AIRCRAFT PRECISION PRODUCTS,02800,CURRENT,2041M71P01,GP7200,N/A,N/A,2041M71P01,Frisa,Frisa," $1,643.32 ", N/A ,1,Seamless Ring,INCO 718,"13.361"" O.D  X  10.090""  I.D  X  4.000"" WIDE",N/A,,,,,,,
AIRCRAFT PRECISION PRODUCTS,02800,CURRENT,2044M72P01,CF34/100/E,N/A,N/A,2044M72P01,Alcoa,Rochester, $309.00 , N/A ,1,FSR,4340 STEEL,"10.160"" O.D  X  5.970""  I.D  X  2.570"" WIDE",N/A,,,,,,,
AIRCRAFT PRECISION PRODUCTS,02800,CURRENT,2256M83P01,CF34-10,N/A,N/A,2256M83P01,PCC,Carlton," $2,117.00 ", N/A ,1,FSR,INCO 718,"26.703"" O.D  X  25.815""  I.D  X  1.499"" WIDE",SPLITTING,,,,,,,
AIRCRAFT PRECISION PRODUCTS,02800,CURRENT,2477M27P02,PASSPORT 20,N/A,N/A,2477M27P02,Alcoa,Rochester, $918.00 , N/A ,1,FSR,INCO 718,"6.660"" O.D  X  4.500""  I.D  X  3.100"" WIDE",N/A,,,,,,,
AIRCRAFT PRECISION PRODUCTS,02800,CURRENT,2479M19P02,PASSPORT 20,N/A,N/A,2479M19P02,Alcoa,Rochester," $1,032.00 ", N/A ,1,FSR,15-5PH,"14.125"" O.D  X  8.702""  I.D  X  3.032"" WIDE",N/A,,,,,,,
AIRCRAFT PRECISION PRODUCTS,02800,CURRENT,2483M04P01,PASSPORT 20,N/A,N/A,2483M04P01,Alcoa,Rochester," $1,750.00 ", N/A ,1,FSR,A-286,"12.219"" O.D  X  6.188""  I.D  X  1.969"" WIDE",N/A,,,,,,,
AIRCRAFT PRECISION PRODUCTS,02800,CURRENT,2483M41P02,PASSPORT 20,N/A,N/A,2483M41P02,Alcoa,Rochester," $1,585.00 ", N/A ,1,FSR,INCO 718,"7.420"" O.D  X  3.900""  I.D  X  2.620"" WIDE",N/A,,,,,,,
AIRCRAFT PRECISION PRODUCTS,02800,CURRENT,2488M09P01,F110,N/A,N/A,2488M08P01,Alcoa,Rancho Cucamonga," $2,607.00 ", N/A ,1,FSR,INCO 718,"19.560"" O.D  X  14.190""  I.D  X  1.895"" WIDE",ROUGH MACHINED & ULTRASONIC,,,,,,,
AIRCRAFT PRECISION PRODUCTS,02800,CURRENT,2601M37G01,PASSPORT 20,N/A,N/A,2514M97P01,Alcoa,Rochester," $2,344.00 ", N/A ,1,FSR,RENE 41,"14.630"" O.D  X  11.060""  I.D  X  1.950"" WIDE",N/A,,,,,,,
AIRCRAFT PRECISION PRODUCTS,02800,CURRENT,2626M76P01,GE9X,N/A,N/A,2626M76P01,Larson,Larson, $185.00 , N/A ,1,FSR,STEEL,"8.640"" O.D  X  7.350""  I.D  X  1.280"" WIDE",N/A,,,,,,,
AIRCRAFT PRECISION PRODUCTS,02800,CURRENT,2626M80P01,GE9X,N/A,N/A,2626M80P01,Alcoa,Rochester," $4,820.00 ", N/A ,1,FSR,INCO 718,"15.623"" O.D  X  11.444""  I.D  X  4.486"" WIDE",N/A,,,,,,,
AIRCRAFT PRECISION PRODUCTS,02800,CURRENT,2629M62G01,LEAP X,N/A,N/A,2629M62G01,Alcoa,Fontana," $1,184.00 ", N/A ,1,FSR,15-5PH,"12.273"" O.D  X  6.570""  I.D  X  4.927"" WIDE",N/A,,,,,,,
AIRCRAFT PRECISION PRODUCTS,02800,CURRENT,2647M34P01,GE9X,N/A,N/A,39812F,Alcoa,Verde," $4,470.00 ", N/A ,1,SL,TITANIUM,"33.345"" O.D  X  22.455""  I.D  X  1.252"" WIDE",SPLITTING,,,,,,,
AIRCRAFT PRECISION PRODUCTS,02800,CURRENT,4004M78G01,F110-129,9340M19G02 & 9502M19P02,2,9340M19G02 & 9502M19P02,ALCOA & WYMAN GORDON,Rochester/ MTTP, $746.00 , N/A ,1,FSR,STEEL / INCO 718,KIT - SEE P/N'S 9340M19G02 & 9502M19P02,N/A,,,,,,,
AIRCRAFT PRECISION PRODUCTS,02800,CURRENT,4008T29P01,T64,N/A,N/A,4011T33P02,Alcoa,Rochester," $2,906.00 ", N/A ,1,FSR,WASPALOY,"9.540"" O.D  X  6.740""  I.D  X  2.140"" WIDE","ROUGH MACHINED, MACROETCH & ULTRASONIC",,,,,,,
AIRCRAFT PRECISION PRODUCTS,02800,CURRENT,4008T39P01,T64/CT64,N/A,N/A,4008T39P01,Alcoa,Rochester," $1,030.00 ", N/A ,1,FSR,INCO 718,"5.500"" O.D  X  3.200""  I.D  X  2.150"" WIDE",N/A,,,,,,,
AIRCRAFT PRECISION PRODUCTS,02800,CURRENT,4013196-378P07,N/A,N/A,N/A,4013382-338P03,PCC,MTTP, $835.00 , N/A ,1,FWR,INCO 909,"20.680"" O.D  X  18.840""  I.D  X  2.000"" WIDE",FLASH WELDED,,,,,,,
AIRCRAFT PRECISION PRODUCTS,02800,CURRENT,4016T69G01,T58,N/A,N/A,4016T69G01,Alcoa,Fontana, $379.33 ," $2,276.00 ",1=6,SL,INCO W 722,"16.610"" O.D  X  14.590""  I.D  X  3.200"" WIDE",N/A,,,,,,,
AIRCRAFT PRECISION PRODUCTS,02800,CURRENT,5032T09P02,F404 ,N/A,N/A,5032T09P02,Alcoa,Fontana, $803.00 , N/A ,1,FSR,INCO 718,"8.270"" O.D  X  6.370""  I.D  X  4.260"" WIDE",N/A,,,,,,,
AIRCRAFT PRECISION PRODUCTS,02800,CURRENT,5102T03P01,F414,N/A,N/A,5102T03P01,Larson,Larson, $385.00 , N/A ,1,FSR,ALUMINUM,"12.426"" O.D  X  7.961""  I.D  X  2.864"" WIDE",N/A,,,,,,,
AIRCRAFT PRECISION PRODUCTS,02800,CURRENT,5144T97P02,GE38,N/A,N/A,5144T97P02,Larson,Larson, $375.00 , N/A ,1,FSR,HAST-X,"15.820"" O.D  X  15.069""  I.D  X  .557"" WIDE",N/A,,,,,,,
AIRCRAFT PRECISION PRODUCTS,02800,CURRENT,5161T58P01,CT7,N/A,N/A,5161T58P01,Alcoa,Rochester, $447.60 ," $2,238.00 ",1=5,SL,WASPALOY,"13.923"" O.D  X  13.425""  I.D  X  3.849"" WIDE",N/A,,,,,,,
AIRCRAFT PRECISION PRODUCTS,02800,CURRENT,9046M73P01,CF6-6,N/A,N/A,9046M73P01,Alcoa,Rochester, $310.00 , N/A ,1,FSR,17-4PH,"7.688"" O.D  X  6.313""  I.D  X  2.750"" WIDE",N/A,,,,,,,
AIRCRAFT PRECISION PRODUCTS,02800,CURRENT,9064M47G04,LM25/963,9049M98P04 / 9045M48P01,2,9049M98P04,Alcoa,Rochester," $1,317.00 ", N/A ,1,FSR,INCO 718,"12.094"" O.D  X  9.187""  I.D  X  3.937"" WIDE",N/A,,,,,,,
AIRCRAFT PRECISION PRODUCTS,02800,CURRENT,9065M33P04,CF6-6,N/A,N/A,9065M33P04,Alcoa,Rochester," $1,184.00 ", N/A ,1,FSR,INCO 718,"9.625"" O.D  X  6.375""  I.D  X  3.750"" WIDE",N/A,,,,,,,
AIRCRAFT PRECISION PRODUCTS,02800,CURRENT,9102M29G01,CF6-50/LM2500,N/A,N/A,9102M29G01,Alcoa,Fontana, $530.00 ," $2,120.00 ",1=4,FSR,INCO 718,"12.168"" O.D  X  11.594""  I.D  X  4.250"" WIDE",N/A,,,,,,,
AIRCRAFT PRECISION PRODUCTS,02800,CURRENT,9147M93P01,LM2500/CF6-6,N/A,N/A,9147M93P01,Larson,Larson, $150.00 , N/A ,1,FSR,17-4PH,"6.995"" O.D  X  5.880""  I.D  X  2.920"" WIDE",HEAT TREAT,,,,,,,
AIRCRAFT PRECISION PRODUCTS,02800,CURRENT,9190M55G01,CF6-6,9065M33P04 / 9045M74P02,2,9065M33P04,Alcoa,Rochester," $1,184.00 ", N/A ,1,FSR,INCO 718,"9.625"" O.D  X  6.375""  I.D  X  3.750"" WIDE",N/A,,,,,,,
AIRCRAFT PRECISION PRODUCTS,02800,CURRENT,9272M28P03,CF6-80C,N/A,N/A,9272M28P03,Alcoa,Rochester, $346.00 , N/A ,1,FSR,HAST-X,"6.610"" O.D  X  5.540""  I.D  X  1.780"" WIDE",N/A,,,,,,,
AIRCRAFT PRECISION PRODUCTS,02800,CURRENT,9340M19G02,"F-110, 100/400",N/A,N/A,9340M19G02,PCC,MTTP, $477.00 , N/A ,1,FWR,INCO 718,"9.924"" O.D  X  8.066""  I.D  X  3.000"" WIDE",N/A,,,,,,,
AIRCRAFT PRECISION PRODUCTS,02800,CURRENT,9502M19P02,"F-110, 100/400",N/A,N/A,9502M19P02,Alcoa,Rochester, $269.00 , N/A ,1,FSR,8740 STEEL,"11.082"" O.D  X  8.180""  I.D  X  2.900"" WIDE",N/A,,,,,,,
AIRCRAFT PRECISION PRODUCTS,02800,CURRENT,9502M33P01,F-110/F118,N/A,N/A,9502M33P01,Alcoa,Rochester, $54.00 , N/A ,1,FSR,17-4PH,"7.675"" O.D  X  7.084""  I.D  X  1.190"" WIDE",N/A,,,,,,,
AIRCRAFT PRECISION PRODUCTS,02800,CURRENT,9602M47P09,LM2500/CF6 ,N/A,N/A,9602M47P09,Alcoa,Rochester, $114.00 , N/A ,1,FSR,17-4PH,"7.206"" O.D  X  6.499""  I.D  X  2.072"" WIDE",HEAT TREAT,,,,,,,
AIRCRAFT PRECISION PRODUCTS,02800,CURRENT,9602M48P04,LM2500,N/A,N/A,9602M48P04,PCC,Carlton, $283.00 , N/A ,1,FSR,17-4PH,"11.012"" O.D  X  7.870""  I.D  X  2.390"" WIDE",HEAT TREAT,,,,,,,
AIRCRAFT PRECISION PRODUCTS,02800,CURRENT,9663M08G01,TF39,N/A,N/A,9688M25P01,PCC,Carlton," $11,805.00 ", N/A ,1,FSR,A286,"24.400"" O.D  X  4.250""  I.D  X  12.410"" WIDE",N/A,,,,,,,
AIRCRAFT PRECISION PRODUCTS,02800,CURRENT,9686M62P11,CF6/TF39/LM2500,N/A,N/A,4013077-932P06,PCC,Carlton," $2,122.00 ", N/A ,1,FSR,INCO 718,"18.000"" O.D  X  8.100""  I.D  X  2.290"" WIDE",N/A,,,,,,,
AIRCRAFT PRECISION PRODUCTS,02800,CURRENT,9693M05P04,CF6-6/LM2500,N/A,N/A,9693M05P02,Alcoa,Rochester, $189.00 , N/A ,1,FSR,17-4PH,"8.543"" O.D  X  6.489""  I.D  X  2.637"" WIDE",N/A,,,,,,,
AIRCRAFT PRECISION PRODUCTS,02800,CURRENT,9899556-848P01,C64/T64,N/A,N/A,9899556-848P01,Alcoa,Fontana," $2,342.00 ", N/A ,1,FSR,L 605,"20.055"" O.D  X  18.033""  I.D  X  2.042"" WIDE",N/A,,,,,,,
AIRCRAFT PRECISION PRODUCTS,02800,CURRENT,9940M51P03,F110,N/A,N/A,9940M51P03,Alcoa,Rochester, $536.00 , N/A ,1,FSR,TITANIUM,"7.560"" O.D  X  4.900""  I.D  X  3.260"" WIDE",N/A,,,,,,,
AIRCRAFT PRECISION PRODUCTS,02800,CURRENT,9940M52P02,F110/100/400/129,N/A,N/A,9940M52P02,Larson,Larson, $238.00 , N/A ,1,FSR,TITANIUM,"6.850"" O.D  X  5.142""  I.D  X  1.405"" WIDE",N/A,,,,,,,
AIRCRAFT PRECISION PRODUCTS,02800,CURRENT,L39003P02,TF34/LM500,N/A,N/A,L39003P02,Larson,Larson, $975.00 , N/A ,1,FSR,INCO 17 22,"18.342"" O.D  X  13.975""  I.D  X  1.390"" WIDE",HEAT TREAT,,,,,,,
AIRCRAFT PRECISION PRODUCTS,02800,CURRENT,L39008P01,TF34/LM500,N/A,N/A,L39008P01,Larson,Larson," $1,600.00 ", N/A ,1,FSR,INCO 17 22,"14.120"" O.D  X  5.620""  I.D  X  3.537"" WIDE",HEAT TREAT,,,,,,,
AIRCRAFT PRECISION PRODUCTS,02800,CURRENT,L39011G02,TF34 ,N/A,N/A,L39011G02,Larson,Larson," $1,650.00 ", N/A ,1,FSR,INCO 17 22,"19.360"" O.D  X  10.360""  I.D  X  2.220"" WIDE",HEAT TREAT,,,,,,,
AIRCRAFT PRECISION PRODUCTS,02800,CURRENT,L43874P02,LM6000,N/A,N/A,L43875P02,Wyman Gordon,Worcester," $8,961.00 ", N/A ,1,FSR,RENE' 104,"14.097"" O.D  X  11.370""  I.D  X  1.647"" WIDE",SPLITTING,,,,,,,
AIRCRAFT PRECISION PRODUCTS,02800,CURRENT,L56758P02,LMS100,N/A,N/A,L56758P02,PCC,Carlton," $3,750.00 ", N/A ,1,FSR,INCO 718,"19.930"" O.D  X  6.000""  I.D  X  8.500"" WIDE",N/A,,,,,,,
AIRCRAFT PRECISION PRODUCTS,02800,CURRENT,L59101G01,LMS100,N/A,N/A,L59101G01,Alcoa,Fontana," $6,510.00 ", N/A ,1,FSR,INCO 718,"19.630"" O.D  X  8.430""  I.D  X  2.642"" WIDE",N/A,,,,,,,
Britt Aero,62413,Current,9992M74G05,F110,,,9992M74G05,Alcoa,Fontana, $19.30 , $521.00 ,27,Seamless,17-4PH,protect 21.138 OD x 20.346 ID x 1.149 LG,,,,,,,,
Britt Aero,62413,Current,9992M75G17,F110,,,9992M75G17,Alcoa,Monroe, $11.82 , $532.00 ,45,Seamless,17-4PH,protect 20.600 OD x 19.840 ID x 5.900 LG,,,,,,,,
Britt Aero,62413,Current,4004M76G04,F110,9992M74G05 / 9992M75G17,10 / 10 ,,Alcoa,Rochester,,,,,17-4PH,,,,,,,,,
Britt Aero,62413,Current,2521M40P02,Leap 1B,,,2521M40P01,PCC,Carlton," $3,823.00 "," $3,823.00 ",1,Seamless,Rene 41,26.40 Min OD x 21.70 Max ID x 2.25 Min LG,,,,,,,,
Britt Aero,62413,Current,9977013-642P01,F404,,,9977000-606P437 or 9977000-606P482,PCC,MTTP,,,1,Flash Welded Rings,Inco 718,9977000-606P437 or 9977000-606P482,,,,,,,,
Britt Aero,62413,Current,5154T86G01,GE38,,,5154T86,Alcoa,Fontana, $630.00 ," $2,520.00 ",4,Seamless,Rene 41,protect 10.868 OD x 9.928 ID x 3.250 LG,,,,,,,,
Britt Aero,62413,Current,5108T01P02,F414,,,5108T01P02,Alcoa,Monroe, $87.00 , $87.00 ,1,Seamless,E9310VM,protect 6.000 OD x 5.000 ID x 1.125 LG,,,,,,,,
Britt Aero,62413,Newly Awarded,6081T38G08,CFE,,,AL6061 R 02292-1 = 2,Larson,Larson, $166.25 , $665.00 ,4,Seamless,6061-T6 Alum,protect 15.0 OD x 12.0 ID x .75 LG,,,,,,,,
Britt Aero,62413,Current,6081T39G08,CFE,,,AL6061 R 02292-1 = 2,Larson,Larson, $166.25 , $665.00 ,4,Seamless,6061-T6 Alum,protect 15.0 OD x 12.0 ID x .75 LG,,,,,,,,
Britt Aero,62413,Current,6081T40G08,CFE,,,AL6061 R 02292-1 = 2,Larson,Larson, $166.25 , $665.00 ,4,Seamless,6061-T6 Alum,protect 15.0 OD x 12.0 ID x .75 LG,,,,,,,,
Britt Aero,62413,Newly Awarded,1591M47G01,F29,,,AL6061-T6 R 12744 & AL6061-T6 R 12745,Larson,Larson, $655.00 , $655.00 ,1,Seamless,6061-T6 Alum,protect 11.87 OD x 9.88 ID x .643 LG & 14.14 OD x 9.88 ID x 2.87 LG,,,,,,,,
Britt Aero,62413,Newly Awarded,2626M60P01,GE9X,,,TI6-4 R 12960,Larson,Larson, $835.00 , $835.00 ,1,Seamless,Titanium,protect 9.50 OD x 7.40 ID x 3.65 LG,,,,,,,,
"Brown Precision, Inc.",27784,Current,1688M87P07,GE90,-,-,1688M87P07/P08,PCC,Carlton, $221.50 ," $3,101.00 ",14,Forged Ring,AL 2219-T851,"Min Dia: 74.59"", Min Height: 1.94"",,Min thickness: .895""",,,,,,,,
"Brown Precision, Inc.",27784,Current,1688M87P08,GE90,-,-,1688M87P07/P08,PCC,Carlton, $221.50 ," $3,101.00 ",14,Forged Ring,AL 2219-T851,"Min Dia: 74.59"", Min Height: 1.94"",,Min thickness: .895""",,,,,,,,
Numet,65585,Current,L47479P02,LM2500,,,TF-L47479P02,PCC,Carlton, $797.17 ," $4,783.00 ",6,SEAMLESS,Inco 718,27.26 OD X 23.68 ID X 4.50 LG,HEAT TREAT,,,,,,,
Numet,65585,Current,L47834P01,LM6000,,,TF-47834P01,Alcoa,Rochester, $282.00 ," $1,128.00 ",4,SEAMLESS,321 SST,34.15 OD X 31.65 ID X 4.415 LG,HEAT TREAT,,,,,,,
Numet,65585,Current,L50541P01,LM2500,,,TF-L50541P01,PCC,Carlton, $434.45 ," $4,779.00 ",11,SEAMLESS,718,49.665 OD X 48.175 ID X 4.175 LG,HEAT TREAT,,,,,,,
Numet,65585,Current,1358M31P01,CFM56 - F110,,,B-95042,Welded Ring Products,WRP, $428.33 ," $1,285.00 ",3,FBW,WASPOLOY,21.559 ID X .698 WALL X 1.975 LG,HEAT TREAT,,,,,,,
Numet,65585,Current,1386M88P04,F110,,,C08255-E,PCC,MTTP," $3,791.09 "," $3,791.09 ",1,FBW,WASPOLOY,SHAPE,HEAT TREAT,,,,,,,
Numet,65585,Current,1441M35P01,F110,,,TF-1441M35P01,PCC,MTTP, $15.67 ," $1,645.27 ",105,FBW,718,30.348 OD X 29.330 ID X 2.03 LG,HEAT TREAT,,,,,,,
Numet,65585,Current,1441M41P01,F110,,,B-95042,Welded Ring Products,WRP, $428.33 ," $1,285.00 ",3,FBW,WASPOLOY,21.559 ID X .698 WALL X 1.975 LG,HEAT TREAT,,,,,31.41,,
Numet,65585,Current,1473M44P01,CF6 / LM5000,,,C09499-A,PCC,MTTP," $3,164.87 "," $3,164.87 ",1,FBW,RENE 41,SHAPE,HEAT TREAT,,,,,,,
Numet,65585,Current,1441M66P03,F110,,,B-40379,Welded Ring Products,WRP, $150.00 ," $1,052.00 ",7,FBW,718,SEE DRAWING,HEAT TREAT,,,,,30.61,,
Numet,65585,Current,1474M28P01,CF6,,,TF-1474M28P01,Larson,Larson, $575.00 , $575.00 ,1,SEAMLESS,A286,6.70 X 5.94 X 4.75,HEAT TREAT,,,,,,,
Numet,65585,Current,1499M57P03,CFM56,,,C07346-C,PCC,MTTP, $82.98 ," $1,908.60 ",23,FBW,WASPOLOY,SHAPE,HEAT TREAT,,,,,,,
Numet,65585,Current,17A130-771P01,F110,,,TF-17A130-771P01,PCC,MTTP, $698.88 , $698.88 ,1,FBW,HAST X,17.22 OD X 15.675 ID X 2.07 LG,HEAT TREAT,,,,,,,
Numet,65585,Current,17A166-932P01,F110,,,TF-17A148-570P01,PCC,MTTP, $755.51 , $755.51 ,1,FBW,INCO 625,SHAPE,HEAT TREAT,,,,,,,
Numet,65585,Current, 1864M68G01,F110,,,B-40373 B,Welded Ring Products,WRP, $400.00 , $400.00 ,1,FBW,718,SHAPE,HEAT TREAT,,,,,,,
Numet,65585,Current,1963M21G02,GE90,,,TF-1963M21G01,Alcoa,Rochester, $202.00 , $202.00 ,1,SEAMLESS,17-4PH SST,8.41 X 7.23 X 3.66,HEAT TREAT,,,,,,,
Numet,65585,Current,1963M22G02,GE90,,,D1674-003B,PCC,Carlton, $666.00 , $666.00 ,1,SEAMLESS,ALUMINUM,SHAPE,HEAT TREAT,,,,,,,
Numet,65585,Current,1963M50P01,GE90,,,TF-1963M50P01,PCC,MTTP," $1,283.56 "," $1,283.56 ",1,FBW,INCO 625,23.180 OD X 20.240 ID X .792,HEAT TREAT,,,,,,,
Numet,65585,Current,2002M82P02,CFM56,,,TF-2002M82P02,PCC,MTTP, $806.75 , $806.75 ,1,FBW,718,31.56 x 30.55 x 1.5,HEAT TREAT,,,,,,,
Numet,65585,Current,2070M57G01,CF34,,,C31933,PCC,MTTP, $851.55 , $851.55 ,1,FBW,WASP,SHAPE,HEAT TREAT,,,,,,,
Numet,65585,NEW,2301M30G02,GE9X,,,TF-2301M30P01,Alcoa,Rochester, $294.83 , $294.83 ,1,SEAMLESS,410 SST,8.78 X 5.83 X 4.46,HEAT TREAT,,,,,,,
Numet,65585,Current,2453M81P02,GENX,,,TF2453M81P02,Alcoa,Rochester, $795.00 ," $3,975.00 ",5,SEAMLESS,TITANIUM,40.23 X 38.24 X .35,HEAT TREAT,,,,,,,
Numet,65585,Current,2454M39P01,GE90,,,TF-4013708-493P01,Alcoa,Rochester, $543.60 ," $2,718.00 ",5,SEAMLESS,15-5PH,47.56 X 45.27 X 3.7,HEAT TREAT,,,,,,,
Numet,65585,NEW,2466M54P01,LEAP,,,TF-2466M55P01,Alcoa,Rochester," $1,223.00 "," $4,892.00 ",4,SEAMLESS,718,17.90 X 13.28 X 4.16,HEAT TREAT,,,,,,,
Numet,65585,NEW,2482M17P01,LEAP,,,TF-2482M17P01,PCC,Carlton," $3,280.00 "," $3,280.00 ",1,SEAMLESS,RENE 41,26.598 X 22.83 X 2.03,HEAT TREAT,,,,,,,
Numet,65585,NEW,2521M40P02,LEAP,,,TF-2521M40P02,PCC,Carlton," $3,050.00 "," $3,050.00 ",1,SEAMLESS,RENE 41,25.89 X 22.16 X 1.94,HEAT TREAT,,,,,,,
Numet,65585,NEW,2547M02P01,LEAP,,,TF-2466M55P01,Alcoa,Rochester," $1,223.00 "," $4,892.00 ",4,SEAMLESS,718,17.90 X 13.28 X 4.16,HEAT TREAT,,,,,,,
Numet,65585,Current,3050M29P02,CF6 / LM2500,,,4013196-624P02 / C08764,PCC,MTTP, N/A , N/A ,,SHAPE,718,SHAPE,HEAT TREAT,,,,,,,
Numet,65585,Current,4001M69G01,CF6/LM6000,"9379M40, M41, M42 SEE BELOW",,,,,,,,,,,HEAT TREAT,,,,,,,
Numet,65585,Current,4013382-061P01,CFM56,CANCELLED ORDER,,D1523-002B,PCC,Carlton, N/A , N/A ,,SHAPE,718,SHAPE,HEAT TREAT,,,,,,,
Numet,65585,Current,4013522-458P01,CFM56,,,TFC3950-B,PCC,MTTP," $5,028.58 "," $5,028.58 ",1,FBW,718,SHAPE,HEAT TREAT,,,,,,,
Numet,65585,Current,4028T41P02,CF34 / LM500,,,C08784,PCC,MTTP, $300.00 , $300.00 ,1,FBW,HAST X,SHAPE,HEAT TREAT,,,,,,,
Numet,65585,Current,4150T55P01,F414,,,TF-4150T55P01,Alcoa,LTA, $251.20 ," $2,512.00 ",10,SEAMLESS,RENE 41,,HEAT TREAT,,,,,,,
Numet,65585,Current,5100T97P02,F414,,,B-40402,Welded Ring Products,WRP, $58.25 ,,8,,718,15.16 ID X .308 WALL X 2.557 LG,HEAT TREAT,,,,,13.4,,
Numet,65585,Current,5101T36P01,F414,,,TF-5101T36P01,PCC,MTTP, $70.98 , $354.90 ,5,,718,15.89 X 15.19 X 1.9,HEAT TREAT,,,,,18.4,,
Numet,65585,Current,5101T36P02,F414,,,TF-5101T36P02,PCC,MTTP, $70.98 , $354.90 ,5,,718,15.89 X 15.19 X 1.9,HEAT TREAT,,,,,,,
Numet,65585,Current,5101T68P02,F414,,,TF-5108T95P01,Alcoa,Rancho Cucamonga," $2,258.57 "," $2,258.57 ",1,SEAMLESS,718,10.18 X 6.22 X 3.94,HEAT TREAT,,,,,,,
Numet,65585,Current,5107T86P01,F414,,,TF-5107T86P01,PCC,Carlton, $151.17 , $907.00 ,6,SEAMLESS,718,17.33 X 16.80 X 3.06,HEAT TREAT,,,,,,,
Numet,65585,Current,5140T42P01,T64,,,TF-5142T42P01,Alcoa,Rochester, $131.50 , $263.00 ,2,SEAMLESS,A286,6.28 X 6.75 X 1.275,HEAT TREAT,,,,,,,
Numet,65585,Current,6004T64P01,T64,,,TF-6004T64P01,Alcoa,Fontana," $7,735.00 "," $7,735.00 ",1,SEAMLESS,INCO 722,21.12 X 17.87 X 5.88,HEAT TREAT,,,,,,,
Numet,65585,Current,6013T63P02,T64,,,TF-6013T63P02,Alcoa,Rochester," $1,204.00 "," $1,204.00 ",1,SEAMLESS,INCO W,17.69 X 16.52 X 2.53,HEAT TREAT,,,,,,,
Numet,65585,Current,9207M43P01,LM2500,,,TF-9207M43P01,PCC,MTTP, $546.54 , $546.54 ,1,,HAST X,27.482 X 24.623 X .38,HEAT TREAT,,,,,,,
Numet,65585,Current,9320M19P04,CF6 / LM6000,,,TF-9320M19P04,Alcoa,Rochester, $120.55 ," $1,085.00 ",9,SEAMLESS,718,12.78 X 12.46 X 4.18,HEAT TREAT,,,,,,,
Numet,65585,Current,9379M40G02,CF6 / LM6000,4001M69G01,,TF-9379M40P01/P02,Alcoa,Fontana, $66.00 , $264.00 ,4,SEAMLESS,ALUMINUM,14.10 X 11.70 X 6.45,HEAT TREAT,,,,,,,
